Result	Lemma	Gender	Case	Number	Part of Speech	Reference
πόλεσιν	πόλις	fem	dat	pl	noun	Mt 11:1,Lk 4:43
πόλεις	πόλις	fem	acc	pl	noun	Mt 9:35,Mt 10:23,Mt 11:20,Mk 6:56,Lk 13:22,Ac 8:40,Ac 14:6,Ac 16:4,Ac 26:11
πόλις	πόλις	fem	nom	sg	noun	Mt 5:14,Mt 5:35,Mt 8:34,Mt 12:25,Mt 21:10,Mk 1:33,Lk 4:29,Ac 13:44,Ac 16:12,Ac 19:29,Ac 21:30,Ac 27:8,Re 16:19,Re 17:18,Re 18:19,Re 18:21,Re 21:16,Re 21:18,Re 21:23
πόλεων	πόλις	fem	gen	pl	noun	Mt 14:13,Mk 6:33,Lk 5:12,Lk 19:17,Lk 19:19,Ac 5:16
πόλει	πόλις	fem	dat	sg	noun	Mt 10:15,Mt 10:23,Lk 2:11,Lk 7:37,Lk 10:12,Lk 18:2,Lk 18:3,Lk 23:19,Lk 24:49,Ac 4:27,Ac 8:8,Ac 8:9,Ac 10:9,Ac 11:5,Ac 16:12,Ac 18:10,Ac 21:29,Ac 22:3,2 Co 11:26,Heb 12:22,Re 18:18
πόλεις	πόλις	fem	accusative, nominative	pl	noun	2 Pe 2:6
πόλιν	πόλις	fem	acc	sg	noun	Mt 2:23,Mt 4:5,Mt 8:33,Mt 9:1,Mt 10:5,Mt 10:11,Mt 21:18,Mt 22:7,Mt 23:34,Mt 26:18,Mt 27:53,Mt 28:11,Mk 1:45,Mk 5:14,Mk 14:13,Mk 14:16,Lk 1:26,Lk 1:39,Lk 2:3,Lk 2:4,Lk 2:39,Lk 4:31,Lk 7:11,Lk 8:1,Lk 8:4,Lk 8:34,Lk 8:39,Lk 9:10,Lk 10:1,Lk 10:8,Lk 10:10,Lk 19:41,Lk 22:10,Jn 4:5,Jn 4:8,Jn 4:28,Jn 11:54,Ac 8:5,Ac 9:6,Ac 12:10,Ac 14:20,Ac 14:21,Ac 15:21,Ac 15:36,Ac 16:11,Ac 16:20,Ac 17:5,Ac 17:16,Ac 19:35,Ac 20:23,Ac 24:12,2 Co 11:32,Tt 1:5,Heb 11:10,Heb 11:16,Heb 13:14,Jas 4:13,Re 11:2,Re 20:9,Re 21:2,Re 21:10,Re 21:15,Re 21:16,Re 22:14
πόλεις	πόλις	fem	nom	pl	noun	Jud 7,Re 16:19
πόλις	πόλις	fem	vocative, nominative	sg	noun	Re 18:10,Re 18:10,Re 18:16
πόλεως	πόλις	fem	gen	sg	noun	Mt 10:14,Mt 21:17,Mt 23:34,Mk 11:19,Lk 2:4,Lk 4:29,Lk 7:12,Lk 7:12,Lk 8:27,Lk 9:5,Lk 10:11,Lk 14:21,Lk 23:51,Jn 1:44,Jn 4:30,Jn 4:39,Jn 19:20,Ac 7:58,Ac 13:50,Ac 14:4,Ac 14:13,Ac 14:19,Ac 16:14,Ac 16:39,Ac 21:5,Ac 21:39,Ac 25:23,Re 3:12,Re 11:8,Re 11:13,Re 14:20,Re 21:14,Re 21:19,Re 21:21,Re 22:19,Ro 16:23
