Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
μαρτυρουμένους	μαρτυρέω	pres	pass	participle	—	mas	acc	pl	verb	Ac 6:3
μαρτυροῦμεν	μαρτυρέω	pres	actv	indicative	1p	—	—	pl	verb	Jn 3:11,1 Jn 1:2,1 Jn 4:14,3 Jn 12
μαρτυροῦσαι	μαρτυρέω	pres	actv	participle	—	fem	nom	pl	verb	Jn 5:39
μαρτυρήσαντος	μαρτυρέω	aor	actv	participle	—	mas	gen	sg	verb	1 Ti 6:13
Μαρτυρεῖ	μαρτυρέω	pres	actv	indicative	3p	—	—	sg	verb	Heb 10:15
μαρτυρεῖ	μαρτυρέω	pres	actv	indicative	3p	—	—	sg	verb	Jn 1:15,Jn 3:32,Jn 5:32,Jn 5:36,Jn 8:18,Jn 10:25,Ac 22:5
μεμαρτύρηται	μαρτυρέω	perfect	pass	indicative	3p	—	—	sg	verb	Heb 11:5,3 Jn 12
μαρτυρούντων	μαρτυρέω	pres	actv	participle	—	mas	gen	pl	verb	3 Jn 3
μεμαρτύρηκεν	μαρτυρέω	perfect	actv	indicative	3p	—	—	sg	verb	Jn 5:33,Jn 5:37,Jn 19:35,1 Jn 5:9,1 Jn 5:10
μαρτυρήσας	μαρτυρέω	aor	actv	participle	—	mas	nom	sg	verb	Ac 13:22
μαρτυρουμένη	μαρτυρέω	pres	pass	participle	—	fem	nom	sg	verb	Ro 3:21,1 Ti 5:10
Μαρτυρῶ	μαρτυρέω	pres	actv	indicative	1p	—	—	sg	verb	Re 22:18
μαρτυρεῖται	μαρτυρέω	pres	pass	indicative	3p	—	—	sg	verb	Heb 7:17
ἐμαρτυρήθησαν	μαρτυρέω	aor	pass	indicative	3p	—	—	pl	verb	Heb 11:2
μαρτυρῶ	μαρτυρέω	pres	actv	subjunctive	1p	—	—	sg	verb	Jn 5:31,Jn 8:14
Ἐμαρτύρει	μαρτυρέω	impft	actv	indicative	3p	—	—	sg	verb	Jn 12:17
μεμαρτύρηκα	μαρτυρέω	perfect	actv	indicative	1p	—	—	sg	verb	Jn 1:34
μαρτυρῶ	μαρτυρέω	pres	actv	indicative	1p	—	—	sg	verb	Jn 7:7,Ro 10:2,2 Co 8:3,Ga 4:15,Col 4:13
μαρτυροῦντες	μαρτυρέω	pres	actv	participle	—	mas	nom	pl	verb	1 Jn 5:7
μαρτύρησον	μαρτυρέω	aor	actv	imperative	2p	—	—	sg	verb	Jn 18:23
ἐμαρτυρήθη	μαρτυρέω	aor	pass	indicative	3p	—	—	sg	verb	Heb 11:4
ἐμαρτύρησάν	μαρτυρέω	aor	actv	indicative	3p	—	—	pl	verb	3 Jn 6
μαρτυρήσῃ	μαρτυρέω	aor	actv	subjunctive	3p	—	—	sg	verb	Jn 1:7,Jn 1:8,Jn 2:25
μαρτυροῦντος	μαρτυρέω	pres	actv	participle	—	mas	gen	sg	verb	Heb 11:4
μαρτυρήσει	μαρτυρέω	futr	actv	indicative	3p	—	—	sg	verb	Jn 15:26
μαρτυρεῖτε	μαρτυρέω	pres	actv	indicative	2p	—	—	pl	verb	Mt 23:31,Jn 3:28,Jn 15:27
ἐμαρτυρήσαμεν	μαρτυρέω	aor	actv	indicative	1p	—	—	pl	verb	1 Co 15:15
μαρτυρῶν	μαρτυρέω	pres	actv	participle	—	mas	nom	sg	verb	Jn 5:32,Jn 8:18,Jn 21:24,Re 22:20
μαρτυρεῖν	μαρτυρέω	pres	actv	infinitive	—	—	—	—	verb	Ac 26:5
μαρτυρηθέντες	μαρτυρέω	aor	pass	participle	—	mas	nom	pl	verb	Heb 11:39
μαρτυρεῖς	μαρτυρέω	pres	actv	indicative	2p	—	—	sg	verb	Jn 8:13
μαρτυροῦν	μαρτυρέω	pres	actv	participle	—	neu	nom	sg	verb	1 Jn 5:6
μαρτυρήσω	μαρτυρέω	aor	actv	subjunctive	1p	—	—	sg	verb	Jn 18:37
ἐμαρτύρουν	μαρτυρέω	impft	actv	indicative	3p	—	—	pl	verb	Lk 4:22
μαρτυροῦσιν	μαρτυρέω	pres	actv	indicative	3p	—	—	pl	verb	Ac 10:43
μεμαρτύρηκας	μαρτυρέω	perfect	actv	indicative	2p	—	—	sg	verb	Jn 3:26
μαρτυρούσης	μαρτυρέω	pres	actv	participle	—	fem	gen	sg	verb	Jn 4:39
μαρτυροῦντι	μαρτυρέω	pres	actv	participle	—	mas	dat	sg	verb	Ac 14:3
μαρτυρούμενος	μαρτυρέω	pres	pass	participle	—	mas	nom	sg	verb	Ac 22:12,Heb 7:8
ἐμαρτυρεῖτο	μαρτυρέω	impft	pass	indicative	3p	—	—	sg	verb	Ac 16:2
μαρτυρῆσαι	μαρτυρέω	aor	actv	infinitive	—	—	—	—	verb	Ac 23:11,Re 22:16
ἐμαρτύρησεν	μαρτυρέω	aor	actv	indicative	3p	—	—	sg	verb	Jn 1:32,Jn 4:44,Jn 13:21,Ac 15:8,Re 1:2
μαρτυρούμενός	μαρτυρέω	pres	pass	participle	—	mas	nom	sg	verb	Ac 10:22
