Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
πεποιθέναι	πείθω	perfect	actv	infinitive	—	—	—	—	verb	Php 3:4
ἐπείθετο	πείθω	impft	pass	indicative	3p	—	—	sg	verb	Ac 27:11
πέπεισμαι	πείθω	perfect	pass	indicative	1p	—	—	sg	verb	Ro 8:38,Ro 14:14,2 Ti 1:5,2 Ti 1:12
πεισθῇς	πείθω	aor	pass	subjunctive	2p	—	—	sg	verb	Ac 23:21
πεποιθὼς	πείθω	perfect	actv	participle	—	mas	nom	sg	verb	2 Co 2:3,Php 1:6,Php 1:25,Heb 2:13
Πεπείσμεθα	πείθω	perfect	pass	indicative	1p	—	—	pl	verb	Heb 6:9
πείσαντες	πείθω	aor	actv	participle	—	mas	nom	pl	verb	Ac 12:20,Ac 14:19
πειθόμεθα	πείθω	pres	pass	indicative	1p	—	—	pl	verb	Heb 13:18
πείθω	πείθω	pres	actv	indicative	1p	—	—	sg	verb	Ga 1:10
ἔπεισαν	πείθω	aor	actv	indicative	3p	—	—	pl	verb	Mt 27:20
πέποιθα	πείθω	perfect	actv	indicative	1p	—	—	sg	verb	Ga 5:10,Php 2:24
Πέπεισμαι	πείθω	perfect	pass	indicative	1p	—	—	sg	verb	Ro 15:14
πείσας	πείθω	aor	actv	participle	—	mas	nom	sg	verb	Ac 19:26
πειθομένου	πείθω	pres	pass	participle	—	mas	gen	sg	verb	Ac 21:14
Πείθεσθε	πείθω	pres	mid	imperative	2p	—	—	pl	verb	Heb 13:17
ἔπειθέν	πείθω	impft	actv	indicative	3p	—	—	sg	verb	Ac 18:4
πειθομένοις	πείθω	pres	mid	participle	—	mas	dat	pl	verb	Ro 2:8
πείθων	πείθω	pres	actv	participle	—	mas	nom	sg	verb	Ac 19:8,Ac 28:23
ἐπείσθησαν	πείθω	aor	pass	indicative	3p	—	—	pl	verb	Ac 5:39,Ac 17:4
πείθεις	πείθω	pres	actv	indicative	2p	—	—	sg	verb	Ac 26:28
ἐπεποίθει	πείθω	pluperfect	actv	indicative	3p	—	—	sg	verb	Lk 11:22
πέποιθεν	πείθω	perfect	actv	indicative	3p	—	—	sg	verb	Mt 27:43,2 Co 10:7
πείθομεν	πείθω	pres	actv	indicative	1p	—	—	pl	verb	2 Co 5:11
πεποίθαμεν	πείθω	perfect	actv	indicative	1p	—	—	pl	verb	2 Th 3:4
πεπεισμένος	πείθω	perfect	pass	participle	—	mas	nom	sg	verb	Lk 20:6
πείθομαι	πείθω	pres	pass	indicative	1p	—	—	sg	verb	Ac 26:26
Πεποιθὼς	πείθω	perfect	actv	participle	—	mas	nom	sg	verb	Phm 21
πεποιθότας	πείθω	perfect	actv	participle	—	mas	acc	pl	verb	Lk 18:9,Php 1:14
ἔπειθον	πείθω	impft	actv	indicative	3p	—	—	pl	verb	Ac 13:43
πεισθήσονται	πείθω	futr	pass	indicative	3p	—	—	pl	verb	Lk 16:31
πείθεσθαι	πείθω	pres	pass	infinitive	—	—	—	—	verb	Ga 5:7,Jas 3:3
πεποιθότες	πείθω	perfect	actv	participle	—	mas	nom	pl	verb	2 Co 1:9,Php 3:3
πείσομεν	πείθω	futr	actv	indicative	1p	—	—	pl	verb	Mt 28:14,1 Jn 3:19
πέποιθάς	πείθω	perfect	actv	indicative	2p	—	—	sg	verb	Ro 2:19
ἐπείθοντο	πείθω	impft	pass	indicative	3p	—	—	pl	verb	Ac 5:36,Ac 5:37,Ac 28:24
