Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
προσέρχεσθαι	προσέρχομαι	pres	either middle or passive	infinitive	—	—	—	—	verb	Ac 10:28
προσερχομένου	προσέρχομαι	pres	either middle or passive	participle	—	mas	gen	sg	verb	Lk 9:42,Ac 7:31
προσήρχοντο	προσέρχομαι	impft	either middle or passive	indicative	3p	—	—	pl	verb	Ac 28:9
προσῆλθον	προσέρχομαι	aor	actv	indicative	3p	—	—	pl	verb	Mt 4:11,Mt 9:28,Mt 13:36,Mt 14:15,Mt 15:30,Mt 17:24,Mt 18:1,Mt 19:3,Mt 21:14,Mt 21:23,Mt 22:23,Mt 24:1,Mt 24:3,Mt 26:17,Jn 12:21
προσέρχεται	προσέρχομαι	pres	either middle or passive	indicative	3p	—	—	sg	verb	1 Ti 6:3
προσῆλθαν	προσέρχομαι	aor	actv	indicative	3p	—	—	pl	verb	Mt 5:1
Προσελθὼν	προσέρχομαι	aor	actv	participle	—	mas	nom	sg	verb	Mt 25:22,Mt 25:24
προσῆλθεν	προσέρχομαι	aor	actv	indicative	3p	—	—	sg	verb	Mt 8:5,Mt 17:7,Mt 17:14,Mt 20:20,Mt 26:7,Mt 26:69,Ac 12:13,Ac 18:2
προσέρχονται	προσέρχομαι	pres	either middle or passive	indicative	3p	—	—	pl	verb	Mt 9:14,Mt 15:1
προσελθόντων	προσέρχομαι	aor	actv	participle	—	mas	gen	pl	verb	Mt 26:60
προσελθοῦσαι	προσέρχομαι	aor	actv	participle	—	fem	nom	pl	verb	Mt 28:9
προσερχώμεθα	προσέρχομαι	pres	either middle or passive	subjunctive	1p	—	—	pl	verb	Heb 4:16,Heb 10:22
προσερχομένους	προσέρχομαι	pres	either middle or passive	participle	—	mas	acc	pl	verb	Heb 7:25,Heb 10:1
Προσελθόντες	προσέρχομαι	aor	actv	participle	—	mas	nom	pl	verb	Lk 20:27
πρόσελθε	προσέρχομαι	aor	actv	imperative	2p	—	—	sg	verb	Ac 8:29
προσῆλθάν	προσέρχομαι	aor	actv	indicative	3p	—	—	pl	verb	Lk 13:31
προσερχόμενοι	προσέρχομαι	pres	either middle or passive	participle	—	mas	nom	pl	verb	Lk 23:36,1 Pe 2:4
προσερχόμενον	προσέρχομαι	pres	either middle or passive	participle	—	mas	acc	sg	verb	Heb 11:6
προσελθόντες	προσέρχομαι	aor	actv	participle	—	mas	nom	pl	verb	Mt 8:25,Mt 13:10,Mt 13:27,Mt 14:12,Mt 15:12,Mt 15:23,Mt 16:1,Mt 17:19,Mt 26:50,Mt 26:60,Mt 26:73,Mk 6:35,Mk 10:2,Lk 8:24,Lk 9:12,Ac 23:14
προσελθοῦσα	προσέρχομαι	aor	actv	participle	—	fem	nom	sg	verb	Mt 9:20,Lk 8:44
προσελθὼν	προσέρχομαι	aor	actv	participle	—	mas	nom	sg	verb	Mt 4:3,Mt 8:2,Mt 8:19,Mt 18:21,Mt 19:16,Mt 21:28,Mt 21:30,Mt 25:20,Mt 26:49,Mt 27:58,Mt 28:2,Mt 28:18,Mk 1:31,Mk 12:28,Mk 14:45,Lk 7:14,Lk 10:34,Lk 23:52,Ac 9:1,Ac 22:26,Ac 22:27
προσεληλύθατε	προσέρχομαι	perfect	actv	indicative	2p	—	—	pl	verb	Heb 12:18,Heb 12:22
