Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
τηρεῖτε	τηρέω	pres	actv	imperative	2p	—	—	pl	verb	Mt 23:3
τηρήσητε	τηρέω	aor	actv	subjunctive	2p	—	—	pl	verb	Jn 15:10
ἐτήρουν	τηρέω	impft	actv	indicative	3p	—	—	pl	verb	Mt 27:36,Ac 12:6
τηρῶμεν	τηρέω	pres	actv	subjunctive	1p	—	—	pl	verb	1 Jn 2:3,1 Jn 5:3
ἐτήρησας	τηρέω	aor	actv	indicative	2p	—	—	sg	verb	Re 3:10
τετήρηται	τηρέω	perfect	pass	indicative	3p	—	—	sg	verb	2 Pe 2:17,Jud 13
τηρήσῃ	τηρέω	aor	actv	subjunctive	3p	—	—	sg	verb	Jn 8:51,Jn 8:52,Jn 12:7,Jas 2:10
τηρήσατε	τηρέω	aor	actv	imperative	2p	—	—	pl	verb	Jud 21
τηρήσετε	τηρέω	futr	actv	indicative	2p	—	—	pl	verb	Jn 14:15
τηρήσῃς	τηρέω	aor	actv	subjunctive	2p	—	—	sg	verb	Jn 17:15
τηρούντων	τηρέω	pres	actv	participle	—	mas	gen	pl	verb	Re 12:17,Re 22:9
τετήρηκας	τηρέω	perfect	actv	indicative	2p	—	—	sg	verb	Jn 2:10
τετηρημένοις	τηρέω	perfect	pass	participle	—	mas	dat	pl	verb	Jud 1
τετήρηκα	τηρέω	perfect	actv	indicative	1p	—	—	sg	verb	Jn 15:10,2 Ti 4:7
τηρήσει	τηρέω	futr	actv	indicative	3p	—	—	sg	verb	Jn 14:23
τηρεῖ	τηρέω	pres	actv	indicative	3p	—	—	sg	verb	Jn 9:16,Jn 14:24,1 Jn 5:18
τήρησον	τηρέω	aor	actv	imperative	2p	—	—	sg	verb	Mt 19:17,Jn 17:11
τετηρημένην	τηρέω	perfect	pass	participle	—	fem	acc	sg	verb	1 Pe 1:4
τηροῦντες	τηρέω	pres	actv	participle	—	mas	nom	pl	verb	Mt 27:54,Mt 28:4,Re 1:3,Re 14:12
τηρεῖν	τηρέω	pres	actv	infinitive	—	—	—	—	verb	Mt 28:20,Ac 15:5,Ac 16:23,1 Co 7:37,Eph 4:3,2 Pe 2:9,Jas 1:27
τηρηθῆναι	τηρέω	aor	pass	infinitive	—	—	—	—	verb	Ac 25:21
ἐτήρουν	τηρέω	impft	actv	indicative	1p	—	—	sg	verb	Jn 17:12
τηρούμενοι	τηρέω	pres	pass	participle	—	mas	nom	pl	verb	2 Pe 3:7
ἐτήρησα	τηρέω	aor	actv	indicative	1p	—	—	sg	verb	2 Co 11:9
τηρῆσαί	τηρέω	aor	actv	infinitive	—	—	—	—	verb	1 Ti 6:14
τηρουμένους	τηρέω	pres	pass	participle	—	mas	acc	pl	verb	2 Pe 2:4
τηρήσω	τηρέω	futr	actv	indicative	1p	—	—	sg	verb	2 Co 11:9,Re 3:10
τηρεῖσθαι	τηρέω	pres	pass	infinitive	—	—	—	—	verb	Ac 24:23,Ac 25:4,Ac 25:21
ἐτήρησάς	τηρέω	aor	actv	indicative	2p	—	—	sg	verb	Re 3:8
ἐτηρεῖτο	τηρέω	impft	pass	indicative	3p	—	—	sg	verb	Ac 12:5
τηρηθείη	τηρέω	aor	pass	optative	3p	—	—	sg	verb	1 Th 5:23
τηρῇ	τηρέω	pres	actv	subjunctive	3p	—	—	sg	verb	1 Jn 2:5
τηρῶ	τηρέω	pres	actv	indicative	1p	—	—	sg	verb	Jn 8:55
τήρει	τηρέω	pres	actv	imperative	2p	—	—	sg	verb	1 Ti 5:22,Re 3:3
τηρήσουσιν	τηρέω	futr	actv	indicative	3p	—	—	pl	verb	Jn 15:20
τηρήσαντας	τηρέω	aor	actv	participle	—	mas	acc	pl	verb	Jud 6
τηρῶν	τηρέω	pres	actv	participle	—	mas	nom	sg	verb	Jn 14:21,1 Jn 2:4,1 Jn 3:24,Re 2:26,Re 16:15,Re 22:7
τετήρηκεν	τηρέω	perfect	actv	indicative	3p	—	—	sg	verb	Jud 6
τηροῦμεν	τηρέω	pres	actv	indicative	1p	—	—	pl	verb	1 Jn 3:22
τετήρηκαν	τηρέω	perfect	actv	indicative	3p	—	—	pl	verb	Jn 17:6
ἐτήρησαν	τηρέω	aor	actv	indicative	3p	—	—	pl	verb	Jn 15:20
