Result	Lemma	Gender	Case	Number	Part of Speech	Reference
λαῷ	λαός	mas	dat	sg	noun	Mt 4:23,Mt 26:5,Mt 27:64,Lk 1:68,Lk 1:77,Lk 2:10,Lk 21:23,Ac 4:10,Ac 5:12,Ac 5:20,Ac 5:34,Ac 6:8,Ac 10:2,Ac 10:41,Ac 10:42,Ac 12:4,Ac 13:24,Ac 19:4,Ac 21:40,Ac 26:23,Ac 28:17,1 Co 14:21,Heb 9:19,2 Pe 2:1,Heb 4:9,Heb 11:25
λαόν	λαός	mas	acc	sg	noun	Mt 2:6,Lk 3:18,Lk 20:19,Lk 22:2,Lk 23:14,Ac 2:47,Ac 3:12,Ac 4:21,Ac 5:25,Ac 13:15,Ac 13:31,Ac 21:39,Ro 9:25,Ro 9:25,Heb 8:10,Heb 13:12,Re 14:6
λαοί	λαός	mas	nom	pl	noun	Ro 15:11
λαός	λαός	mas	nom	sg	noun	Ac 5:13,Ac 18:10,Ro 9:26,2 Co 6:16,1 Pe 2:10,Re 18:4
λαοὶ	λαός	mas	nom	pl	noun	Ac 4:25,Re 17:15,Re 21:3
λαοῖς	λαός	mas	dat	pl	noun	Ac 4:27,Re 10:11
λαὸς	λαός	mas	nom	sg	noun	Mt 4:16,Mt 15:8,Mt 27:25,Mk 7:6,Lk 1:21,Lk 7:29,Lk 18:43,Lk 19:48,Lk 20:6,Lk 21:38,Lk 23:35,Jn 8:2,Ac 3:9,Ac 3:11,Ac 7:17,1 Co 10:7,Heb 7:11,1 Pe 2:9,1 Pe 2:10
λαῶν	λαός	mas	gen	pl	noun	Lk 2:31,Re 7:9,Re 11:9
λαοῦ	λαός	mas	gen	sg	noun	Mt 2:4,Mt 13:15,Mt 21:23,Mt 26:3,Mt 26:47,Mt 27:1,Mk 14:2,Lk 1:10,Lk 2:32,Lk 3:15,Lk 6:17,Lk 7:1,Lk 8:47,Lk 19:47,Lk 20:26,Lk 20:45,Lk 22:66,Lk 23:27,Lk 24:19,Jn 11:50,Jn 18:14,Ac 3:23,Ac 4:8,Ac 7:34,Ac 12:11,Ac 13:17,Ac 21:28,Ac 21:30,Ac 21:36,Ac 23:5,Ac 26:17,Ac 28:27,Ro 15:10,Heb 2:17,Heb 5:3,Heb 7:27,Heb 9:7,Re 5:9
λαὸν	λαός	mas	acc	sg	noun	Mt 1:21,Lk 1:17,Lk 3:21,Lk 7:16,Lk 9:13,Lk 20:1,Lk 20:9,Lk 23:5,Lk 23:13,Ac 4:1,Ac 4:2,Ac 4:17,Ac 5:26,Ac 5:37,Ac 6:12,Ac 13:17,Ac 15:14,Ac 28:26,Ro 10:21,Ro 11:1,Ro 11:2,Tt 2:14,Heb 7:5,Heb 9:19,Heb 10:30,Jud 5,Re 13:7
