Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
προσκυνήσεις	προσκυνέω	futr	actv	indicative	2p	—	—	sg	verb	Mt 4:10,Lk 4:8
προσκυνήσετε	προσκυνέω	futr	actv	indicative	2p	—	—	pl	verb	Jn 4:21
προσκυνοῦντες	προσκυνέω	pres	actv	participle	—	mas	nom	pl	verb	Re 14:11
προσκυνήσει	προσκυνέω	futr	actv	indicative	3p	—	—	sg	verb	1 Co 14:25
προσκυνοῦντας	προσκυνέω	pres	actv	participle	—	mas	acc	pl	verb	Jn 4:23,Jn 4:24,Re 11:1,Re 16:2,Re 19:20
προσεκύνησαν	προσκυνέω	aor	actv	indicative	3p	—	—	pl	verb	Mt 2:11,Mt 14:33,Mt 28:9,Mt 28:17,Jn 4:20,Re 5:14,Re 7:11,Re 11:16,Re 13:4,Re 13:4,Re 19:4,Re 20:4
προσκυνησάτωσαν	προσκυνέω	aor	actv	imperative	3p	—	—	pl	verb	Heb 1:6
προσκυνεῖ	προσκυνέω	pres	actv	indicative	3p	—	—	sg	verb	Re 14:9
προσκυνεῖτε	προσκυνέω	pres	actv	indicative	2p	—	—	pl	verb	Jn 4:22
προσκυνοῦμεν	προσκυνέω	pres	actv	indicative	1p	—	—	pl	verb	Jn 4:22
προσκυνῆσαι	προσκυνέω	aor	actv	infinitive	—	—	—	—	verb	Mt 2:2,Re 19:10,Re 22:8
προσεκύνησεν	προσκυνέω	aor	actv	indicative	3p	—	—	sg	verb	Mk 5:6,Jn 9:38,Ac 10:25,Heb 11:21
προσκυνήσουσιν	προσκυνέω	futr	actv	indicative	3p	—	—	pl	verb	Jn 4:23,Re 3:9,Re 4:10,Re 9:20,Re 13:8,Re 13:12,Re 15:4
προσκυνήσω	προσκυνέω	aor	actv	subjunctive	1p	—	—	sg	verb	Mt 2:8
προσκυνοῦσα	προσκυνέω	pres	actv	participle	—	fem	nom	sg	verb	Mt 20:20
προσκυνήσῃς	προσκυνέω	aor	actv	subjunctive	2p	—	—	sg	verb	Mt 4:9,Lk 4:7
προσκύνησον	προσκυνέω	aor	actv	imperative	2p	—	—	sg	verb	Re 19:10,Re 22:9
προσκυνήσωσιν	προσκυνέω	aor	actv	subjunctive	3p	—	—	pl	verb	Jn 12:20,Re 13:15
προσκυνήσων	προσκυνέω	futr	actv	participle	—	mas	nom	sg	verb	Ac 8:27,Ac 24:11
προσκυνήσαντες	προσκυνέω	aor	actv	participle	—	mas	nom	pl	verb	Lk 24:52
προσεκύνει	προσκυνέω	impft	actv	indicative	3p	—	—	sg	verb	Mt 8:2,Mt 9:18,Mt 15:25,Mt 18:26
προσκυνεῖν	προσκυνέω	pres	actv	infinitive	—	—	—	—	verb	Jn 4:20,Jn 4:24,Ac 7:43
προσεκύνουν	προσκυνέω	impft	actv	indicative	3p	—	—	pl	verb	Mk 15:19
προσκυνήσατε	προσκυνέω	aor	actv	imperative	2p	—	—	pl	verb	Re 14:7
