Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
ἐπερωτήσω	ἐπερωτάω	futr	actv	indicative	1p	—	—	sg	verb	Mk 11:29
ἐπηρώτα	ἐπερωτάω	impft	actv	indicative	3p	—	—	sg	verb	Mk 5:9,Mk 8:23,Mk 8:27,Mk 8:29,Mk 9:33,Mk 10:17,Mk 13:3,Mk 14:61,Mk 15:4,Lk 23:9
ἐπερωτήσας	ἐπερωτάω	aor	actv	participle	—	mas	nom	sg	verb	Ac 23:34
ἐπερωτῆσαι	ἐπερωτάω	aor	actv	infinitive	—	—	—	—	verb	Mt 22:46,Mk 9:32,Mk 12:34
ἐπηρώτησέν	ἐπερωτάω	aor	actv	indicative	3p	—	—	sg	verb	Lk 18:18
ἐπερωτάτωσαν	ἐπερωτάω	pres	actv	imperative	3p	—	—	pl	verb	1 Co 14:35
ἐπερωτᾶν	ἐπερωτάω	pres	actv	infinitive	—	—	—	—	verb	Lk 20:40
ἐπερωτῶσιν	ἐπερωτάω	pres	actv	indicative	3p	—	—	pl	verb	Mk 7:5
ἐπηρώτησαν	ἐπερωτάω	aor	actv	indicative	3p	—	—	pl	verb	Mt 12:10,Mt 16:1,Mt 17:10,Mt 22:23,Lk 20:21,Lk 20:27
Ἐπηρώτων	ἐπερωτάω	impft	actv	indicative	3p	—	—	pl	verb	Lk 8:9
ἐπερωτῶντα	ἐπερωτάω	pres	actv	participle	—	mas	acc	sg	verb	Lk 2:46
Ἐπηρώτησαν	ἐπερωτάω	aor	actv	indicative	3p	—	—	pl	verb	Lk 21:7
ἐπηρώτησεν	ἐπερωτάω	aor	actv	indicative	3p	—	—	sg	verb	Mt 22:35,Mt 22:41,Mt 27:11,Mk 9:16,Mk 9:21,Mk 12:28,Mk 14:60,Mk 15:2,Mk 15:44,Lk 8:30,Lk 9:18,Lk 18:40,Lk 23:6,Jn 18:7,Ac 5:27
ἐπερωτήσατε	ἐπερωτάω	aor	actv	imperative	2p	—	—	pl	verb	Jn 9:23
ἐπηρώτων	ἐπερωτάω	impft	actv	indicative	3p	—	—	pl	verb	Mk 7:17,Mk 9:11,Mk 9:28,Mk 10:2,Mk 10:10,Mk 12:18,Lk 3:10,Lk 3:14,Lk 22:64
ἐπερωτῶσιν	ἐπερωτάω	pres	actv	participle	—	mas	dat	pl	verb	Ro 10:20
Ἐπερωτηθεὶς	ἐπερωτάω	aor	pass	participle	—	mas	nom	sg	verb	Lk 17:20
ἐπερωτῶ	ἐπερωτάω	pres	actv	indicative	1p	—	—	sg	verb	Lk 6:9
