Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
ὑπάγεις	ὑπάγω	pres	actv	indicative	2p	—	—	sg	verb	Lk 12:58,Jn 11:8,Jn 13:36,Jn 14:5,Jn 16:5
ὑπάγω	ὑπάγω	pres	actv	indicative	1p	—	—	sg	verb	Jn 7:33,Jn 8:14,Jn 8:14,Jn 8:21,Jn 8:21,Jn 13:33,Jn 13:36,Jn 14:4,Jn 14:28,Jn 16:5,Jn 16:10,Jn 16:17,Jn 21:3,Jn 8:22
ὑπάγητε	ὑπάγω	pres	actv	subjunctive	2p	—	—	pl	verb	Jn 15:16
ὑπῆγον	ὑπάγω	impft	actv	indicative	3p	—	—	pl	verb	Jn 6:21,Jn 12:11
ὑπάγῃ	ὑπάγω	pres	actv	subjunctive	3p	—	—	sg	verb	Re 14:4
ὑπάγοντας	ὑπάγω	pres	actv	participle	—	mas	acc	pl	verb	Mk 6:33
ὑπάγετε	ὑπάγω	pres	actv	imperative	2p	—	—	pl	verb	Mt 8:32,Mt 20:4,Mt 20:7,Mt 26:18,Mt 27:65,Mt 28:10,Mk 6:38,Mk 11:2,Mk 14:13,Mk 16:7,Lk 10:3,Lk 19:30,Jas 2:16,Re 16:1
ὕπαγε	ὑπάγω	pres	actv	imperative	2p	—	—	sg	verb	Mt 4:10,Mt 5:24,Mt 5:41,Mt 8:4,Mt 8:13,Mt 9:6,Mt 16:23,Mt 18:15,Mt 19:21,Mt 20:14,Mt 21:28,Mk 1:44,Mk 2:11,Mk 5:19,Mk 5:34,Mk 7:29,Mk 8:33,Mk 10:21,Mk 10:52,Jn 4:16,Jn 7:3,Jn 9:7,Jn 9:11,Re 10:8
ὑπάγει	ὑπάγω	pres	actv	indicative	3p	—	—	sg	verb	Mt 13:44,Mt 26:24,Mk 14:21,Jn 3:8,Jn 11:31,Jn 12:35,Jn 13:3,1 Jn 2:11,Re 13:10,Re 17:8,Re 17:11
ὑπάγειν	ὑπάγω	pres	actv	infinitive	—	—	—	—	verb	Lk 8:42,Lk 17:14,Jn 6:67,Jn 11:44,Jn 18:8
ὑπάγοντες	ὑπάγω	pres	actv	participle	—	mas	nom	pl	verb	Mk 6:31
