Result	Lemma	Gender	Case	Number	Part of Speech	Reference
ἰδίων	ἴδιος	feminine, masculine	gen	pl	adjective	Heb 7:27
ἴδιον	ἴδιος	mas	acc	sg	adjective	Mt 22:5,Jn 1:41,Jn 5:18,Ac 1:25,1 Co 3:8,1 Co 3:8,1 Co 7:2,1 Ti 5:4
ἴδιον	ἴδιος	neu	acc	sg	adjective	Lk 10:34,Jn 15:19,1 Co 6:18,1 Co 7:7,1 Co 15:38,Jud 6
ἰδίου	ἴδιος	neu	gen	sg	adjective	1 Co 7:4,1 Co 7:4,1 Co 7:37
ἰδίους	ἴδιος	mas	acc	pl	adjective	Mt 25:14,Jn 13:1,Ac 4:23,1 Co 14:35,1 Ti 6:1
ἰδίας	ἴδιος	fem	gen	sg	adjective	Ac 25:19,Jas 1:14,2 Pe 1:20,2 Pe 2:16
ἰδίῳ	ἴδιος	mas	dat	sg	adjective	Lk 6:41,Ro 14:4,Ro 14:5,Ga 6:9
ἰδίου	ἴδιος	neuter, masculine	gen	sg	adjective	Heb 9:12,Heb 13:12
ἴδιοι	ἴδιος	mas	nom	pl	adjective	Jn 1:11
ἰδίῳ	ἴδιος	neu	dat	sg	adjective	Jn 5:43
ἰδίαν	ἴδιος	fem	acc	sg	adjective	Mt 9:1,Mt 14:13,Mt 14:23,Mt 17:1,Mt 17:19,Mt 20:17,Mt 24:3,Mt 25:15,Mk 4:34,Mk 6:31,Mk 6:32,Mk 7:33,Mk 9:2,Mk 9:28,Mk 13:3,Lk 9:10,Lk 10:23,Jn 7:18,Ac 23:19,Ro 10:3,Ga 2:2,1 Ti 4:2,2 Ti 1:9,2 Pe 3:16
ἰδίας	ἴδιος	fem	acc	pl	adjective	2 Ti 4:3,2 Pe 3:3
ἰδίᾳ	ἴδιος	fem	dat	sg	adjective	Jn 4:44,Ac 1:7,Ac 1:19,Ac 2:6,Ac 2:8,Ac 3:12,Ac 13:36,Ac 24:24,Ro 11:24,1 Co 7:37,1 Co 12:11,2 Pe 1:3
ἰδίοις	ἴδιος	mas	dat	pl	adjective	Mk 4:34,Eph 5:22,1 Ti 2:6,1 Ti 6:15,Tt 1:3,Tt 2:5,Tt 2:9,1 Pe 3:1,1 Pe 3:5
ἰδίων	ἴδιος	neu	gen	pl	adjective	Jn 8:44,Heb 4:10
ἴδιον	ἴδιος	neuter, masculine	acc	sg	adjective	Ac 4:32,1 Co 11:21,Ga 6:5,2 Pe 2:22
ἰδίῳ	ἴδιος	neuter, masculine	dat	sg	adjective	Ac 28:30,1 Co 15:23
ἰδίοις	ἴδιος	neuter, masculine	dat	pl	adjective	1 Co 9:7
ἴδιος	ἴδιος	mas	nom	sg	adjective	Tt 1:12
ἰδίαις	ἴδιος	fem	dat	pl	adjective	1 Co 4:12,Eph 4:28,1 Th 4:11
ἴδια	ἴδιος	neu	nom	pl	adjective	Jn 10:12
ἴδια	ἴδιος	neu	acc	pl	adjective	Lk 18:28,Jn 1:11,Jn 10:3,Jn 10:4,Jn 16:32,Jn 19:27,Ac 21:6,1 Th 4:11
ἰδίου	ἴδιος	mas	gen	sg	adjective	Lk 6:44,Ac 20:28,Ro 8:32,1 Ti 3:4,1 Ti 3:5,2 Pe 3:17
ἰδίων	ἴδιος	mas	gen	pl	adjective	Ac 24:23,1 Th 2:14,1 Ti 3:12,1 Ti 5:8
