Reference	Result	Lemma	Part of Speech
Mt 22:40,Lk 1:39,Lk 6:12,Lk 23:7,Lk 24:18,Jn 5:3,Ac 1:15,Ac 6:1,Ac 11:27,1 Th 3:3,Re 9:20	ταύταις	οὗτος	pronoun
Mt 4:3,Mt 20:12,Mt 20:21,Mt 21:16,Mt 25:46,Mk 4:15,Mk 12:40,Lk 8:13,Lk 13:2,Lk 19:40,Lk 20:47,Lk 21:4,Lk 24:17,Lk 24:44,Jn 6:5,Jn 12:21,Jn 17:25,Jn 18:21,Ac 1:14,Ac 2:15,Ac 11:12,Ac 16:17,Ac 16:20,Ac 17:6,Ac 17:7,Ac 17:11,Ac 20:5,Ac 24:15,Ac 24:20,Ac 25:11,Ac 27:31,Ro 2:14,Ro 8:14,Ro 9:6,Ro 11:24,Ro 11:31,1 Co 16:17,Ga 3:7,Ga 6:12,Col 4:11,1 Ti 3:10,2 Ti 3:8,Heb 11:13,Heb 11:39,Jud 8,Jud 10,Re 7:13,Re 11:6,Re 11:10,Re 14:4,Re 14:4,Re 17:13,Re 17:14,Re 17:16,Re 19:9,Re 21:5,Re 22:6	οὗτοι	οὗτος	pronoun
Mt 11:16,Mt 15:15,Mt 21:23,Mt 23:36,Mk 4:13,Mk 10:5,Mk 11:28,Mk 12:10,Lk 4:6,Lk 4:23,Lk 7:44,Lk 12:41,Lk 13:6,Lk 13:16,Lk 15:3,Lk 18:5,Lk 18:9,Lk 20:2,Lk 20:9,Lk 20:19,Lk 23:48,Lk 24:21,Jn 7:8,Jn 10:18,Jn 12:27,Ac 3:16,Ac 7:4,Ac 7:60,Ac 8:19,Ac 13:33,Ac 22:4,Ac 22:28,Ac 23:13,Ac 27:21,Ac 28:20,Ac 28:20,Ro 5:2,1 Co 6:13,2 Co 4:1,2 Co 8:6,2 Co 9:5,2 Co 12:13,2 Ti 2:19,1 Pe 5:12,2 Pe 1:18,1 Jn 3:3,1 Jn 4:21,2 Jn 10,Re 2:24	ταύτην	οὗτος	pronoun
Ac 20:34,Ga 4:24	αὗται	οὗτος	pronoun
Jn 21:24	Οὗτός	οὗτος	pronoun
Jn 2:11,Jn 10:6,1 Ti 1:18,2 Pe 3:1	Ταύτην	οὗτος	pronoun
Mt 11:7,Heb 9:6,2 Pe 3:11	Τούτων	οὗτος	pronoun
Jn 15:12,Re 20:5	Αὕτη	οὗτος	pronoun
Mt 3:17,Mt 11:10,Mt 12:23,Mt 13:19,Mt 13:20,Mt 13:22,Mt 13:23,Mt 13:55,Mt 14:2,Mt 17:5,Mt 18:4,Mt 21:11,Mt 21:38,Mt 26:23,Mt 27:37,Mk 4:41,Mk 6:3,Mk 9:7,Mk 12:7,Lk 7:27,Lk 7:49,Lk 8:25,Lk 9:35,Lk 9:48,Lk 20:14,Lk 23:35,Jn 1:30,Jn 1:33,Jn 1:34,Jn 4:29,Jn 4:42,Jn 6:14,Jn 6:42,Jn 6:50,Jn 6:58,Jn 7:25,Jn 7:26,Jn 7:40,Jn 7:41,Jn 9:8,Jn 9:9,Jn 9:19,Jn 9:20,Ac 4:11,Ac 7:37,Ac 7:38,Ac 8:10,Ac 9:20,Ac 9:21,Ac 9:22,Ac 10:36,Ac 10:42,Ac 17:3,Ac 18:26,Ac 21:28,2 Pe 1:17,1 Jn 2:22,1 Jn 5:6,1 Jn 5:20,2 Jn 7	οὗτός	οὗτος	pronoun
Mt 8:9,Mt 12:32,Mt 13:54,Mt 13:56,Mt 17:20,Mt 20:14,Mt 21:21,Mk 6:2,Mk 6:2,Mk 10:30,Mk 11:23,Lk 1:61,Lk 4:3,Lk 7:8,Lk 10:5,Lk 10:20,Lk 14:9,Lk 18:30,Lk 19:9,Lk 19:19,Lk 21:23,Lk 23:4,Lk 23:14,Jn 4:20,Jn 4:21,Jn 4:27,Jn 4:37,Jn 5:38,Jn 9:30,Jn 10:3,Jn 12:25,Jn 13:24,Jn 13:35,Jn 15:8,Jn 16:30,Jn 20:30,Ac 1:6,Ac 3:12,Ac 4:10,Ac 4:17,Ac 5:28,Ac 7:7,Ac 7:29,Ac 8:21,Ac 8:29,Ac 10:43,Ac 13:39,Ac 15:15,Ac 21:9,Ac 23:9,Ac 24:2,Ac 24:10,Ac 24:16,Ro 12:2,Ro 13:9,Ro 14:18,1 Co 3:18,1 Co 4:4,1 Co 7:24,1 Co 11:22,1 Co 14:21,2 Co 3:10,2 Co 5:2,2 Co 8:10,2 Co 9:3,Ga 6:16,Eph 1:21,Php 1:18,Heb 4:5,1 Pe 4:16,2 Pe 1:13,2 Pe 2:19,1 Jn 2:3,1 Jn 2:4,1 Jn 2:5,1 Jn 2:5,1 Jn 3:10,1 Jn 3:16,1 Jn 3:19,1 Jn 3:24,1 Jn 4:2,1 Jn 4:9,1 Jn 4:10,1 Jn 4:13,1 Jn 4:17,1 Jn 4:17,1 Jn 5:2,Re 22:18,Re 22:19	τούτῳ	οὗτος	pronoun
Mt 13:53,Mk 13:2,Lk 1:24,Ac 1:5,Ac 3:24,Ac 21:15,Heb 9:23,Re 16:9	ταύτας	οὗτος	pronoun
