Result	Lemma	Gender	Case	Number	Part of Speech	Reference
τί	τις	neu	acc	sg	pronoun	Ac 9:6,Ac 24:20,Ac 25:26
τινὶ	τις	mas	dat	sg	pronoun	Lk 12:15,Ac 5:15
τινὰς	τις	fem	acc	pl	adjective, pronoun	Ac 9:19,Ac 24:24
τινος	τις	mas	gen	sg	pronoun	Mk 11:25,Mk 12:19,Lk 14:8,Lk 20:28,1 Co 3:14,1 Co 3:15,1 Co 15:37,2 Th 3:8,Heb 3:4
τινα	τις	fem	acc	sg	adjective, pronoun	Lk 17:12,Lk 21:2,Ac 27:26,1 Co 9:12,Jas 1:18
τινος	τις	mas	gen	sg	adjective, pronoun	Lk 7:2,Lk 14:1,Ac 19:14,Ac 25:19
τινος	τις	neu	gen	sg	pronoun	Lk 22:35,Ac 17:25,1 Co 6:12
τινὰ	τις	mas	acc	sg	adjective, pronoun	Ac 13:6,Ac 18:23,Ac 27:8,Ro 1:13,1 Co 16:7
τινὸς	τις	mas	gen	sg	adjective, pronoun	Lk 12:16
τινός	τις	mas	gen	sg	adjective, pronoun	Ac 24:1
τι	τις	neu	acc	sg	pronoun, adjective	Ro 9:11
τινὰ	τις	mas	acc	sg	pronoun	Mt 8:28,Jas 5:12
τινάς	τις	fem	acc	pl	adjective, pronoun	Ac 10:48,Ac 16:12
τίνι	τις	mas	dat	sg	adjective, pronoun	1 Co 15:2
τινὰς	τις	mas	acc	pl	pronoun	Mk 7:2,Lk 7:18,Ac 23:23,Ro 11:14,1 Co 9:22,Heb 4:6
τις	τις	fem	nom	sg	adjective, pronoun	Lk 10:38,Lk 11:27,Lk 22:56,Ac 9:36,Ac 16:14,Ro 8:39,Ro 13:9,1 Co 7:13,Php 2:1,Php 2:1,1 Ti 5:4,1 Ti 5:16,Heb 10:27,Heb 12:15
τινα	τις	neu	acc	pl	pronoun	Ac 17:20
τινας	τις	fem	acc	pl	adjective, pronoun	Ac 15:36
