Reference	Result	Lemma	Part of Speech
Mt 18:28,Mt 24:46,Mt 24:48,Mt 26:24,Mt 27:8,Mt 27:63,Mk 14:21,Lk 12:43,Lk 12:45,Jn 1:8,Jn 1:18,Jn 2:21,Jn 4:25,Jn 5:19,Jn 5:35,Jn 5:37,Jn 5:38,Jn 5:46,Jn 6:29,Jn 7:11,Jn 8:44,Jn 9:9,Jn 9:11,Jn 9:12,Jn 9:25,Jn 9:36,Jn 10:1,Jn 12:48,Jn 13:25,Jn 13:30,Jn 14:26,Jn 15:26,Jn 16:8,Jn 16:13,Jn 16:14,Jn 18:15,Jn 18:17,Jn 18:25,Jn 19:21,Jn 19:35,Jn 21:7,Jn 21:23,2 Ti 2:13,Jas 1:7,1 Jn 2:6,1 Jn 3:3,1 Jn 3:5,1 Jn 3:7,1 Jn 3:16	ἐκεῖνος	ἐκεῖνος	pronoun
Mt 24:43	Ἐκεῖνο	ἐκεῖνος	pronoun
Mk 3:24,Mk 3:25,Mk 16:10,Lk 21:34,Jn 11:29,Jn 20:15,Jn 20:16,2 Co 7:8,Heb 8:7	ἐκείνη	ἐκεῖνος	pronoun
Mk 7:20,Ac 1:19,Jas 4:15	ἐκεῖνο	ἐκεῖνος	pronoun
Mk 4:20	ἐκεῖνοί	ἐκεῖνος	pronoun
Heb 8:10,Heb 10:16	ἐκείνας	ἐκεῖνος	pronoun
Mt 7:22,Mt 7:25,Mt 7:27,Mt 8:13,Mt 9:31,Mt 10:15,Mt 10:19,Mt 13:1,Mt 18:1,Mt 22:23,Mt 26:55,Mk 2:20,Mk 4:35,Mk 13:11,Lk 6:23,Lk 6:48,Lk 7:21,Lk 10:12,Lk 10:12,Lk 10:31,Lk 17:31,Lk 18:3,Jn 4:53,Jn 5:9,Jn 14:20,Jn 16:23,Jn 16:26,Jn 20:19,Jn 21:3,Ac 2:41,Ac 8:1,Ac 8:8,Ac 12:6,Ac 16:33,2 Th 1:10,2 Ti 1:18,2 Ti 4:8,Re 11:13	ἐκείνῃ	ἐκεῖνος	pronoun
Lk 12:47	Ἐκεῖνος	ἐκεῖνος	pronoun
Mt 13:44,Mt 17:27,Lk 18:14,Lk 20:18,Jn 3:30,Jn 5:43,Jn 13:27,Ac 12:1,Ac 19:23,Ac 28:7,Ro 14:15,1 Co 10:28	ἐκεῖνον	ἐκεῖνος	pronoun
Jn 1:33,Jn 5:11,Jn 8:42,Jn 9:37,Jn 13:26,Jn 14:21,2 Co 10:18,1 Jn 4:17	ἐκεῖνός	ἐκεῖνος	pronoun
Mt 13:11,Mt 20:4,Mt 21:40,Mk 4:11,Mk 16:13,Ac 16:3,1 Co 10:11,Heb 6:7	ἐκείνοις	ἐκεῖνος	pronoun
Mt 12:45,Mt 14:35,Mt 18:27,Mt 24:50,Lk 11:26,Lk 12:46,Lk 20:35,Jn 3:28,Jn 5:47,Jn 9:28,Jn 11:49,Jn 11:51,Jn 18:13,Jn 19:31,Ac 3:13,Ac 3:23,Ac 19:16,Ac 22:11,2 Co 8:9,2 Ti 2:26,Tt 3:7,2 Pe 1:16	ἐκείνου	ἐκεῖνος	pronoun
Mt 22:7,Lk 8:32,Jn 10:35,Ac 16:35,Heb 4:2	ἐκείνους	ἐκεῖνος	pronoun
Jn 5:39	ἐκεῖναί	ἐκεῖνος	pronoun
Mt 11:25,Mt 12:1,Mt 14:1,Mt 26:24,Mt 27:19,Mk 14:21,Lk 22:22,Ro 14:14,Eph 2:12	ἐκείνῳ	ἐκεῖνος	pronoun
Mt 15:22,Mt 24:29,Mt 25:19,Lk 14:24,Ac 10:9,Ro 6:21,2 Co 8:14,2 Co 8:14,2 Ti 3:9	ἐκείνων	ἐκεῖνος	pronoun
Mt 3:1,Mt 24:19,Mt 24:38,Mk 1:9,Mk 8:1,Mk 13:17,Mk 13:24,Lk 2:1,Lk 4:2,Lk 5:35,Lk 9:36,Lk 21:23,Ac 2:18,Ac 7:41,Ac 9:37,Re 9:6	ἐκείναις	ἐκεῖνος	pronoun
Mt 24:22,Mt 24:22,Mt 25:7,Mk 13:19	ἐκεῖναι	ἐκεῖνος	pronoun
Ac 20:2	ἐκεῖνα	ἐκεῖνος	pronoun
Mt 8:28,Mt 9:22,Mt 10:14,Mt 15:28,Mt 17:18,Mt 22:46,Mt 24:36,Mt 26:29,Mk 13:32,Mk 14:25,Lk 6:49,Lk 9:5,Lk 15:15,Lk 19:4,Jn 4:39,Jn 11:53,Jn 19:27,Heb 11:15,1 Jn 5:16	ἐκείνης	ἐκεῖνος	pronoun
Mt 9:26,Mt 14:35,Mt 18:32,Mk 6:55,Mk 13:24,Lk 15:14,Jn 1:39,Ac 14:21,2 Ti 1:12,Heb 4:11	ἐκείνην	ἐκεῖνος	pronoun
Mt 22:10,Mk 12:7,Mk 16:20,Lk 12:37,Lk 12:38,Lk 13:4,Jn 7:45,Jn 10:6,Jn 11:13,Jn 19:15,Jn 20:13,Ac 21:6,1 Co 9:25,1 Co 15:11,Heb 12:25	ἐκεῖνοι	ἐκεῖνος	pronoun
