Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
κριθῶσιν	κρίνω	aor	pass	subjunctive	3p	—	—	pl	verb	2 Th 2:12,1 Pe 4:6
κεκρίκει	κρίνω	pluperfect	actv	indicative	3p	—	—	sg	verb	Ac 20:16
κρίνω	κρίνω	pres	actv	subjunctive	1p	—	—	sg	verb	Jn 8:16,Jn 12:47
κρίνοντες	κρίνω	pres	actv	participle	—	mas	nom	pl	verb	Mt 19:28,Lk 22:30
κρίνεται	κρίνω	pres	pass	indicative	3p	—	—	sg	verb	Jn 3:18,Ac 26:8,1 Co 6:2,1 Co 6:6,1 Co 10:29
ἔκρινά	κρίνω	aor	actv	indicative	1p	—	—	sg	verb	1 Co 2:2
κρίνεσθαί	κρίνω	pres	pass	infinitive	—	—	—	—	verb	Ro 3:4
κρίνων	κρίνω	pres	actv	participle	—	mas	nom	sg	verb	Jn 8:50,Ac 23:3,Ro 2:1,Ro 2:1,Ro 2:3,Ro 14:4,Ro 14:22,Jas 4:11,Jas 4:12
κρίνει	κρίνω	pres	actv	indicative	3p	—	—	sg	verb	Jn 5:22,Jn 7:51,Ro 14:5,Ro 14:5,Jas 4:11,Re 19:11
κρινοῦμεν	κρίνω	futr	actv	indicative	1p	—	—	pl	verb	1 Co 6:3
ἔκρινα	κρίνω	aor	actv	indicative	1p	—	—	sg	verb	Ac 25:25
κρίνει	κρίνω	future, present	actv	indicative	3p	—	—	sg	verb	Ro 2:16
κρινέτω	κρίνω	pres	actv	imperative	3p	—	—	sg	verb	Ro 14:3,Col 2:16
κρινῶ	κρίνω	futr	actv	indicative	1p	—	—	sg	verb	Lk 19:22,Ac 7:7
κρίνετε	κρίνω	pres	actv	imperative	2p	—	—	pl	verb	Mt 7:1,Lk 6:37,Jn 7:24,Jn 7:24,1 Co 4:5
ἐκρίθη	κρίνω	aor	pass	indicative	3p	—	—	sg	verb	Ac 27:1
κριθῆτε	κρίνω	aor	pass	subjunctive	2p	—	—	pl	verb	Mt 7:1,Lk 6:37,Jas 5:9
κρίνοντι	κρίνω	pres	actv	participle	—	mas	dat	sg	verb	1 Pe 2:23
κρίνετε	κρίνω	pres	actv	indicative	2p	—	—	pl	verb	Mt 7:2,Lk 12:57,Jn 8:15,Ac 13:46,1 Co 5:12
κρίνοντα	κρίνω	pres	actv	participle	—	mas	acc	sg	verb	Jn 12:48,1 Pe 1:17
κριθῆναι	κρίνω	aor	pass	infinitive	—	—	—	—	verb	Mt 5:40,Ac 25:9,Re 11:18
κρινεῖ	κρίνω	futr	actv	indicative	3p	—	—	sg	verb	Jn 12:48,Ro 2:27
κριθήσονται	κρίνω	futr	pass	indicative	3p	—	—	pl	verb	Ro 2:12
κρινόμενος	κρίνω	pres	pass	participle	—	mas	nom	sg	verb	Ac 26:6
κρίνω	κρίνω	present, future	actv	indicative	1p	—	—	sg	verb	Jn 12:47
κρῖναι	κρίνω	aor	actv	infinitive	—	—	—	—	verb	1 Pe 4:5
κεκριμένα	κρίνω	perfect	pass	participle	—	neu	acc	pl	verb	Ac 16:4
κρίναντες	κρίνω	aor	actv	participle	—	mas	nom	pl	verb	Ac 13:27,Ac 21:25
κριθήσεσθε	κρίνω	futr	pass	indicative	2p	—	—	pl	verb	Mt 7:2
κρίνεσθαι	κρίνω	pres	pass	infinitive	—	—	—	—	verb	Ac 25:10,Ac 25:20,1 Co 6:1,Jas 2:12
κρίνωμεν	κρίνω	pres	actv	subjunctive	1p	—	—	pl	verb	Ro 14:13
κρίνῃ	κρίνω	pres	actv	subjunctive	3p	—	—	sg	verb	Jn 3:17
κρινοῦσιν	κρίνω	futr	actv	indicative	3p	—	—	pl	verb	1 Co 6:2
κρίνομαι	κρίνω	pres	pass	indicative	1p	—	—	sg	verb	Ac 23:6,Ac 24:21,Ro 3:7
κρίνας	κρίνω	aor	actv	participle	—	mas	nom	sg	verb	Re 18:8
κρίνατε	κρίνω	aor	actv	imperative	2p	—	—	pl	verb	Jn 18:31,Ac 4:19,Ro 14:13,1 Co 10:15,1 Co 11:13
κεκρίκατέ	κρίνω	perfect	actv	indicative	2p	—	—	pl	verb	Ac 16:15
κρίναντας	κρίνω	aor	actv	participle	—	mas	acc	pl	verb	2 Co 5:14
κρίναντος	κρίνω	aor	actv	participle	—	mas	gen	sg	verb	Ac 3:13
κέκρικεν	κρίνω	perfect	actv	indicative	3p	—	—	sg	verb	1 Co 7:37
κρίνω	κρίνω	pres	actv	indicative	1p	—	—	sg	verb	Jn 5:30,Jn 8:15,Ac 15:19
κρίνεις	κρίνω	pres	actv	indicative	2p	—	—	sg	verb	Ro 2:1,Ro 14:10,Jas 4:11,Re 6:10
ἐκρίθησαν	κρίνω	aor	pass	indicative	3p	—	—	pl	verb	Re 20:12,Re 20:13
κρίνειν	κρίνω	pres	actv	infinitive	—	—	—	—	verb	Jn 8:26,Ac 17:31,1 Co 5:12,2 Ti 4:1
κρινόμενοι	κρίνω	pres	pass	participle	—	mas	nom	pl	verb	1 Co 11:32
ἔκρινας	κρίνω	aor	actv	indicative	2p	—	—	sg	verb	Lk 7:43,Re 16:5
κέκρικα	κρίνω	perfect	actv	indicative	1p	—	—	sg	verb	1 Co 5:3,Tt 3:12
ἐκρινόμεθα	κρίνω	impft	pass	indicative	1p	—	—	pl	verb	1 Co 11:31
κρινεῖ	κρίνω	future, present	actv	indicative	3p	—	—	sg	verb	Ro 3:6,1 Co 5:13,Heb 10:30,Heb 13:4
κέκριται	κρίνω	perfect	pass	indicative	3p	—	—	sg	verb	Jn 3:18,Jn 16:11
Ἔκρινα	κρίνω	aor	actv	indicative	1p	—	—	sg	verb	2 Co 2:1
ἔκρινεν	κρίνω	aor	actv	indicative	3p	—	—	sg	verb	Re 18:20,Re 19:2
