Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
ἔσπειρα	σπείρω	aor	actv	indicative	1p	—	—	sg	verb	Mt 25:26,Lk 19:22
σπαρείς	σπείρω	aor	pass	participle	—	mas	nom	sg	verb	Mt 13:19,Mt 13:20,Mt 13:22,Mt 13:23
ἔσπειρεν	σπείρω	aor	actv	indicative	3p	—	—	sg	verb	Mt 13:31
σπαρέντες	σπείρω	aor	pass	participle	—	mas	nom	pl	verb	Mk 4:20
σπείραντος	σπείρω	aor	actv	participle	—	mas	gen	sg	verb	Mt 13:18
ἐσπαρμένον	σπείρω	perfect	pass	participle	—	mas	acc	sg	verb	Mk 4:15
σπεῖραι	σπείρω	aor	actv	infinitive	—	—	—	—	verb	Mk 4:3,Lk 8:5
σπείρων	σπείρω	pres	actv	participle	—	mas	nom	sg	verb	Mt 13:3,Mt 13:37,Mk 4:3,Mk 4:14,Lk 8:5,Jn 4:36,Jn 4:37,2 Co 9:6,2 Co 9:6,Ga 6:8,Ga 6:8
σπείρεται	σπείρω	pres	pass	indicative	3p	—	—	sg	verb	Mk 4:15,1 Co 15:42,1 Co 15:43,1 Co 15:43,1 Co 15:44,Jas 3:18
σπείροντι	σπείρω	pres	actv	participle	—	mas	dat	sg	verb	2 Co 9:10
ἐσπαρμένον	σπείρω	perfect	pass	participle	—	neu	acc	sg	verb	Mt 13:19
σπείραντι	σπείρω	aor	actv	participle	—	mas	dat	sg	verb	Mt 13:24
σπειρόμενοι	σπείρω	pres	pass	participle	—	mas	nom	pl	verb	Mk 4:16,Mk 4:18
σπείρῃ	σπείρω	pres	actv	subjunctive	3p	—	—	sg	verb	Ga 6:7
σπείρουσιν	σπείρω	pres	actv	indicative	3p	—	—	pl	verb	Mt 6:26,Lk 12:24
σπαρῇ	σπείρω	aor	pass	subjunctive	3p	—	—	sg	verb	Mk 4:31,Mk 4:32
ἐσπείραμεν	σπείρω	aor	actv	indicative	1p	—	—	pl	verb	1 Co 9:11
ἔσπειρας	σπείρω	aor	actv	indicative	2p	—	—	sg	verb	Mt 13:27,Mt 25:24,Lk 19:21
σπείρεις	σπείρω	pres	actv	indicative	2p	—	—	sg	verb	1 Co 15:36,1 Co 15:37,1 Co 15:37
σπείρει	σπείρω	pres	actv	indicative	3p	—	—	sg	verb	Mk 4:14
σπείρας	σπείρω	aor	actv	participle	—	mas	nom	sg	verb	Mt 13:39
σπείρειν	σπείρω	pres	actv	infinitive	—	—	—	—	verb	Mt 13:3,Mt 13:4,Mk 4:4,Lk 8:5
