Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
ἀπεκρίθην	ἀποκρίνομαι	aor	passive, middle	indicative	1p	—	—	sg	verb	Ac 22:8,Ac 25:16
ἀποκριθήσεται	ἀποκρίνομαι	futr	pass	indicative	3p	—	—	sg	verb	Mt 25:45
ἀποκριθῆτε	ἀποκρίνομαι	aor	pass	subjunctive, imperative	2p	—	—	pl	verb	Lk 22:68
ἀποκριθῶσιν	ἀποκρίνομαι	aor	pass	subjunctive	3p	—	—	pl	verb	Mk 14:40
ἀπεκρίθης	ἀποκρίνομαι	aor	passive, middle	indicative	2p	—	—	sg	verb	Lk 10:28
ἀποκρίνῃ	ἀποκρίνομαι	pres	either middle or passive	indicative	2p	—	—	sg	verb	Mt 26:62,Mk 14:60,Mk 15:4,Jn 18:22
ἀποκρίνεσθαι	ἀποκρίνομαι	pres	either middle or passive	infinitive	—	—	—	—	verb	Col 4:6
ἀποκριθεὶς	ἀποκρίνομαι	aor	pass	participle	—	mas	nom	sg	verb	Mt 3:15,Mt 4:4,Mt 8:8,Mt 11:4,Mt 11:25,Mt 12:39,Mt 12:48,Mt 13:11,Mt 13:37,Mt 15:3,Mt 15:13,Mt 15:24,Mt 15:26,Mt 15:28,Mt 16:2,Mt 16:16,Mt 17:4,Mt 17:11,Mt 17:17,Mt 19:4,Mt 19:27,Mt 20:13,Mt 20:22,Mt 21:21,Mt 21:24,Mt 21:29,Mt 21:30,Mt 22:1,Mt 24:2,Mt 24:4,Mt 25:12,Mt 25:40,Mt 26:23,Mt 26:25,Mt 26:33,Mt 27:21,Mt 27:25,Mk 3:33,Mk 6:37,Mk 8:29,Mk 9:5,Mk 9:19,Mk 10:3,Mk 10:24,Mk 10:51,Mk 11:14,Mk 11:22,Mk 12:35,Mk 14:48,Mk 15:2,Mk 15:12,Lk 1:19,Lk 1:35,Lk 3:11,Lk 4:8,Lk 4:12,Lk 5:5,Lk 5:22,Lk 5:31,Lk 6:3,Lk 7:22,Lk 7:40,Lk 7:43,Lk 8:21,Lk 9:20,Lk 9:41,Lk 10:27,Lk 10:41,Lk 11:7,Lk 13:2,Lk 13:8,Lk 13:25,Lk 14:3,Lk 15:29,Lk 17:17,Lk 19:40,Lk 20:3,Lk 22:51,Lk 23:3,Lk 23:40,Lk 24:18,Ac 8:24,Ac 8:34,Ac 25:9
ἀποκριθεῖσα	ἀποκρίνομαι	aor	pass	participle	—	fem	nom	sg	verb	Lk 1:60
Ἀπεκρίνατο	ἀποκρίνομαι	aor	mid	indicative	3p	—	—	sg	verb	Jn 5:19
Ἀποκριθέντες	ἀποκρίνομαι	aor	pass	participle	—	mas	nom	pl	verb	Lk 20:39
Ἀπεκρίθη	ἀποκρίνομαι	aor	passive, middle	indicative	3p	—	—	sg	verb	Jn 3:9,Jn 3:27,Jn 6:26,Jn 12:34,Ac 24:10
ἀποκρίθητέ	ἀποκρίνομαι	aor	pass	imperative	2p	—	—	pl	verb	Mk 11:29,Mk 11:30
ἀποκρίνεται	ἀποκρίνομαι	pres	either middle or passive	indicative	3p	—	—	sg	verb	Jn 12:23,Jn 13:26,Jn 13:38
ἀπεκρίθη	ἀποκρίνομαι	aor	passive, middle	indicative	3p	—	—	sg	verb	Mt 15:23,Mt 27:14,Mk 7:28,Mk 9:17,Mk 12:28,Mk 12:29,Mk 12:34,Mk 15:5,Mk 15:9,Lk 4:4,Lk 8:50,Lk 13:15,Lk 17:20,Jn 1:21,Jn 1:26,Jn 1:48,Jn 1:49,Jn 1:50,Jn 2:19,Jn 3:3,Jn 3:5,Jn 3:10,Jn 4:10,Jn 4:13,Jn 4:17,Jn 5:7,Jn 5:11,Jn 6:7,Jn 6:29,Jn 6:43,Jn 6:68,Jn 6:70,Jn 7:16,Jn 7:20,Jn 7:21,Jn 8:14,Jn 8:19,Jn 8:34,Jn 8:49,Jn 8:54,Jn 9:3,Jn 9:11,Jn 9:25,Jn 9:27,Jn 9:30,Jn 9:36,Jn 10:25,Jn 10:32,Jn 10:34,Jn 11:9,Jn 12:30,Jn 13:7,Jn 13:8,Jn 13:36,Jn 14:23,Jn 16:31,Jn 18:8,Jn 18:20,Jn 18:23,Jn 18:34,Jn 18:35,Jn 18:36,Jn 18:37,Jn 19:11,Jn 19:22,Jn 20:28,Ac 5:8,Ac 9:13,Ac 10:46,Ac 11:9,Ac 15:13,Ac 21:13,Ac 22:28,Ac 24:25,Ac 25:4,Ac 25:12,Re 7:13
ἀποκριθῆναι	ἀποκρίνομαι	aor	pass	infinitive	—	—	—	—	verb	Mt 22:46
ἀποκριθὲν	ἀποκρίνομαι	aor	pass	participle	—	neu	nom	sg	verb	Ac 19:15
ἀποκριθέντες	ἀποκρίνομαι	aor	pass	participle	—	mas	nom	pl	verb	Mt 21:27,Mt 26:66,Mk 11:33,Lk 9:19,Lk 17:37,Ac 4:19
ἀποκριθήσονται	ἀποκρίνομαι	futr	pass	indicative	3p	—	—	pl	verb	Mt 25:37,Mt 25:44
Ἀπεκρίθησαν	ἀποκρίνομαι	aor	passive, middle	indicative	3p	—	—	pl	verb	Jn 2:18,Jn 8:39,Jn 8:48
Ἀποκριθεὶς	ἀποκρίνομαι	aor	pass	participle	—	mas	nom	sg	verb	Mt 14:28,Mt 15:15,Mt 16:17,Mt 22:29,Mt 25:26,Mt 28:5,Lk 9:49,Lk 11:45,Lk 13:14,Ac 5:29
ἀπεκρίνατο	ἀποκρίνομαι	aor	mid	indicative	3p	—	—	sg	verb	Mt 27:12,Mk 14:61,Lk 3:16,Lk 23:9,Jn 5:17,Ac 3:12
ἀποκριθῇ	ἀποκρίνομαι	aor	pass	subjunctive	3p	—	—	sg	verb	Mk 9:6
ἀπεκρίθησαν	ἀποκρίνομαι	aor	passive, middle	indicative	3p	—	—	pl	verb	Mt 12:38,Mt 25:9,Mk 8:4,Lk 20:7,Jn 7:46,Jn 7:47,Jn 7:52,Jn 8:33,Jn 9:20,Jn 9:34,Jn 10:33,Jn 18:5,Jn 18:30,Jn 19:7,Jn 19:15,Jn 21:5
