Result	Lemma	Gender	Case	Number	Part of Speech	Reference
ἀγγέλου	ἄγγελος	mas	gen	sg	noun	Lk 2:21,Ac 6:15,Ac 7:35,Ac 7:38,Ac 10:22,Ac 12:9,Re 1:1,Re 8:4,Re 10:7,Re 10:8,Re 10:10,Re 16:5,Re 21:17,Re 22:8
ἄγγελοι	ἄγγελος	mas	nom	pl	noun	Mt 4:11,Mt 13:49,Mt 18:10,Mt 22:30,Mt 24:36,Mt 25:31,Mk 1:13,Mk 12:25,Mk 13:32,Lk 2:15,Ro 8:38,Heb 1:6,1 Pe 1:12,2 Pe 2:11,Re 7:11,Re 8:6,Re 9:15,Re 12:7,Re 12:7,Re 12:9,Re 15:6,Re 1:20
ἀγγέλῳ	ἄγγελος	mas	dat	sg	noun	Lk 2:13,Re 9:14,Re 2:1,Re 2:8,Re 2:12,Re 2:18,Re 3:1,Re 3:7,Re 3:14
ἄγγελοί	ἄγγελος	mas	nom	pl	noun	Mt 13:39
ἄγγελος	ἄγγελος	mas	nom	sg	noun	Mt 1:20,Mt 1:24,Mt 2:13,Mt 2:19,Mt 28:2,Mt 28:5,Lk 1:11,Lk 1:13,Lk 1:19,Lk 1:26,Lk 1:30,Lk 1:35,Lk 1:38,Lk 2:9,Lk 2:10,Lk 22:43,Jn 12:29,Ac 7:30,Ac 10:7,Ac 12:7,Ac 12:8,Ac 12:10,Ac 12:23,Ac 23:9,Ac 27:23,2 Co 12:7,Ga 1:8,Re 8:3,Re 8:5,Re 8:8,Re 8:10,Re 8:12,Re 9:1,Re 9:13,Re 10:5,Re 11:15,Re 14:8,Re 14:9,Re 14:15,Re 14:17,Re 14:18,Re 14:19,Re 17:7,Re 18:21
ἀγγέλοις	ἄγγελος	mas	dat	pl	noun	Mt 4:6,Mt 25:41,Lk 4:10,1 Co 4:9,1 Ti 3:16,Heb 2:5,Re 7:2,Re 15:7,Re 16:1
ἀγγέλων	ἄγγελος	mas	gen	pl	noun	Mt 16:27,Mt 26:53,Mk 8:38,Lk 7:24,Lk 9:26,Lk 12:8,Lk 12:9,Lk 15:10,Lk 16:22,Lk 24:23,Ac 7:53,1 Co 13:1,Ga 3:19,Col 2:18,2 Th 1:7,1 Ti 5:21,Heb 1:4,Heb 1:5,Heb 1:13,Heb 2:2,Heb 2:16,Heb 12:22,1 Pe 3:22,2 Pe 2:4,Re 3:5,Re 5:11,Re 8:13,Re 14:10,Re 15:8,Re 17:1,Re 21:9
ἄγγελον	ἄγγελος	mas	acc	sg	noun	Lk 1:18,Lk 1:34,Ac 10:3,Ac 11:13,Ac 12:11,Ac 23:8,2 Co 11:14,Ga 4:14,Re 5:2,Re 7:2,Re 9:11,Re 10:1,Re 10:9,Re 14:6,Re 18:1,Re 19:17,Re 20:1,Re 22:6
ἄγγελόν	ἄγγελος	mas	acc	sg	noun	Mt 11:10,Mk 1:2,Lk 7:27,Re 22:16
ἄγγελός	ἄγγελος	mas	nom	sg	noun	Ac 12:15
ἀγγέλους	ἄγγελος	mas	acc	pl	noun	Mt 13:41,Mt 24:31,Mk 13:27,Lk 9:52,Jn 1:51,Jn 20:12,1 Co 6:3,1 Co 11:10,Heb 1:7,Heb 1:7,Heb 2:7,Heb 2:9,Heb 13:2,Jas 2:25,Jud 6,Re 7:1,Re 8:2,Re 9:14,Re 15:1,Re 21:12
Ἄγγελος	ἄγγελος	mas	nom	sg	noun	Ac 5:19,Ac 8:26
