Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
ἐγείρηται	ἐγείρω	pres	pass	subjunctive	3p	—	—	sg	verb	Mk 4:27
ἠγέρθη	ἐγείρω	aor	pass	indicative	3p	—	—	sg	verb	Mt 8:15,Mt 9:25,Mt 14:2,Mt 27:64,Mt 28:6,Mt 28:7,Mk 2:12,Mk 6:16,Mk 16:6,Lk 7:16,Lk 9:7,Lk 24:6,Lk 24:34,Jn 2:22,Jn 11:29,Ac 9:8,Ro 4:25,Ro 6:4
ἐγείρετε	ἐγείρω	pres	actv	imperative	2p	—	—	pl	verb	Mt 10:8
ἐγείρει	ἐγείρω	pres	actv	indicative	3p	—	—	sg	verb	Jn 5:21,Ac 26:8
ἐγερθείς	ἐγείρω	aor	pass	participle	—	mas	nom	sg	verb	Ro 8:34
ἤγειρεν	ἐγείρω	aor	actv	indicative	3p	—	—	sg	verb	Mk 1:31,Mk 9:27,Lk 1:69,Jn 12:1,Jn 12:9,Jn 12:17,Ac 3:7,Ac 3:15,Ac 4:10,Ac 5:30,Ac 10:26,Ac 10:40,Ac 12:7,Ac 13:22,Ac 13:30,Ac 13:37,Ro 10:9,1 Co 6:14,1 Co 15:15,1 Co 15:15,1 Th 1:10
ἔγειρε	ἐγείρω	pres	actv	imperative	2p	—	—	sg	verb	Mt 9:5,Mk 2:9,Mk 2:11,Mk 3:3,Mk 10:49,Lk 5:23,Lk 5:24,Lk 6:8,Lk 8:54,Jn 5:8,Ac 3:6,Eph 5:14,Re 11:1,Mk 5:41
ἐγείρομαι	ἐγείρω	pres	pass	indicative	1p	—	—	sg	verb	Mt 27:63
ἐγερθέντι	ἐγείρω	aor	pass	participle	—	mas	dat	sg	verb	Ro 7:4,2 Co 5:15
ἐγερθήσονται	ἐγείρω	futr	pass	indicative	3p	—	—	pl	verb	Mt 24:11,Mt 24:24,Mk 13:22,1 Co 15:52
ἐγείραντος	ἐγείρω	aor	actv	participle	—	mas	gen	sg	verb	Ro 8:11,Ga 1:1,Col 2:12
ἐγέρθητι	ἐγείρω	aor	pass	imperative	2p	—	—	sg	verb	Lk 7:14
ἐγερεῖς	ἐγείρω	futr	actv	indicative	2p	—	—	sg	verb	Jn 2:20
ἐγερεῖ	ἐγείρω	futr	actv	indicative	3p	—	—	sg	verb	Mt 12:11,2 Co 4:14,Jas 5:15
ἐγερῶ	ἐγείρω	futr	actv	indicative	1p	—	—	sg	verb	Jn 2:19
ἐγείρεσθε	ἐγείρω	pres	either middle or passive	imperative	2p	—	—	pl	verb	Mt 26:46,Mk 14:42,Jn 14:31
ἐγείρονται	ἐγείρω	pres	pass	indicative	3p	—	—	pl	verb	Mt 11:5,Mk 12:26,Lk 7:22,Lk 20:37,1 Co 15:15,1 Co 15:16,1 Co 15:29,1 Co 15:32,1 Co 15:35
ἐγείρας	ἐγείρω	aor	actv	participle	—	mas	nom	sg	verb	Ro 8:11,2 Co 4:14,Eph 1:20
ἐγείραντα	ἐγείρω	aor	actv	participle	—	mas	acc	sg	verb	Ro 4:24,1 Pe 1:21
ἐγεῖραι	ἐγείρω	aor	actv	infinitive	—	—	—	—	verb	Mt 3:9,Lk 3:8
ἐγερθεὶς	ἐγείρω	aor	pass	participle	—	mas	nom	sg	verb	Mt 1:24,Mt 2:13,Mt 2:14,Mt 2:20,Mt 2:21,Mt 8:26,Mt 9:6,Mt 9:7,Mt 9:19,Lk 11:8,Jn 21:14,Ro 6:9
ἐγηγερμένον	ἐγείρω	perfect	pass	participle	—	mas	acc	sg	verb	Mk 16:14,2 Ti 2:8
ἐγήγερται	ἐγείρω	perfect	pass	indicative	3p	—	—	sg	verb	Mt 11:11,Mk 6:14,1 Co 15:4,1 Co 15:12,1 Co 15:13,1 Co 15:14,1 Co 15:16,1 Co 15:17,1 Co 15:20
ἐγέρθητε	ἐγείρω	aor	pass	imperative	2p	—	—	pl	verb	Mt 17:7
ἠγέρθησαν	ἐγείρω	aor	pass	indicative	3p	—	—	pl	verb	Mt 25:7,Mt 27:52
ἐγερθῇ	ἐγείρω	aor	pass	subjunctive	3p	—	—	sg	verb	Mt 17:9,Lk 13:25
ἐγείρειν	ἐγείρω	pres	actv	infinitive	—	—	—	—	verb	Php 1:17,Heb 11:19
ἐγείρουσιν	ἐγείρω	pres	actv	indicative	3p	—	—	pl	verb	Mk 4:38
ἐγερθήσεται	ἐγείρω	futr	pass	indicative	3p	—	—	sg	verb	Mt 12:42,Mt 17:23,Mt 20:19,Mt 24:7,Mk 13:8,Lk 11:31,Lk 21:10
ἤγειραν	ἐγείρω	aor	actv	indicative	3p	—	—	pl	verb	Mt 8:25
ἐγείρεται	ἐγείρω	pres	pass	indicative	3p	—	—	sg	verb	Jn 7:52,Jn 13:4,1 Co 15:42,1 Co 15:43,1 Co 15:43,1 Co 15:44
ἐγερθῆναί	ἐγείρω	aor	pass	infinitive	—	—	—	—	verb	Mt 26:32,Mk 14:28
ἐγείροντι	ἐγείρω	pres	actv	participle	—	mas	dat	sg	verb	2 Co 1:9
ἐγερθῆναι	ἐγείρω	aor	pass	infinitive	—	—	—	—	verb	Mt 16:21,Lk 9:22,Ro 13:11
