Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
κρᾶζον	κράζω	pres	actv	participle	—	neu	acc	sg	verb	Ga 4:6
κράζουσιν	κράζω	pres	actv	indicative	3p	—	—	pl	verb	Re 7:10
κράξαντες	κράζω	aor	actv	participle	—	mas	nom	pl	verb	Ac 7:57
ἐκέκραξα	κράζω	aor	actv	indicative	1p	—	—	sg	verb	Ac 24:21
ἔκραζεν	κράζω	impft	actv	indicative	3p	—	—	sg	verb	Mt 15:22,Mk 10:48,Lk 18:39,Ac 16:17,Ac 23:6
κράζομεν	κράζω	pres	actv	indicative	1p	—	—	pl	verb	Ro 8:15
ἔκραξεν	κράζω	aor	actv	indicative	3p	—	—	sg	verb	Mt 14:30,Jn 7:28,Jn 7:37,Jn 12:44,Ac 7:60,Re 7:2,Re 10:3,Re 10:3,Re 18:2,Re 19:17
ἔκραζον	κράζω	impft	actv	indicative	3p	—	—	pl	verb	Mt 21:9,Mt 27:23,Mk 3:11,Mk 11:9,Ac 19:28,Ac 19:32,Re 18:18,Re 18:19
κράξουσιν	κράζω	futr	actv	indicative	3p	—	—	pl	verb	Lk 19:40
κράζων	κράζω	pres	actv	participle	—	mas	nom	sg	verb	Mk 5:5,Re 14:15
κραζόντων	κράζω	pres	actv	participle	—	mas	gen	pl	verb	Ac 19:34
κράζειν	κράζω	pres	actv	infinitive	—	—	—	—	verb	Mk 10:47
κράζοντες	κράζω	pres	actv	participle	—	mas	nom	pl	verb	Mt 9:27,Ac 14:14,Ac 21:28,Ac 21:36
ἔκραξαν	κράζω	aor	actv	indicative	3p	—	—	pl	verb	Mt 8:29,Mt 14:26,Mt 20:30,Mt 20:31,Mk 15:13,Mk 15:14,Re 6:10
κέκραγεν	κράζω	perfect	actv	indicative	3p	—	—	sg	verb	Jn 1:15
κράξας	κράζω	aor	actv	participle	—	mas	nom	sg	verb	Mt 27:50,Mk 5:7,Mk 9:24,Mk 9:26
κράζοντας	κράζω	pres	actv	participle	—	mas	acc	pl	verb	Mt 21:15
κράζει	κράζω	pres	actv	indicative	3p	—	—	sg	verb	Mt 15:23,Lk 9:39,Ro 9:27,Jas 5:4,Re 12:2
