Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
ἐνέγκατε	φέρω	aor	actv	imperative	2p	—	—	pl	verb	Jn 21:10
ἐφέροντο	φέρω	impft	pass	indicative	3p	—	—	pl	verb	Ac 27:17
ἐνέγκας	φέρω	aor	actv	participle	—	mas	nom	sg	verb	Ac 5:2,Ac 14:13
φέρουσαν	φέρω	pres	actv	participle	—	fem	acc	sg	verb	Ac 12:10
φέρει	φέρω	pres	actv	indicative	3p	—	—	sg	verb	Jn 12:24,Jn 15:5,2 Jn 10
οἴσουσιν	φέρω	futr	actv	indicative	3p	—	—	pl	verb	Re 21:26
ἐφερόμεθα	φέρω	impft	pass	indicative	1p	—	—	pl	verb	Ac 27:15
ἔφερεν	φέρω	impft	actv	indicative	3p	—	—	sg	verb	Mk 4:8
φερόμενοι	φέρω	pres	pass	participle	—	mas	nom	pl	verb	2 Pe 1:21
φέρεσθαι	φέρω	pres	pass	infinitive	—	—	—	—	verb	Heb 9:16
οἴσει	φέρω	futr	actv	indicative	3p	—	—	sg	verb	Jn 21:18
ἤνεγκεν	φέρω	aor	actv	indicative	3p	—	—	sg	verb	Mt 14:11,Mk 6:28,Jn 4:33,Ac 4:37,Ro 9:22
φέροντες	φέρω	pres	actv	participle	—	mas	nom	pl	verb	Mk 2:3,Lk 5:18,Ac 5:16,Heb 13:13
ἤνεγκαν	φέρω	aor	actv	indicative	3p	—	—	pl	verb	Mk 9:20,Mk 12:16,Jn 2:8
ἐνέγκαι	φέρω	aor	actv	infinitive	—	—	—	—	verb	Mk 6:27
φέρετε	φέρω	pres	actv	imperative	2p	—	—	pl	verb	Mk 9:19,Mk 11:2,Lk 15:23,Jn 2:8
φέρον	φέρω	pres	actv	participle	—	neu	acc	sg	verb	Jn 15:2,Jn 15:2
φέρῃ	φέρω	pres	actv	subjunctive	3p	—	—	sg	verb	Jn 15:2
φέρων	φέρω	pres	actv	participle	—	mas	nom	sg	verb	Jn 19:39,Heb 1:3
φέρουσαι	φέρω	pres	actv	participle	—	fem	nom	pl	verb	Lk 24:1
ἔφερον	φέρω	impft	actv	indicative	3p	—	—	pl	verb	Mk 1:32,Ac 4:34,Ac 25:18,Heb 12:20
ἐνεχθεῖσαν	φέρω	aor	pass	participle	—	fem	acc	sg	verb	2 Pe 1:18
ἤνεγκα	φέρω	aor	actv	indicative	1p	—	—	sg	verb	Mk 9:17
φέρετε	φέρω	pres	actv	indicative	2p	—	—	pl	verb	Jn 18:29
φερομένης	φέρω	pres	either middle or passive	participle	—	fem	gen	sg	verb	Ac 2:2
φερομένην	φέρω	pres	pass	participle	—	fem	acc	sg	verb	1 Pe 1:13
ἐνεχθείσης	φέρω	aor	pass	participle	—	fem	gen	sg	verb	2 Pe 1:17
φέρουσιν	φέρω	pres	actv	indicative	3p	—	—	pl	verb	Mk 7:32,Mk 8:22,Mk 11:7,Mk 15:22,2 Pe 2:11,Re 21:24
φερώμεθα	φέρω	pres	pass	subjunctive	1p	—	—	pl	verb	Heb 6:1
ἠνέχθη	φέρω	aor	pass	indicative	3p	—	—	sg	verb	Mt 14:11,2 Pe 1:21
φέρειν	φέρω	pres	actv	infinitive	—	—	—	—	verb	Lk 23:26,Jn 15:4
φέρητε	φέρω	pres	actv	subjunctive	2p	—	—	pl	verb	Jn 15:8,Jn 15:16
φέρε	φέρω	pres	actv	imperative	2p	—	—	sg	verb	Jn 20:27,Jn 20:27,2 Ti 4:13
φέρετέ	φέρω	pres	actv	imperative	2p	—	—	pl	verb	Mt 14:18,Mt 17:17,Mk 12:15
