Result	Lemma	Gender	Case	Number	Part of Speech	Reference
ἀρχὴ	ἀρχή	fem	nom	sg	noun	Mt 24:8,Mk 13:8,Re 3:14,Re 21:6,Re 22:13
ἀρχὴν	ἀρχή	fem	acc	sg	noun	Jn 2:11,Jn 8:25,1 Co 15:24,Heb 2:3,Heb 3:14,Heb 7:3,Jud 6
ἀρχὰς	ἀρχή	fem	acc	pl	noun	Lk 12:11,Col 2:15
ἀρχαῖς	ἀρχή	fem	dat	pl	noun	Ac 10:11,Ac 11:5,Eph 3:10,Tt 3:1
ἀρχή	ἀρχή	fem	nom	sg	noun	Col 1:18
ἀρχῇ	ἀρχή	fem	dat	sg	noun	Lk 20:20,Jn 1:1,Jn 1:2,Ac 11:15,Php 4:15
ἀρχάς	ἀρχή	fem	acc	pl	noun	Eph 6:12,Heb 1:10
ἀρχῆς	ἀρχή	fem	gen	sg	noun	Mt 19:4,Mt 19:8,Mt 24:21,Mk 10:6,Mk 13:19,Lk 1:2,Jn 6:64,Jn 8:44,Jn 15:27,Jn 16:4,Ac 26:4,Eph 1:21,Col 2:10,Heb 5:12,Heb 6:1,2 Pe 3:4,1 Jn 1:1,1 Jn 2:7,1 Jn 2:13,1 Jn 2:14,1 Jn 2:24,1 Jn 2:24,1 Jn 3:8,1 Jn 3:11,2 Jn 5,2 Jn 6
ἀρχαὶ	ἀρχή	fem	nom	pl	noun	Ro 8:38,Col 1:16
Ἀρχὴ	ἀρχή	fem	nom	sg	noun	Mk 1:1
