Result	Lemma	Gender	Case	Number	Part of Speech	Reference
ἡμέραι	ἡμέρα	fem	nom	pl	noun	Mt 9:15,Mt 15:32,Mt 24:22,Mt 24:22,Mt 24:37,Mk 2:20,Mk 8:2,Mk 13:19,Lk 1:23,Lk 2:6,Lk 2:21,Lk 2:22,Lk 5:35,Lk 9:28,Lk 13:14,Lk 17:22,Lk 19:43,Lk 21:6,Lk 21:22,Lk 23:29,Ac 9:23,Ac 12:3,Ac 21:27,Ac 24:11,Eph 5:16,Heb 8:8
Ἡμερῶν	ἡμέρα	fem	gen	pl	noun	Ac 25:13
ἡμέρας	ἡμέρα	fem	gen	sg	noun	Mt 20:12,Mt 22:46,Mt 24:36,Mt 24:38,Mt 26:29,Mt 27:64,Mk 5:5,Mk 6:21,Mk 13:32,Mk 14:25,Lk 1:20,Lk 1:80,Lk 2:44,Lk 4:42,Lk 17:4,Lk 17:27,Lk 18:7,Jn 11:9,Jn 11:53,Ac 1:2,Ac 1:22,Ac 2:15,Ac 2:29,Ac 9:24,Ac 10:3,Ac 10:30,Ac 12:18,Ac 20:18,Ac 23:1,Ac 23:12,Ac 26:13,Ac 26:22,Ro 11:8,1 Co 4:3,2 Co 3:14,Php 1:5,Php 1:6,Col 1:6,Col 1:9,1 Th 2:9,1 Th 3:10,1 Th 5:5,1 Th 5:8,2 Th 3:8,1 Ti 5:5,2 Ti 1:3,Heb 4:8,2 Pe 2:8,2 Pe 3:12,Jud 6,Re 4:8,Re 7:15,Re 12:10,Re 14:11,Re 16:14,Re 20:10,Re 21:25,Mt 28:15
ἡμέραις	ἡμέρα	fem	dat	pl	noun	Mt 2:1,Mt 3:1,Mt 23:30,Mt 24:19,Mt 24:38,Mt 27:40,Mk 1:9,Mk 8:1,Mk 13:17,Mk 13:24,Mk 15:29,Lk 1:5,Lk 1:7,Lk 1:18,Lk 1:25,Lk 1:39,Lk 1:75,Lk 2:1,Lk 2:36,Lk 4:2,Lk 4:25,Lk 5:35,Lk 6:12,Lk 9:36,Lk 17:26,Lk 17:26,Lk 17:28,Lk 21:23,Lk 23:7,Lk 24:18,Jn 2:19,Jn 2:20,Ac 1:15,Ac 2:17,Ac 2:18,Ac 5:37,Ac 6:1,Ac 7:41,Ac 9:37,Ac 11:27,Ac 13:41,Ac 27:7,2 Ti 3:1,Heb 5:7,Jas 5:3,1 Pe 3:20,Re 2:13,Re 9:6,Re 10:7
Ἡμέρας	ἡμέρα	fem	gen	sg	noun	Ac 16:35
ἡμέρα	ἡμέρα	fem	nom	sg	noun	Lk 6:13,Lk 9:12,Lk 21:34,Lk 22:7,Lk 22:66,Lk 23:54,Lk 24:29,Jn 9:4,Jn 19:31,Ac 27:33,Ac 27:39,Ro 13:12,1 Co 3:13,2 Co 6:2,1 Th 5:2,1 Th 5:4,2 Th 2:2,2 Pe 1:19,2 Pe 3:8,2 Pe 3:8,2 Pe 3:10,Re 8:12,Re 6:17
ἡμέρᾳ	ἡμέρα	fem	dat	sg	noun	Mt 6:34,Mt 7:22,Mt 10:15,Mt 11:22,Mt 11:24,Mt 12:36,Mt 13:1,Mt 16:21,Mt 17:23,Mt 20:19,Mt 22:23,Mt 24:42,Mt 24:50,Mk 2:20,Mk 4:35,Mk 14:12,Lk 1:59,Lk 4:16,Lk 6:23,Lk 9:22,Lk 9:37,Lk 10:12,Lk 12:46,Lk 13:14,Lk 13:16,Lk 14:5,Lk 17:24,Lk 17:29,Lk 17:30,Lk 17:31,Lk 18:33,Lk 19:42,Lk 23:12,Lk 24:7,Lk 24:13,Lk 24:46,Jn 2:1,Jn 5:9,Jn 6:39,Jn 6:40,Jn 6:44,Jn 6:54,Jn 7:37,Jn 9:14,Jn 11:9,Jn 11:24,Jn 12:48,Jn 14:20,Jn 16:23,Jn 16:26,Jn 20:19,Ac 2:41,Ac 7:8,Ac 7:26,Ac 8:1,Ac 10:40,Ac 12:21,Ac 13:14,Ac 16:13,Ac 20:26,Ac 21:26,Ro 2:5,Ro 2:16,Ro 13:13,1 Co 1:8,1 Co 5:5,1 Co 10:8,1 Co 15:4,2 Co 1:14,2 Co 4:16,2 Co 4:16,2 Co 6:2,Eph 6:13,2 Th 1:10,2 Ti 1:18,2 Ti 4:8,Heb 8:9,Jas 5:5,1 Pe 2:12,2 Pe 2:13,1 Jn 4:17,Re 1:10,Re 18:8,Heb 4:4
ἡμερῶν	ἡμέρα	fem	gen	pl	noun	Mt 11:12,Mt 24:29,Mt 26:61,Mk 2:1,Mk 14:58,Lk 5:17,Lk 8:22,Lk 17:22,Lk 20:1,Jn 12:1,Ac 1:3,Ac 5:36,Ac 7:45,Ac 15:7,Ac 20:6,Ac 21:26,Ac 21:38,Heb 1:2,Heb 7:3,2 Pe 3:3,Re 2:10
ἡμέραν	ἡμέρα	fem	acc	sg	noun	Mt 20:2,Mt 20:6,Mt 25:13,Mt 26:55,Mk 4:27,Mk 14:49,Lk 2:37,Lk 9:23,Lk 11:3,Lk 16:19,Lk 19:47,Lk 22:53,Lk 24:21,Jn 1:39,Jn 8:56,Jn 12:7,Ac 2:1,Ac 2:20,Ac 2:46,Ac 2:47,Ac 3:2,Ac 5:42,Ac 16:5,Ac 17:11,Ac 17:17,Ac 17:31,Ac 19:9,Ac 20:16,Ac 20:31,Ac 21:7,Ac 26:7,Ac 27:29,Ac 27:33,Ac 28:13,Ac 28:23,Ro 8:36,Ro 10:21,Ro 14:5,Ro 14:5,Ro 14:5,Ro 14:6,1 Co 15:31,2 Co 11:28,Eph 4:30,Php 1:10,Php 2:16,2 Ti 1:12,Heb 3:8,Heb 3:13,Heb 4:7,Heb 7:27,Heb 10:11,Heb 10:25,2 Pe 2:8,2 Pe 2:9,2 Pe 3:7,Re 9:15,2 Pe 3:18
ἡμέρας	ἡμέρα	fem	acc	pl	noun	Mt 4:2,Mt 12:40,Mt 12:40,Mt 17:1,Mt 26:2,Mt 27:63,Mt 28:20,Mk 1:13,Mk 8:31,Mk 9:2,Mk 9:31,Mk 10:34,Mk 13:20,Mk 13:20,Mk 14:1,Lk 1:24,Lk 2:43,Lk 2:46,Lk 4:2,Lk 9:51,Lk 15:13,Lk 21:37,Jn 2:12,Jn 4:40,Jn 4:43,Jn 11:6,Jn 11:17,Jn 20:26,Ac 1:5,Ac 3:24,Ac 9:9,Ac 9:19,Ac 9:43,Ac 10:48,Ac 13:31,Ac 15:36,Ac 16:12,Ac 16:18,Ac 18:18,Ac 20:6,Ac 20:6,Ac 21:4,Ac 21:5,Ac 21:10,Ac 21:15,Ac 24:1,Ac 24:24,Ac 25:1,Ac 25:6,Ac 25:14,Ac 27:20,Ac 28:7,Ac 28:12,Ac 28:14,Ac 28:17,Ga 1:18,Ga 4:10,Heb 8:10,Heb 10:16,Heb 10:32,Heb 11:30,Heb 12:10,1 Pe 3:10,Re 11:3,Re 11:6,Re 11:9,Re 11:11,Re 12:6
