Result	Lemma	Gender	Case	Number	Part of Speech	Reference
γλῶσσαι	γλῶσσα	fem	nom	pl	noun	Ac 2:3,1 Co 13:8,1 Co 14:22,Re 17:15
γλώσσης	γλῶσσα	fem	gen	sg	noun	Mk 7:33,Mk 7:35,1 Co 14:9,Re 5:9
γλώσσας	γλῶσσα	fem	acc	pl	noun	Re 16:10
γλώσσῃ	γλῶσσα	fem	dat	sg	noun	1 Co 14:4,1 Co 14:13,1 Co 14:14,1 Co 14:19,1 Co 14:27,1 Jn 3:18,1 Co 14:2
γλώσσαις	γλῶσσα	fem	dat	pl	noun	Mk 16:17,Ac 2:4,Ac 2:11,Ac 10:46,Ac 19:6,Ro 3:13,1 Co 12:30,1 Co 13:1,1 Co 14:5,1 Co 14:5,1 Co 14:6,1 Co 14:18,1 Co 14:23,1 Co 14:39,Re 10:11
γλῶσσαν	γλῶσσα	fem	acc	sg	noun	1 Co 14:26,Jas 1:26,Jas 3:8,1 Pe 3:10,Re 13:7,Re 14:6
γλωσσῶν	γλῶσσα	fem	gen	pl	noun	1 Co 12:10,1 Co 12:10,1 Co 12:28,Re 7:9,Re 11:9
γλῶσσά	γλῶσσα	fem	nom	sg	noun	Ac 2:26
γλῶσσάν	γλῶσσα	fem	acc	sg	noun	Lk 16:24
γλῶσσα	γλῶσσα	fem	nom	sg	noun	Lk 1:64,Ro 14:11,Php 2:11,Jas 3:5,Jas 3:6,Jas 3:6
