Result	Lemma	Gender	Case	Number	Part of Speech	Reference
τυφλῷ	τυφλός	mas	dat	sg	adjective	Jn 9:17
τυφλῶν	τυφλός	mas	gen	pl	adjective	Mt 15:14,Jn 5:3,Jn 10:21,Ro 2:19
τυφλοὺς	τυφλός	mas	acc	pl	adjective	Mt 15:31,Lk 14:21
τυφλοί	τυφλός	mas	nom	pl	adjective	Mt 9:28,Mt 15:14,Jn 9:40
τυφλός	τυφλός	mas	nom	sg	adjective	Lk 18:35,2 Pe 1:9
τυφλοὶ	τυφλός	mas	voc	pl	adjective	Mt 23:16
τυφλούς	τυφλός	mas	acc	pl	adjective	Mt 15:30,Lk 14:13
τυφλοῖς	τυφλός	mas	dat	pl	adjective	Lk 4:18,Lk 7:21
τυφλοῦ	τυφλός	mas	gen	sg	adjective	Mk 8:23,Jn 9:32,Jn 11:37
τυφλόν	τυφλός	mas	acc	sg	adjective	Jn 9:13
τυφλέ	τυφλός	mas	voc	sg	adjective	Mt 23:26
τυφλοὶ	τυφλός	mas	nom	pl	adjective	Mt 9:27,Mt 11:5,Mt 20:30,Mt 21:14,Lk 7:22,Jn 9:39,Jn 9:41
τυφλὸς	τυφλός	mas	nom	sg	adjective	Mt 12:22,Mt 15:14,Mk 10:46,Mk 10:51,Lk 6:39,Jn 9:2,Jn 9:18,Jn 9:19,Jn 9:20,Jn 9:24,Jn 9:25,Ac 13:11,Re 3:17
τυφλοί	τυφλός	mas	voc	pl	adjective	Mt 23:17,Mt 23:19,Mt 23:24
τυφλὸν	τυφλός	mas	acc	sg	adjective	Mt 15:14,Mk 8:22,Mk 10:49,Lk 6:39,Jn 9:1
