Result	Lemma	Gender	Case	Number	Part of Speech	Reference
ὀφθαλμοὺς	ὀφθαλμός	mas	acc	pl	noun	Mt 13:15,Mt 18:9,Mk 8:18,Mk 8:25,Mk 9:47,Jn 9:6,Jn 9:11,Jn 9:15,Jn 9:21,Jn 9:32,Jn 10:21,Jn 11:37,Jn 12:40,Ac 9:40,Ac 26:18,Ac 28:27,Ro 11:8,Ga 3:1,Ga 4:15,Eph 1:18,2 Pe 2:14,1 Jn 2:11,Re 2:18,Re 5:6,Mt 17:8,Lk 6:20,Lk 16:23,Lk 18:13,Jn 4:35,Jn 6:5,Jn 11:41,Jn 17:1
ὀφθαλμῷ	ὀφθαλμός	mas	dat	sg	noun	Mt 7:3,Mt 7:3,Mt 7:4,Lk 6:41,Lk 6:41,Lk 6:42,Lk 6:42,Lk 6:42
ὀφθαλμῶν	ὀφθαλμός	mas	gen	pl	noun	Mt 9:29,Lk 19:42,Ac 1:9,Ac 9:8,Ac 9:18,Ro 3:18,1 Jn 2:16,Re 4:6,Re 4:8,Re 7:17,Re 21:4
ὀφθαλμοῦ	ὀφθαλμός	mas	gen	sg	noun	Mt 5:38,Mt 7:4,Mt 7:5,Mt 7:5,Lk 6:42,1 Co 15:52
ὀφθαλμός	ὀφθαλμός	mas	nom	sg	noun	Mt 5:29,Mt 6:22,Mt 6:22,Mt 6:23,Mt 18:9,Mk 9:47,Lk 11:34,Lk 11:34,1 Co 12:16,1 Co 12:17,Mt 20:15
ὀφθαλμοὶ	ὀφθαλμός	mas	nom	pl	noun	Mt 13:16,Mt 20:33,Lk 4:20,Lk 10:23,Lk 24:16,Lk 24:31,Ro 11:10,1 Pe 3:12,Re 1:14,Re 19:12,Mt 26:43,Mk 14:40
ὀφθαλμοῖς	ὀφθαλμός	mas	dat	pl	noun	Mt 13:15,Mt 21:42,Mk 12:11,Jn 12:40,Ac 28:27,Heb 4:13,1 Jn 1:1
ὀφθαλμοί	ὀφθαλμός	mas	nom	pl	noun	Mt 9:30,Lk 2:30,Jn 9:10
ὀφθαλμούς	ὀφθαλμός	mas	acc	pl	noun	Jn 9:14,Jn 9:17,Jn 9:26,Jn 9:30,Re 3:18
ὀφθαλμὸς	ὀφθαλμός	mas	nom	sg	noun	1 Co 2:9,1 Co 12:21,Re 1:7,Mk 7:22
ὀφθαλμὸν	ὀφθαλμός	mas	acc	sg	noun	Mt 5:38
