Result	Lemma	Gender	Case	Number	Part of Speech	Reference
καιρὸν	καιρός	mas	acc	sg	noun	Lk 1:20,Lk 8:13,Lk 12:56,Lk 19:44,Ac 12:1,Ac 19:23,Ro 5:6,Ro 9:9,Ga 6:10,Col 4:5,Heb 9:9,Heb 11:11,1 Pe 1:11,Re 12:12,Re 12:14,Ac 24:25,1 Th 2:17,Heb 11:15
καιρὸς	καιρός	mas	nom	sg	noun	Mt 21:34,Mk 1:15,Mk 11:13,Lk 21:8,Jn 7:6,Jn 7:6,Jn 7:8,1 Co 7:29,2 Co 6:2,2 Ti 4:3,2 Ti 4:6,1 Pe 4:17,Re 1:3,Re 11:18,Re 22:10
καιρῷ	καιρός	mas	dat	sg	noun	Mt 11:25,Mt 12:1,Mt 14:1,Mt 24:45,Mk 10:30,Mk 12:2,Lk 8:13,Lk 12:42,Lk 13:1,Lk 18:30,Lk 20:10,Lk 21:36,Ac 7:20,Ro 3:26,Ro 11:5,2 Co 6:2,2 Co 8:14,Ga 6:9,Eph 2:12,Eph 6:18,2 Th 2:6,1 Pe 1:5,1 Pe 5:6,Mt 13:30
καιροὺς	καιρός	mas	acc	pl	noun	Ac 1:7,Ac 14:17,Ac 17:26,Ga 4:10,Re 12:14
καιροῦ	καιρός	mas	gen	sg	noun	Mt 8:29,Lk 4:13,Ac 13:11,Ro 8:18,1 Co 4:5,Heb 9:10,Re 12:14
καιρόν	καιρός	mas	acc	sg	noun	Ro 13:11,1 Co 7:5,Eph 5:16
καιρῶν	καιρός	mas	gen	pl	noun	Mt 16:3,Eph 1:10,1 Th 5:1
καιροὶ	καιρός	mas	nom	pl	noun	Lk 21:24,Ac 3:20,2 Ti 3:1
καιρός	καιρός	mas	nom	sg	noun	Mt 26:18,Mk 13:33
καιροῖς	καιρός	mas	dat	pl	noun	Mt 21:41,1 Ti 2:6,1 Ti 4:1,1 Ti 6:15,Tt 1:3
