Result	Lemma	Gender	Case	Number	Part of Speech	Reference
Ἐντολὴν	ἐντολή	fem	acc	sg	noun	Jn 13:34
ἐντολή	ἐντολή	fem	nom	sg	noun	Mt 22:38,Ro 13:9,1 Co 14:37,2 Jn 6
ἐντολὴ	ἐντολή	fem	nom	sg	noun	Mt 22:36,Mk 12:28,Mk 12:31,Jn 12:50,Jn 15:12,Ro 7:10,Ro 7:12,Eph 6:2,1 Jn 2:7,1 Jn 3:23
ἐντολῆς	ἐντολή	fem	gen	sg	noun	Ro 7:8,Ro 7:9,Ro 7:11,Ro 7:13,Heb 7:16,Heb 7:18,Heb 9:19,2 Pe 2:21,2 Pe 3:2
ἐντολαὶ	ἐντολή	fem	nom	pl	noun	1 Jn 5:3
ἐντολὰς	ἐντολή	fem	acc	pl	noun	Mk 10:19,Lk 18:20,Jn 11:57,Jn 14:15,Jn 15:10,1 Jn 2:3,1 Jn 2:4,1 Jn 3:22,1 Jn 3:24,1 Jn 5:2,1 Jn 5:3,2 Jn 6,Re 12:17,Re 14:12
ἐντολῶν	ἐντολή	fem	gen	pl	noun	Mt 5:19,1 Co 7:19,Eph 2:15
ἐντολάς	ἐντολή	fem	acc	pl	noun	Mt 19:17,Jn 14:21,Jn 15:10,Col 4:10
ἐντολαῖς	ἐντολή	fem	dat	pl	noun	Mt 22:40,Lk 1:6,Tt 1:14
ἐντολὴν	ἐντολή	fem	acc	sg	noun	Mt 15:3,Mk 7:8,Mk 7:9,Mk 10:5,Jn 10:18,Jn 12:49,Ac 17:15,1 Ti 6:14,Heb 7:5,1 Jn 2:7,1 Jn 2:7,1 Jn 2:8,1 Jn 3:23,1 Jn 4:21,2 Jn 4,2 Jn 5
ἐντολήν	ἐντολή	fem	acc	sg	noun	Lk 15:29,Lk 23:56
