Result	Lemma	Part of Speech	Reference
Ἀμὴν	ἀμήν	indeclinable, particle	Jn 5:24,Jn 6:47,Jn 10:1,Jn 14:12,Jn 21:18
ἀμὴν	ἀμήν	indeclinable, adverb	Mt 5:18,Mt 5:26,Mt 6:2,Mt 6:5,Mt 6:16,Mt 8:10,Mt 10:15,Mt 10:23,Mt 10:42,Mt 13:17,Mt 17:20,Mt 18:3,Mt 18:13,Mt 18:19,Mt 19:23,Mt 19:28,Mt 21:21,Mt 21:31,Mt 23:36,Mt 24:2,Mt 24:34,Mt 24:47,Mt 25:12,Mt 25:40,Mt 25:45,Mt 26:13,Mt 26:21,Mt 26:34,Mk 8:12,Mk 9:1,Mk 9:41,Mk 10:15,Mk 10:29,Mk 11:23,Mk 12:43,Mk 14:9,Mk 14:18,Mk 14:25,Mk 14:30,Lk 4:24,Lk 12:37,Lk 18:17,Lk 18:29,Lk 21:32
ἀμὴν	ἀμήν	interjection, indeclinable	Re 19:4
Ἀμήν	ἀμήν	interjection, indeclinable	Re 22:20
ἀμήν	ἀμήν	indeclinable, particle	Ro 15:33,Re 3:14
ἀμὴν	ἀμήν	indeclinable, particle	Jn 1:51,Jn 1:51,Jn 3:3,Jn 3:3,Jn 3:5,Jn 3:5,Jn 3:11,Jn 3:11,Jn 5:19,Jn 5:19,Jn 5:24,Jn 5:25,Jn 5:25,Jn 6:26,Jn 6:26,Jn 6:32,Jn 6:32,Jn 6:47,Jn 6:53,Jn 6:53,Jn 8:34,Jn 8:34,Jn 8:51,Jn 8:51,Jn 8:58,Jn 8:58,Jn 10:1,Jn 10:7,Jn 10:7,Jn 12:24,Jn 12:24,Jn 13:16,Jn 13:16,Jn 13:20,Jn 13:20,Jn 13:21,Jn 13:21,Jn 13:38,Jn 13:38,Jn 14:12,Jn 16:20,Jn 16:20,Jn 16:23,Jn 16:23,Jn 21:18,1 Co 14:16,2 Co 1:20
ἀμήν	ἀμήν	interjection, indeclinable	Ro 1:25,Ro 9:5,Ro 11:36,Ro 16:27,Ga 1:5,Ga 6:18,Eph 3:21,Php 4:20,1 Th 3:13,1 Ti 1:17,1 Ti 6:16,2 Ti 4:18,Heb 13:21,1 Pe 4:11,1 Pe 5:11,Jud 25,Re 1:6,Re 1:7,Re 5:14,Re 7:12,Re 7:12
Ἀμὴν	ἀμήν	indeclinable, adverb	Mt 11:11,Mt 16:28,Mt 18:18,Mk 3:28,Mk 13:30
ἀμήν	ἀμήν	indeclinable, adverb	Lk 23:43
ἀμήν	ἀμήν	indeclinable	Mk 16:8
