Result	Lemma	Gender	Case	Number	Part of Speech	Reference
λοιπαὶ	λοιπός	fem	nom	pl	adjective	Mt 25:11,Lk 24:10
λοιπὸν	λοιπός	neu	acc	sg	adjective	Mt 26:45,Ac 27:20,1 Co 1:16,1 Co 4:2,2 Ti 4:8,Mk 14:41,Heb 10:13
Λοιπὸν	λοιπός	neu	accusative, nominative	sg	adjective	1 Th 4:1
λοιπῶν	λοιπός	masculine, neuter	gen	pl	adjective	Re 12:17
Λοιπόν	λοιπός	neu	acc	sg	adjective	2 Co 13:11
λοιπῶν	λοιπός	feminine, masculine	gen	pl	adjective	Re 8:13
λοιπὸν	λοιπός	neu	accusative, nominative	sg	adjective	2 Th 3:1
λοιπόν	λοιπός	neu	accusative, nominative	sg	adjective	1 Co 7:29,Php 3:1,Php 4:8
λοιποὶ	λοιπός	mas	nom	pl	adjective	Mt 22:6,Mt 27:49,Lk 18:11,Ac 28:9,Ro 11:7,1 Co 9:5,Ga 2:13,1 Th 4:13,1 Th 5:6,1 Ti 5:20,Re 9:20,Re 11:13,Re 19:21,Re 20:5
λοιποὺς	λοιπός	mas	acc	pl	adjective	Lk 18:9,Ac 2:37,Ac 27:44
λοιπῶν	λοιπός	neu	gen	pl	adjective	Lk 12:26
λοιπὰς	λοιπός	fem	acc	pl	adjective	2 Co 12:13,2 Pe 3:16
λοιποῖς	λοιπός	neu	dat	pl	adjective	Ro 1:13
λοιποῖς	λοιπός	mas	dat	pl	adjective	Mk 16:13,Lk 8:10,Lk 24:9,1 Co 7:12,2 Co 13:2,Php 1:13,Re 2:24
λοιπὰ	λοιπός	neu	acc	pl	adjective	Mk 4:19,1 Co 11:34,Re 3:2
λοιποί	λοιπός	mas	nom	pl	adjective	Eph 2:3
λοιπῶν	λοιπός	mas	gen	pl	adjective	Ac 5:13,Ac 17:9,1 Co 15:37,Php 4:3
λοιποῦ	λοιπός	neu	gen	sg	adjective	Ga 6:17,Eph 6:10
