Result	Lemma	Gender	Case	Number	Part of Speech	Reference
Ὃ	ὅς	mas	acc	sg	pronoun	1 Jn 1:1
ᾧ	ὅς	mas	dat	sg	pronoun	Mt 3:17,Mt 7:2,Mt 7:2,Mt 11:27,Mt 17:5,Mt 25:15,Mt 25:15,Mt 25:15,Mk 2:19,Lk 1:27,Lk 2:25,Lk 4:6,Lk 7:4,Lk 7:43,Lk 7:47,Lk 8:41,Lk 10:22,Lk 12:48,Lk 12:48,Lk 19:13,Jn 1:47,Jn 3:26,Jn 11:6,Jn 13:26,Ac 1:21,Ac 4:31,Ac 5:36,Ac 7:20,Ac 7:33,Ac 7:39,Ac 8:10,Ac 8:19,Ac 10:6,Ac 13:6,Ac 13:22,Ac 17:23,Ac 17:31,Ac 19:16,Ac 20:38,Ac 21:16,Ac 27:8,Ac 27:23,Ro 1:9,Ro 4:6,Ro 6:16,Ro 6:16,Ro 7:6,Ro 16:27,1 Co 7:39,1 Co 12:8,2 Co 2:10,Ga 1:5,Eph 1:7,Eph 1:11,Eph 1:13,Eph 1:13,Eph 2:21,Eph 2:22,Eph 3:12,Eph 5:18,Eph 6:16,Col 1:14,Col 2:3,Col 2:11,Col 2:12,1 Ti 6:16,2 Ti 1:3,2 Ti 1:12,2 Ti 4:18,Heb 7:2,Heb 7:4,Heb 13:21,Jas 1:17,1 Pe 1:6,1 Pe 4:11,1 Pe 5:9,2 Pe 1:9,2 Pe 1:19
ἃ	ὅς	neu	nom	pl	pronoun	Lk 7:32,Jn 10:16,Jn 20:30,1 Co 4:6,Eph 5:4,2 Ti 2:20,2 Ti 2:20,1 Pe 1:12,Re 1:4,Re 3:2,Re 3:4,Re 9:20,Re 13:14,Re 16:14,Re 22:6
οἷς	ὅς	neu	dat	pl	pronoun	Lk 1:78,Lk 2:20,Lk 9:43,Lk 12:1,Lk 24:25,Ac 2:22,Ac 11:14,Ac 26:12,Ro 1:6,Ro 6:21,Ga 4:9,Eph 2:10,Php 4:11,2 Ti 3:14,Heb 6:18,Heb 13:9,2 Pe 2:12,Re 19:20
ἣν	ὅς	fem	acc	sg	pronoun	Mt 10:11,Mt 13:33,Mt 13:48,Mt 15:13,Mk 11:21,Mk 13:19,Lk 8:47,Lk 9:4,Lk 9:31,Lk 10:5,Lk 10:8,Lk 10:10,Lk 13:16,Lk 13:21,Lk 15:9,Lk 19:20,Lk 22:10,Jn 4:32,Jn 5:32,Jn 6:21,Jn 6:27,Jn 8:40,Jn 17:22,Jn 17:24,Jn 17:26,Ac 1:4,Ac 1:16,Ac 7:3,Ac 7:4,Ac 7:45,Ac 8:32,Ac 10:21,Ac 11:6,Ac 19:27,Ac 20:24,Ac 20:28,Ac 22:24,Ac 23:28,Ac 24:14,Ac 24:15,Ac 26:7,Ac 27:17,Ro 1:27,Ro 14:22,Ro 16:17,1 Co 2:7,1 Co 2:8,1 Co 15:31,2 Co 2:4,2 Co 9:2,2 Co 13:10,Ga 2:4,Eph 1:9,Eph 2:4,Eph 3:11,Col 1:4,Col 1:5,Col 3:15,Col 4:17,2 Th 3:6,1 Ti 6:12,1 Ti 6:15,2 Ti 1:6,2 Ti 1:12,Tt 1:2,Tt 1:13,Phm 5,Heb 2:11,Heb 6:19,Heb 7:14,Heb 8:2,Heb 8:9,Heb 8:10,Heb 9:9,Heb 10:16,Heb 10:20,1 Pe 3:20,1 Pe 5:12,2 Pe 3:12,1 Jn 1:5,1 Jn 2:7,1 Jn 2:25,1 Jn 3:11,1 Jn 4:16,1 Jn 5:10,1 Jn 5:14,2 Jn 5,Re 1:1,Re 3:8,Re 4:1,Re 6:9,Re 10:8,Re 14:2,Re 17:18
ἃ	ὅς	neu	acc	pl	pronoun	Mt 11:4,Mt 11:16,Mt 13:4,Mt 13:17,Mt 13:17,Mt 21:15,Mk 1:44,Mk 7:4,Mk 9:9,Lk 6:46,Lk 7:22,Lk 10:23,Lk 10:24,Lk 10:24,Lk 12:12,Lk 12:20,Lk 21:6,Lk 24:1,Jn 2:23,Jn 3:2,Jn 4:39,Jn 5:19,Jn 5:20,Jn 5:36,Jn 5:36,Jn 6:2,Jn 6:13,Jn 6:63,Jn 7:3,Jn 8:26,Jn 8:38,Jn 8:38,Jn 10:6,Jn 10:25,Jn 11:45,Jn 11:46,Jn 12:50,Jn 14:10,Jn 14:12,Jn 14:26,Jn 15:14,Jn 15:15,Jn 15:24,Jn 17:8,Jn 18:21,Jn 21:25,Ac 3:18,Ac 4:20,Ac 6:14,Ac 8:6,Ac 8:30,Ac 10:15,Ac 11:9,Ac 16:21,Ac 25:7,Ac 28:22,Ro 9:23,1 Co 2:9,1 Co 2:9,1 Co 2:13,1 Co 10:20,1 Co 12:23,1 Co 14:37,2 Co 1:13,2 Co 1:17,2 Co 5:10,2 Co 12:4,Ga 1:20,Ga 2:18,Ga 5:17,Ga 5:21,Php 4:9,Col 2:18,Col 3:6,2 Th 3:4,1 Ti 1:7,1 Ti 4:3,2 Ti 2:2,Tt 1:11,Tt 2:1,Tt 3:5,Phm 21,1 Pe 1:12,2 Pe 3:16,1 Jn 5:15,2 Jn 8,3 Jn 10,Re 1:1,Re 1:19,Re 1:19,Re 1:19,Re 2:6,Re 2:10,Re 4:1,Re 10:4,Re 17:12,Re 17:15,Re 17:16
οὗ	ὅς	mas	gen	sg	pronoun	Mt 1:25,Mt 3:11,Mt 3:12,Mt 11:10,Mt 13:33,Mt 14:22,Mt 17:9,Mt 18:7,Mt 18:34,Mt 26:24,Mt 26:36,Mk 1:7,Mk 13:30,Mk 14:21,Lk 3:16,Lk 3:17,Lk 7:27,Lk 8:35,Lk 8:38,Lk 9:9,Lk 17:1,Lk 21:24,Lk 22:22,Jn 1:27,Jn 1:30,Jn 4:46,Jn 6:42,Jn 10:12,Jn 13:24,Jn 15:20,Jn 18:26,Ac 2:32,Ac 7:18,Ac 7:52,Ac 13:25,Ac 18:7,Ac 21:11,Ac 21:26,Ac 23:12,Ac 23:14,Ac 23:21,Ac 24:8,Ac 25:15,Ac 25:18,Ac 25:21,Ac 25:24,Ac 25:26,Ac 27:23,Ro 1:5,Ro 2:29,Ro 4:8,Ro 4:17,Ro 5:2,Ro 5:11,Ro 10:14,Ro 11:25,Ro 14:15,1 Co 1:9,1 Co 8:6,1 Co 8:6,1 Co 11:26,1 Co 15:25,2 Co 8:18,2 Co 10:13,Ga 6:14,Eph 3:15,Eph 4:16,Php 3:20,Col 1:23,Col 1:23,Col 2:19,Col 4:10,2 Th 2:9,Tt 3:6,Heb 1:2,Heb 2:10,Heb 3:6,Heb 5:11,Heb 12:14,Heb 12:26,Heb 13:23,1 Pe 2:24,2 Pe 1:19,Re 13:8,Re 20:11
ἅ	ὅς	neu	nom	pl	pronoun	Col 2:17,Col 2:22,Re 4:5,Re 21:12
ἃς	ὅς	fem	acc	pl	pronoun	2 Th 2:15,Heb 10:1
ὃν	ὅς	mas	acc	sg	pronoun	Mt 2:9,Mt 2:16,Mt 7:9,Mt 12:18,Mt 12:18,Mt 13:31,Mt 13:44,Mt 21:24,Mt 21:35,Mt 21:35,Mt 21:35,Mt 21:42,Mt 21:44,Mt 23:35,Mt 23:37,Mt 24:45,Mt 24:46,Mt 26:48,Mt 27:9,Mt 27:15,Mk 6:16,Mk 11:2,Mk 12:10,Mk 14:44,Mk 14:71,Mk 15:6,Mk 15:12,Lk 1:73,Lk 6:14,Lk 12:42,Lk 12:43,Lk 13:19,Lk 13:34,Lk 19:30,Lk 20:17,Lk 20:18,Lk 21:4,Lk 23:25,Lk 23:33,Lk 23:33,Jn 1:15,Jn 1:26,Jn 1:33,Jn 1:45,Jn 2:22,Jn 3:34,Jn 4:18,Jn 4:50,Jn 5:38,Jn 5:45,Jn 6:29,Jn 6:51,Jn 7:25,Jn 7:28,Jn 7:36,Jn 8:54,Jn 9:19,Jn 10:36,Jn 11:3,Jn 12:1,Jn 12:9,Jn 12:38,Jn 12:48,Jn 13:23,Jn 14:24,Jn 15:3,Jn 15:26,Jn 17:3,Jn 18:1,Jn 18:9,Jn 18:32,Jn 19:26,Jn 19:37,Jn 20:2,Jn 21:7,Jn 21:20,Ac 1:11,Ac 1:24,Ac 2:24,Ac 2:36,Ac 3:2,Ac 3:13,Ac 3:15,Ac 3:16,Ac 3:21,Ac 4:10,Ac 4:10,Ac 4:22,Ac 4:27,Ac 5:30,Ac 7:28,Ac 7:35,Ac 7:44,Ac 9:5,Ac 9:39,Ac 10:21,Ac 10:36,Ac 10:39,Ac 12:4,Ac 13:37,Ac 14:23,Ac 15:10,Ac 15:11,Ac 17:3,Ac 19:13,Ac 21:29,Ac 22:8,Ac 23:29,Ac 24:6,Ac 25:19,Ac 26:15,Ac 26:26,Ac 27:25,Ac 27:39,Ac 28:4,Ac 28:8,Ro 3:25,Ro 6:17,Ro 9:15,Ro 9:15,Ro 9:18,Ro 9:18,Ro 10:14,Ro 11:2,1 Co 8:11,1 Co 10:16,1 Co 15:15,2 Co 1:10,2 Co 8:22,2 Co 10:18,2 Co 11:4,Eph 6:22,Php 3:8,Col 1:28,Col 4:8,1 Th 1:10,2 Th 2:8,1 Ti 6:16,2 Ti 3:8,2 Ti 4:8,2 Ti 4:13,2 Ti 4:15,Phm 10,Phm 12,Phm 13,Heb 1:2,Heb 2:10,Heb 4:13,Heb 7:13,Heb 11:8,Heb 11:18,Heb 12:6,Heb 12:6,Heb 12:7,Jas 1:12,1 Pe 1:8,1 Pe 1:8,1 Pe 2:4,1 Pe 2:7,2 Pe 1:17,1 Jn 2:7,1 Jn 4:20,1 Jn 4:20,3 Jn 1,Re 7:9,Re 10:5,Re 12:16
