Reference	Result	Lemma	Part of Speech
Mt 14:36,Mk 3:10,Mk 6:56,Lk 4:40,Lk 9:5,Jn 1:12,Jn 10:8,Ac 3:24,Ac 4:6,Ac 4:34,Ac 5:36,Ac 5:37,Ac 10:45,Ac 13:48,Ro 2:12,Ro 6:3,Ro 8:14,Ga 6:16,Col 2:1,Heb 2:15,Re 2:24,Re 13:15,Re 18:17	ὅσοι	ὅσος	pronoun
Ac 9:13	ὅσα	ὅσος	adjective, pronoun
Mt 22:9,Ac 2:39,Re 3:19	ὅσους	ὅσος	pronoun
Ro 2:12,Ga 3:10,Ga 6:12,Php 3:15,1 Ti 6:1	Ὅσοι	ὅσος	pronoun
Mk 2:19,Ga 4:1	ὅσον	ὅσος	adjective, pronoun
Mt 7:12,Mt 13:44,Mt 13:46,Mt 17:12,Mt 18:18,Mt 18:18,Mt 18:25,Mt 21:22,Mt 23:3,Mt 28:20,Mk 3:8,Mk 3:28,Mk 5:19,Mk 5:20,Mk 6:30,Mk 6:30,Mk 9:13,Mk 10:21,Mk 11:24,Mk 12:44,Lk 4:23,Lk 8:39,Lk 8:39,Lk 9:10,Lk 12:3,Lk 18:12,Lk 18:22,Jn 4:29,Jn 4:45,Jn 10:41,Jn 11:22,Jn 16:13,Jn 16:15,Jn 17:7,Ac 3:22,Ac 4:23,Ac 4:28,Ac 9:16,Ac 9:39,Ac 14:27,Ac 15:4,Ac 15:12,Ro 3:19,Ro 15:4,Php 4:8,Php 4:8,Php 4:8,Php 4:8,Php 4:8,Php 4:8,2 Ti 1:18,Jud 10,Jud 10,Re 1:2,Re 18:7	ὅσα	ὅσος	pronoun
Mt 9:15,Mt 25:40,Mt 25:45,Mk 7:36,Jn 6:11,Ro 7:1,Ro 11:13,1 Co 7:39,Heb 3:3,Heb 7:20,Heb 9:27,Heb 10:37,Heb 10:37,2 Pe 1:13,Re 21:16	ὅσον	ὅσος	pronoun
2 Co 1:20	ὅσαι	ὅσος	adjective, pronoun
Heb 1:4,Heb 8:6,Heb 10:25	ὅσῳ	ὅσος	pronoun
Ga 3:27	ὅσοι	ὅσος	adjective, pronoun
Lk 11:8	ὅσων	ὅσος	pronoun
