Result	Lemma	Gender	Case	Number	Part of Speech	Reference
ὁδοὺς	ὁδός	fem	acc	pl	noun	Mt 22:10,Lk 1:76,Lk 3:5,Lk 14:23,Ac 2:28,Ac 13:10
ὁδοὶ	ὁδός	fem	nom	pl	noun	Ro 11:33
ὁδούς	ὁδός	fem	acc	pl	noun	1 Co 4:17,Heb 3:10
ὁδόν	ὁδός	fem	acc	sg	noun	Mt 11:10,Mt 13:4,Mk 1:2,Mk 4:4,Mk 4:15,Mk 10:46,Mk 11:8,Lk 7:27,Lk 8:12,Lk 9:3,Jn 14:4,Ac 8:36,Ac 25:3,Ac 1:12
ὁδοί	ὁδός	fem	nom	pl	noun	Re 15:3
ὁδοῦ	ὁδός	fem	gen	sg	noun	Mt 2:12,Mt 8:28,Mt 21:19,Lk 11:6,Ac 9:2,Ac 19:23,Ac 24:22,Jas 5:20
ὁδῶν	ὁδός	fem	gen	pl	noun	Mt 22:9
ὁδοῖς	ὁδός	fem	dat	pl	noun	Ac 14:16,Ro 3:16,Jas 1:8
ὁδὸς	ὁδός	fem	nom	sg	noun	Mt 7:13,Mt 7:14,Jn 14:6,2 Pe 2:2,Re 16:12
ὁδῷ	ὁδός	fem	dat	sg	noun	Mt 5:25,Mt 15:32,Mt 20:17,Mt 21:8,Mt 21:8,Mt 21:32,Mk 8:3,Mk 8:27,Mk 9:33,Mk 9:34,Mk 10:32,Mk 10:52,Lk 9:57,Lk 10:31,Lk 12:58,Lk 19:36,Lk 24:32,Lk 24:35,Ac 9:17,Ac 9:27,Jas 2:25,2 Pe 2:15,Jud 11
ὁδὸν	ὁδός	fem	acc	sg	noun	Mt 3:3,Mt 4:15,Mt 10:5,Mt 10:10,Mt 13:19,Mt 20:30,Mt 22:16,Mk 1:3,Mk 6:8,Mk 10:17,Mk 12:14,Lk 1:79,Lk 2:44,Lk 3:4,Lk 8:5,Lk 10:4,Lk 18:35,Lk 20:21,Jn 1:23,Jn 14:5,Ac 8:26,Ac 8:39,Ac 16:17,Ac 18:25,Ac 18:26,Ac 19:9,Ac 22:4,Ac 24:14,Ac 26:13,Ro 3:17,1 Co 12:31,1 Th 3:11,Heb 9:8,Heb 10:20,2 Pe 2:15,2 Pe 2:21,Mk 2:23
