Result	Lemma	Gender	Case	Number	Part of Speech	Reference
χάριτος	χάρις	fem	gen	sg	noun	Lk 4:22,Jn 1:14,Jn 1:16,Ac 6:8,Ac 14:3,Ac 15:11,Ac 18:27,Ac 20:24,Ac 20:32,Ro 5:17,Ro 11:5,Ro 12:3,Ga 1:15,Ga 5:4,Eph 1:6,Eph 1:7,Eph 2:7,Eph 3:7,Php 1:7,Heb 4:16,Heb 10:29,Heb 12:15,1 Pe 1:10,1 Pe 3:7,1 Pe 4:10,1 Pe 5:10,Eph 3:2
Χάρις	χάρις	fem	nom	sg	noun	2 Co 8:16,2 Co 9:15
χάριν	χάρις	fem	acc	sg	noun	Jn 1:16,Ac 2:47,Ac 7:10,Ac 7:46,Ac 11:23,Ac 25:3,Ac 25:9,Ro 1:5,Ro 4:4,Ro 4:16,Ro 5:2,Ro 6:14,Ro 6:15,Ro 12:6,Ro 15:15,1 Co 3:10,1 Co 16:3,2 Co 1:15,2 Co 6:1,2 Co 8:1,2 Co 8:4,2 Co 8:6,2 Co 8:9,2 Co 9:8,2 Co 9:14,Ga 2:9,Ga 2:21,Eph 4:29,2 Th 1:12,2 Ti 1:9,Heb 4:16,Heb 12:28,Jas 4:6,Jas 4:6,1 Pe 1:13,1 Pe 5:5,1 Pe 5:12,Lk 17:9
Χάριν	χάρις	fem	acc	sg	noun	1 Ti 1:12,2 Ti 1:3
χάρις	χάρις	fem	nom	sg	noun	Lk 2:40,Lk 6:32,Lk 6:33,Lk 6:34,Jn 1:17,Ac 4:33,Ro 1:7,Ro 5:15,Ro 5:20,Ro 5:21,Ro 6:1,Ro 6:17,Ro 7:25,Ro 11:6,Ro 11:6,Ro 16:20,1 Co 1:3,1 Co 15:10,1 Co 15:10,1 Co 15:57,1 Co 16:23,2 Co 1:2,2 Co 2:14,2 Co 4:15,2 Co 12:9,2 Co 13:13,Ga 1:3,Ga 6:18,Eph 1:2,Eph 3:8,Eph 4:7,Eph 6:24,Php 1:2,Php 4:23,Col 1:2,Col 4:18,1 Th 1:1,1 Th 5:28,2 Th 1:2,2 Th 3:18,1 Ti 1:2,1 Ti 1:14,1 Ti 6:21,2 Ti 1:2,2 Ti 4:22,Tt 1:4,Tt 2:11,Tt 3:15,Phm 3,Phm 25,Heb 13:25,1 Pe 1:2,1 Pe 2:19,1 Pe 2:20,2 Pe 1:2,2 Jn 3,Re 22:21,Re 1:4
χάριν	χάρις	fem	acc	sg	noun, adverb	Col 1:6
χάριτα	χάρις	fem	acc	sg	noun	Ac 24:27,Jud 4
χάριτί	χάρις	fem	dat	sg	noun	Eph 2:5,Eph 2:8
χάριτι	χάρις	fem	dat	sg	noun	Lk 2:52,Ac 13:43,Ac 14:26,Ac 15:40,Ro 3:24,Ro 5:15,Ro 11:6,1 Co 1:4,1 Co 10:30,1 Co 15:10,2 Co 1:12,2 Co 8:7,2 Co 8:19,Ga 1:6,Col 3:16,Col 4:6,2 Th 2:16,2 Ti 2:1,Tt 3:7,Heb 2:9,Heb 13:9,2 Pe 3:18
χάριν	χάρις	—	—	—	adverb, noun	Lk 1:30
