Result	Lemma	Gender	Case	Number	Part of Speech	Reference
ἑκάστου	ἕκαστος	mas	gen	sg	adjective	Ac 17:27,Ac 21:26,1 Co 3:13,1 Co 3:13,2 Th 1:3,1 Pe 1:17
ἕκαστον	ἕκαστος	neu	accusative, nominative	sg	adjective	1 Co 12:18
ἕκαστον	ἕκαστος	mas	acc	sg	adjective	Lk 16:5,Ac 2:3,Ac 3:26,Ac 20:31,1 Co 7:17,1 Th 2:11,1 Th 4:4,Heb 6:11,Heb 11:21
ἕκαστοι	ἕκαστος	mas	nom	pl	adjective	Php 2:4
ἑκάστῳ	ἕκαστος	mas	dat	sg	adjective	Mt 16:27,Mt 25:15,Mk 13:34,Lk 4:40,Jn 19:23,Ac 4:35,Ro 2:6,Ro 12:3,1 Co 3:5,1 Co 4:5,1 Co 7:17,1 Co 12:7,1 Co 12:11,Eph 4:7,Col 4:6,Re 2:23,Re 6:11,Re 22:12
ἑκάστη	ἕκαστος	fem	nom	sg	adjective	1 Co 7:2
ἑκάστην	ἕκαστος	fem	acc	sg	adjective	Heb 3:13
ἕκαστον	ἕκαστος	neu	nom	sg	adjective	Lk 6:44,Re 22:2
ἑκάστου	ἕκαστος	neuter, masculine	gen	sg	adjective	Eph 4:16
ἑκάστῳ	ἕκαστος	neu	dat	sg	adjective	1 Co 15:38
ἕκαστος	ἕκαστος	mas	nom	sg	adjective	Mt 18:35,Mt 26:22,Lk 2:3,Lk 13:15,Jn 6:7,Jn 7:53,Jn 16:32,Ac 2:6,Ac 2:8,Ac 2:38,Ac 11:29,Ro 14:5,Ro 14:12,Ro 15:2,1 Co 1:12,1 Co 3:8,1 Co 3:10,1 Co 7:2,1 Co 7:7,1 Co 7:20,1 Co 7:24,1 Co 11:21,1 Co 14:26,1 Co 16:2,2 Co 5:10,2 Co 9:7,Ga 6:4,Ga 6:5,Eph 4:25,Eph 5:33,Eph 6:8,Php 2:4,Heb 8:11,Heb 8:11,Jas 1:14,1 Pe 4:10,Re 5:8,Re 20:13,Re 21:21
Ἕκαστος	ἕκαστος	mas	nom	sg	adjective	1 Co 15:23
ἕκαστον	ἕκαστος	neu	acc	sg	adjective	Ac 21:19
