Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
δοκοῦμεν	δοκέω	pres	actv	indicative	1p	—	—	pl	verb	1 Co 12:23
δοκοῦν	δοκέω	pres	actv	participle	—	neu	acc	sg	verb	Heb 12:10
δοκοῦντα	δοκέω	pres	actv	participle	—	neu	nom	pl	verb	1 Co 12:22
δοκεῖτε	δοκέω	pres	actv	imperative	2p	—	—	pl	verb	Jn 5:45
δοκοῦντες	δοκέω	pres	actv	participle	—	mas	nom	pl	verb	Mk 10:42,Ga 2:6,Ga 2:9
δοκεῖν	δοκέω	pres	actv	infinitive	—	—	—	—	verb	Lk 19:11
δοκοῦσιν	δοκέω	pres	actv	indicative	3p	—	—	pl	verb	Mt 6:7
δοκῶ	δοκέω	pres	actv	indicative	1p	—	—	sg	verb	1 Co 4:9,1 Co 7:40
δοκεῖς	δοκέω	pres	actv	indicative	2p	—	—	sg	verb	Mt 26:53
δοκῇ	δοκέω	pres	actv	subjunctive	3p	—	—	sg	verb	Heb 4:1
δοκῶν	δοκέω	pres	actv	participle	—	mas	nom	sg	verb	1 Co 10:12
δοκεῖτε	δοκέω	pres	actv	indicative	2p	—	—	pl	verb	Mt 24:44,Lk 12:40,Lk 12:51,Lk 13:2,Lk 13:4,Jn 5:39,2 Co 12:19,Heb 10:29,Jas 4:5
δόξῃ	δοκέω	aor	actv	subjunctive	3p	—	—	sg	verb	Jn 16:2,2 Co 11:16
ἐδόκει	δοκέω	impft	actv	indicative	3p	—	—	sg	verb	Ac 12:9
δοκοῦσα	δοκέω	pres	actv	participle	—	fem	nom	sg	verb	Jn 20:15
ἔδοξα	δοκέω	aor	actv	indicative	1p	—	—	sg	verb	Ac 26:9
ἐδόκουν	δοκέω	impft	actv	indicative	3p	—	—	pl	verb	Lk 24:37,Jn 13:29
ἔδοξεν	δοκέω	aor	actv	indicative	3p	—	—	sg	verb	Lk 1:3,Ac 15:22,Ac 15:25,Ac 15:28
δόξω	δοκέω	aor	actv	subjunctive	first person, second person	—	—	sg	verb	2 Co 10:9
δοκεῖ	δοκέω	pres	actv	indicative	3p	—	—	sg	verb	Mt 17:25,Mt 18:12,Mt 21:28,Mt 22:17,Mt 22:42,Mt 26:66,Lk 8:18,Lk 10:36,Lk 22:24,Jn 11:56,Ac 17:18,Ac 25:27,1 Co 3:18,1 Co 8:2,1 Co 14:37,Ga 6:3,Php 3:4,Heb 12:11,Jas 1:26,1 Co 11:16
δοκούντων	δοκέω	pres	actv	participle	—	mas	gen	pl	verb	Ga 2:6
ἔδοξαν	δοκέω	aor	actv	indicative	3p	—	—	pl	verb	Mk 6:49,Jn 11:13
δόξητε	δοκέω	aor	actv	subjunctive	2p	—	—	pl	verb	Mt 3:9
δόξαντες	δοκέω	aor	actv	participle	—	mas	nom	pl	verb	Jn 11:31,Ac 27:13
δοκοῦσιν	δοκέω	pres	actv	participle	—	mas	dat	pl	verb	Ga 2:2
