Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
ἠδυνήθησαν	δύναμαι	aor	pass	indicative	3p	—	—	pl	verb	Mt 17:16,Lk 9:40,Heb 3:19
δυνάμενά	δύναμαι	pres	either middle or passive	participle	—	neu	acc	pl	verb	2 Ti 3:15
δυνήσεταί	δύναμαι	futr	mid	indicative	3p	—	—	sg	verb	Mk 8:4
δυνάμεθα	δύναμαι	pres	either middle or passive	indicative	1p	—	—	pl	verb	Mt 20:22,Mk 10:39,Jn 14:5,Ac 4:16,Ac 4:20,Ac 17:19,1 Th 3:9,1 Ti 6:7
δυνησόμεθα	δύναμαι	futr	mid	indicative	1p	—	—	pl	verb	Ac 19:40
δύναταί	δύναμαι	pres	either middle or passive	indicative	3p	—	—	sg	verb	Mt 12:29,Jn 1:46
δυνηθῆτε	δύναμαι	aor	passive, middle	subjunctive	2p	—	—	pl	verb	Eph 6:13
δυνάμενα	δύναμαι	pres	either middle or passive	participle	—	neu	acc	pl	verb	2 Ti 3:7
δυνάμενος	δύναμαι	pres	either middle or passive	participle	—	mas	nom	sg	verb	Mt 19:12,Lk 1:20,Ga 3:21,Heb 5:2,Jas 4:12
δυναμένου	δύναμαι	pres	either middle or passive	participle	—	neu	gen	sg	verb	Ac 27:15
ἠδυνήθητε	δύναμαι	aor	pass	indicative	2p	—	—	pl	verb	Ac 13:38
ἐδύνατο	δύναμαι	impft	either middle or passive	indicative	3p	—	—	sg	verb	Mt 22:46,Mt 26:9,Mk 5:3,Mk 6:5,Lk 1:22,Jn 11:37,Ac 26:32,Re 5:3,Re 7:9,Re 14:3,Re 15:8
δυνήσεται	δύναμαι	futr	mid	indicative	3p	—	—	sg	verb	Mk 3:25,Mk 9:39,Ro 8:39,1 Co 6:5
δυνήσεσθε	δύναμαι	futr	mid	indicative	2p	—	—	pl	verb	Ac 5:39,Eph 6:16
δυναίμην	δύναμαι	pres	either middle or passive	optative	1p	—	—	sg	verb	Ac 8:31
δυναμένῳ	δύναμαι	pres	either middle or passive	participle	—	mas	dat	sg	verb	Ac 20:32,Ro 16:25,Eph 3:20,Jud 24
δυνήσονται	δύναμαι	futr	mid	indicative	3p	—	—	pl	verb	Lk 21:15
δυναμένους	δύναμαι	pres	either middle or passive	participle	—	mas	acc	pl	verb	Ac 27:43
ἠδυνήθημεν	δύναμαι	aor	pass	indicative	1p	—	—	pl	verb	Mt 17:19,Mk 9:28
δυνάμεναι	δύναμαι	pres	either middle or passive	participle	—	fem	nom	pl	verb	Heb 9:9
ἐδύνασθε	δύναμαι	impft	either middle or passive	indicative	2p	—	—	pl	verb	1 Co 3:2
δύνωνται	δύναμαι	pres	either middle or passive	subjunctive	3p	—	—	pl	verb	Lk 16:26
ἠδυνήθη	δύναμαι	aor	pass	indicative	3p	—	—	sg	verb	Mk 7:24
δυναμένη	δύναμαι	pres	either middle or passive	participle	—	fem	nom	sg	verb	Lk 13:11
δύνασθαι	δύναμαι	pres	either middle or passive	infinitive	—	—	—	—	verb	Mk 1:45,Mk 3:20,Mk 4:32,1 Co 10:13,2 Co 1:4,2 Co 3:7,Eph 6:11,Php 3:21
δυνάμενοι	δύναμαι	pres	either middle or passive	participle	—	mas	nom	pl	verb	Mk 2:4,Ro 15:14,1 Th 2:7
ἠδύνατο	δύναμαι	impft	either middle or passive	indicative	3p	—	—	sg	verb	Mk 6:19,Mk 14:5,Lk 19:3,Jn 9:33
δυναμένων	δύναμαι	pres	either middle or passive	participle	—	mas	gen	pl	verb	Mt 10:28
ἠδύναντο	δύναμαι	impft	either middle or passive	indicative	3p	—	—	pl	verb	Mk 4:33,Lk 8:19,Jn 12:39
δύναμαί	δύναμαι	pres	either middle or passive	indicative	1p	—	—	sg	verb	Jn 13:37
δυνάμενον	δύναμαι	pres	either middle or passive	participle	—	mas	acc	sg	verb	Mt 10:28,Heb 4:15,Heb 5:7,Jas 1:21
δύνανται	δύναμαι	pres	either middle or passive	indicative	3p	—	—	pl	verb	Mt 9:15,Mk 2:19,Mk 2:19,Lk 20:36,Ro 8:8,1 Ti 5:25,Heb 10:11,Re 9:20
ἠδυνήθην	δύναμαι	aor	pass	indicative	1p	—	—	sg	verb	1 Co 3:1
δύνανταί	δύναμαι	pres	either middle or passive	indicative	3p	—	—	pl	verb	Ac 24:13
