Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
ἔμελλον	μέλλω	impft	actv	indicative	3p	—	—	pl	verb	Jn 7:39,Ac 21:27,Re 3:2
μέλλοντα	μέλλω	pres	actv	participle	—	neu	nom	pl	verb	Ro 8:38,1 Co 3:22
Μέλλων	μέλλω	pres	actv	participle	—	mas	nom	sg	verb	Ac 21:37
μέλλει	μέλλω	pres	actv	indicative	3p	—	—	sg	verb	Mt 2:13,Mt 16:27,Mt 17:12,Mt 17:22,Lk 9:44,Lk 19:11,Jn 7:35,Jn 7:35,Ac 17:31,Ac 23:3,Ac 26:23,Ro 4:24,Re 1:19,Re 2:10,Re 12:5,Re 17:8
μέλλῃ	μέλλω	pres	actv	subjunctive	3p	—	—	sg	verb	Mk 13:4,Lk 21:7,Re 10:7
μέλλοντι	μέλλω	pres	actv	participle	—	neuter, masculine	dat	sg	verb	Ac 27:2
μέλλοντι	μέλλω	pres	actv	participle	—	mas	dat	sg	verb	Mt 12:32,Ac 20:3,Eph 1:21
μέλλων	μέλλω	pres	actv	participle	—	mas	nom	sg	verb	Mt 11:14,Lk 22:23,Lk 24:21,Jn 12:4,Ac 20:7,Ac 20:13,Ac 26:2,Heb 8:5
μέλλοντα	μέλλω	pres	actv	participle	—	mas	acc	sg	verb	Ac 13:34,Ac 23:27
μέλλοντας	μέλλω	pres	actv	participle	—	mas	acc	pl	verb	Ac 3:3,Ac 23:15,Heb 1:14
μέλλον	μέλλω	pres	actv	participle	—	neu	acc	sg	verb	Lk 13:9,Ac 23:20,1 Ti 6:19
μέλλοντα	μέλλω	pres	actv	participle	—	neu	acc	pl	verb	Mk 10:32,Lk 21:36
μελλόντων	μέλλω	pres	actv	participle	—	neu	gen	pl	verb	Ac 26:22,Col 2:17,Heb 10:1,Heb 11:20
ἤμελλεν	μέλλω	impft	actv	indicative	3p	—	—	sg	verb	Lk 7:2,Lk 9:31,Lk 10:1,Lk 19:4,Jn 4:47,Jn 12:33,Jn 18:32,Ac 12:6,Ac 16:27,Ac 27:33,Heb 11:8
μέλλειν	μέλλω	pres	actv	infinitive	—	—	—	—	verb	Ac 11:28,Ac 19:27,Ac 24:15,Ac 25:4,Ac 27:10,Ac 28:6
μέλλετε	μέλλω	pres	actv	indicative	2p	—	—	pl	verb	Ac 5:35,Ro 8:13
μέλλω	μέλλω	pres	actv	indicative	1p	—	—	sg	verb	Mt 20:22,Re 3:16
μέλλουσιν	μέλλω	pres	actv	indicative	3p	—	—	pl	verb	Jn 6:15,Ac 20:38
μελλήσετε	μέλλω	futr	actv	indicative	2p	—	—	pl	verb	Mt 24:6
ἤμελλον	μέλλω	impft	actv	indicative	1p	—	—	sg	verb	Re 10:4
μελλήσω	μέλλω	futr	actv	indicative	1p	—	—	sg	verb	2 Pe 1:12
μέλλοντος	μέλλω	pres	actv	participle	—	neu	gen	sg	verb	Ac 24:25,Heb 10:27
ἔμελλεν	μέλλω	impft	actv	indicative	3p	—	—	sg	verb	Jn 6:6,Jn 6:71,Jn 11:51
μελλόντων	μέλλω	pres	actv	participle	—	mas	gen	pl	verb	Ac 27:30,1 Ti 1:16,2 Pe 2:6,Re 8:13
μέλλοντος	μέλλω	pres	actv	participle	—	mas	gen	sg	verb	Ac 18:14,Ro 5:14,2 Ti 4:1,Heb 6:5
μέλλεις	μέλλω	pres	actv	indicative	2p	—	—	sg	verb	Jn 14:22,Ac 22:16,Ac 22:26,Re 2:10
μέλλουσαν	μέλλω	pres	actv	participle	—	fem	acc	sg	verb	Ro 8:18,Ga 3:23,Heb 2:5,Heb 13:14
μελλούσης	μέλλω	pres	actv	participle	—	fem	gen	sg	verb	Mt 3:7,Lk 3:7,1 Ti 4:8,1 Pe 5:1,Re 3:10,Re 12:4
μέλλομεν	μέλλω	pres	actv	indicative	1p	—	—	pl	verb	1 Th 3:4
μέλλοντες	μέλλω	pres	actv	participle	—	mas	nom	pl	verb	Ac 20:13,Ac 22:29,Jas 2:12,Re 6:11
