Result	Lemma	Gender	Case	Number	Part of Speech	Reference
ἱμάτια	ἱμάτιον	neu	nom	pl	noun	Mt 17:2,Mk 9:3,Jas 5:2
ἱματίῳ	ἱμάτιον	neu	dat	sg	noun	Mt 9:16
ἱματίων	ἱμάτιον	neu	gen	pl	noun	Mk 5:28,Mk 5:30,1 Pe 3:3
ἱμάτια	ἱμάτιον	neu	acc	pl	noun	Mt 21:7,Mt 21:8,Mt 26:65,Mt 27:31,Mt 27:35,Mk 11:7,Mk 11:8,Mk 15:20,Mk 15:24,Lk 19:35,Lk 19:36,Lk 23:34,Jn 13:4,Jn 19:23,Ac 7:58,Ac 9:39,Ac 14:14,Ac 16:22,Ac 18:6,Ac 22:20,Ac 22:23,Re 3:4,Re 16:15,Jn 13:12,Re 3:18
ἱμάτιον	ἱμάτιον	neu	nom	sg	noun	Heb 1:11
ἱμάτιον	ἱμάτιον	neu	acc	sg	noun	Mt 5:40,Mt 24:18,Mk 2:21,Mk 10:50,Mk 13:16,Lk 5:36,Lk 6:29,Lk 8:27,Lk 22:36,Jn 19:2,Jn 19:5,Heb 1:12,Re 19:13,Re 19:16
ἱματίοις	ἱμάτιον	neu	dat	pl	noun	Lk 7:25,Re 3:5,Re 4:4
ἱμάτιά	ἱμάτιον	neu	acc	pl	noun	Jn 19:24
ἱματίου	ἱμάτιον	neu	gen	sg	noun	Mt 9:16,Mt 9:20,Mt 9:21,Mt 14:36,Mk 5:27,Mk 6:56,Lk 5:36,Lk 8:44
ἱμάτιόν	ἱμάτιον	neu	acc	sg	noun	Ac 12:8
