Result	Lemma	Gender	Case	Number	Part of Speech	Reference
αἱμάτων	αἷμα	neu	gen	pl	noun	Jn 1:13
αἵματί	αἷμα	neu	dat	sg	noun	Lk 22:20,Re 5:9
αἵματος	αἷμα	neu	gen	sg	noun	Mt 23:35,Mt 23:35,Mt 27:8,Mt 27:24,Mk 5:29,Lk 8:43,Lk 8:44,Lk 11:51,Lk 11:51,Lk 22:44,Ac 1:19,Ac 15:20,Ac 15:29,Ac 20:26,Ac 20:28,1 Co 10:16,1 Co 11:27,Eph 1:7,Col 1:20,Heb 9:7,Heb 9:12,Heb 9:12,Heb 11:28,Heb 12:4,Heb 13:12,1 Pe 1:2,1 Jn 5:6,Re 17:6,Re 17:6,Mk 5:25,Heb 2:14,Heb 9:18
αἵματι	αἷμα	neu	dat	sg	noun	Mt 23:30,Ro 3:25,Ro 5:9,1 Co 11:25,Eph 2:13,Heb 9:21,Heb 9:22,Heb 9:25,Heb 10:19,Heb 12:24,Heb 13:20,1 Pe 1:19,1 Jn 5:6,Re 7:14,Re 8:7,Re 19:13,Ga 1:16,Re 1:5
αἷμα	αἷμα	neu	accusative, nominative	sg	noun	Heb 10:4
αἷμά	αἷμα	neu	nom	sg	noun	Mt 26:28,Mk 14:24,Jn 6:55
αἵματός	αἷμα	neu	gen	sg	noun	Mt 27:6
αἷμα	αἷμα	neu	nom	sg	noun	Mt 23:35,Mt 27:25,Lk 11:50,Jn 19:34,Ac 18:6,Ac 22:20,Heb 9:13,Heb 9:14,Heb 9:20,Heb 13:11,1 Jn 1:7,1 Jn 5:8,Re 8:8,Re 14:20,Re 16:3,Re 16:4,Re 18:24,Mt 16:17,1 Co 15:50
αἷμα	αἷμα	neu	acc	sg	noun	Mt 27:4,Lk 13:1,Jn 6:53,Jn 6:54,Jn 6:56,Ac 2:19,Ac 2:20,Ac 5:28,Ac 21:25,Ro 3:15,Heb 9:19,Heb 10:29,Re 11:6,Re 12:11,Re 16:6,Re 16:6,Re 19:2,Eph 6:12,Re 6:10
αἷμα	αἷμα	neu	nominative, accusative	sg	noun	Re 6:12
