Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
διδόντι	δίδωμι	pres	actv	participle	—	mas	dat	sg	verb	Ac 14:3,1 Co 15:57
δεδομένον	δίδωμι	perfect	pass	participle	—	neu	nom	sg	verb	Jn 3:27,Jn 6:65,Jn 19:11,Ac 4:12
ἔδωκας	δίδωμι	aor	actv	indicative	2p	—	—	sg	verb	Lk 7:44,Lk 7:45,Lk 15:29,Jn 17:2,Jn 17:6
ἐδώκαμεν	δίδωμι	aor	actv	indicative	1p	—	—	pl	verb	1 Th 4:2
δῴη	δίδωμι	aor	actv	optative	3p	—	—	sg	verb	Ro 15:5,2 Th 3:16,2 Ti 1:16,2 Ti 1:18
δώσουσιν	δίδωμι	futr	actv	indicative	3p	—	—	pl	verb	Mt 24:24,Mk 13:22,Lk 6:38,Lk 20:10,Re 4:9
δοθήσεται	δίδωμι	futr	pass	indicative	3p	—	—	sg	verb	Mt 7:7,Mt 10:19,Mt 12:39,Mt 13:12,Mt 16:4,Mt 21:43,Mt 25:29,Mk 4:25,Mk 8:12,Lk 6:38,Lk 8:18,Lk 11:9,Lk 11:29,Lk 19:26,Ac 24:26,Jas 1:5
δῷ	δίδωμι	aor	actv	subjunctive	3p	—	—	sg	verb	Jn 13:29,Jn 15:16,1 Co 14:7,Eph 3:16,Eph 4:29,1 Co 14:8
διδῶ	δίδωμι	pres	actv	subjunctive	1p	—	—	sg	verb	Re 3:9
δίδοται	δίδωμι	pres	pass	indicative	3p	—	—	sg	verb	Ac 8:18,1 Co 12:7,1 Co 12:8
ἐδόθη	δίδωμι	aor	pass	indicative	3p	—	—	sg	verb	Mt 14:11,Mt 28:18,Lk 12:48,Jn 1:17,Jn 12:5,2 Co 12:7,Ga 3:21,Eph 3:8,Eph 4:7,1 Ti 4:14,Re 6:2,Re 6:4,Re 6:4,Re 6:8,Re 6:11,Re 7:2,Re 8:3,Re 9:1,Re 9:3,Re 9:5,Re 11:1,Re 11:2,Re 13:5,Re 13:5,Re 13:7,Re 13:7,Re 13:14,Re 13:15,Re 16:8,Re 19:8,Re 20:4
ἔδωκάς	δίδωμι	aor	actv	indicative	2p	—	—	sg	verb	Lk 19:23,Jn 17:6,Jn 17:8
