Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
παραδιδῷ	παραδίδωμι	pres	actv	subjunctive	3p	—	—	sg	verb	1 Co 15:24
παραδιδούς	παραδίδωμι	pres	actv	participle	—	mas	nom	sg	verb	Mt 26:46,Mk 14:42,Jn 21:20
παραδώσει	παραδίδωμι	futr	actv	indicative	3p	—	—	sg	verb	Mt 26:21,Mt 26:23,Mk 13:12,Mk 14:18,Lk 12:58,Jn 13:21
παρέδωκάν	παραδίδωμι	aor	actv	indicative	3p	—	—	pl	verb	Jn 18:35
παραδοθείσης	παραδίδωμι	aor	pass	participle	—	fem	gen	sg	verb	2 Pe 2:21
παρεδόθη	παραδίδωμι	aor	pass	indicative	3p	—	—	sg	verb	Mt 4:12,Mt 11:27,Lk 10:22,Ro 4:25
παραδεδωκόσιν	παραδίδωμι	perfect	actv	participle	—	mas	dat	pl	verb	Ac 15:26
παραδοῖ	παραδίδωμι	aor	actv	subjunctive	3p	—	—	sg	verb	Mk 14:10,Mk 14:11,Jn 13:2,Mk 4:29
Παραδώσει	παραδίδωμι	futr	actv	indicative	3p	—	—	sg	verb	Mt 10:21
παρεδίδετο	παραδίδωμι	impft	pass	indicative	3p	—	—	sg	verb	1 Co 11:23
παρεδόθην	παραδίδωμι	aor	pass	indicative	1p	—	—	sg	verb	Ac 28:17
παραδοθῆναι	παραδίδωμι	aor	pass	infinitive	—	—	—	—	verb	Mk 1:14,Lk 24:7
παραδοθῶ	παραδίδωμι	aor	pass	subjunctive	1p	—	—	sg	verb	Jn 18:36
παραδιδόντες	παραδίδωμι	pres	actv	participle	—	mas	nom	pl	verb	Mk 13:11,Lk 21:12
παραδῶσιν	παραδίδωμι	aor	actv	subjunctive	3p	—	—	pl	verb	Mt 10:19
παραδοθεὶς	παραδίδωμι	aor	pass	participle	—	mas	nom	sg	verb	Ac 15:40
παραδῷ	παραδίδωμι	aor	actv	subjunctive	3p	—	—	sg	verb	Mt 5:25,Mt 26:16,Lk 22:4
παραδώσων	παραδίδωμι	futr	actv	participle	—	mas	nom	sg	verb	Jn 6:64
παραδοθείσῃ	παραδίδωμι	aor	pass	participle	—	fem	dat	sg	verb	Jud 3
παραδεδομένοι	παραδίδωμι	perfect	pass	participle	—	mas	nom	pl	verb	Ac 14:26
παρέδωκας	παραδίδωμι	aor	actv	indicative	2p	—	—	sg	verb	Mt 25:20,Mt 25:22
παρέδοσαν	παραδίδωμι	aor	actv	indicative	3p	—	—	pl	verb	Lk 1:2
παραδοῦναι	παραδίδωμι	aor	actv	infinitive	—	—	—	—	verb	Lk 20:20,Lk 22:6,1 Co 5:5
παρεδίδουν	παραδίδωμι	impft	actv	indicative	3p	—	—	pl	verb	Ac 27:1
παρεδώκατε	παραδίδωμι	aor	actv	indicative	2p	—	—	pl	verb	Mk 7:13,Ac 3:13
παραδιδόντα	παραδίδωμι	pres	actv	participle	—	mas	acc	sg	verb	Jn 13:11
παρεδίδου	παραδίδωμι	impft	actv	indicative	3p	—	—	sg	verb	Ac 8:3,1 Pe 2:23
