Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
σταθῆναι	ἵστημι	aor	pass	infinitive	—	—	—	—	verb	Mk 3:24,Mk 3:25,Lk 21:36,Re 6:17
ἑστώτων	ἵστημι	perfect	actv	participle	—	mas	gen	pl	verb	Mt 16:28
σταθεὶς	ἵστημι	aor	pass	participle	—	mas	nom	sg	verb	Lk 18:11,Lk 18:40,Lk 19:8,Ac 27:21
ἑστάναι	ἵστημι	perfect	actv	infinitive	—	—	—	—	verb	Lk 13:25,Ac 12:14,1 Co 10:12
ἕστηκας	ἵστημι	perfect	actv	indicative	2p	—	—	sg	verb	Ac 7:33,Ro 11:20
ἑστῶτα	ἵστημι	perfect	actv	participle	—	neu	acc	pl	verb	Lk 5:2
ἑστηκότα	ἵστημι	perfect	actv	participle	—	mas	acc	sg	verb	Mk 13:14
στῆσαι	ἵστημι	aor	actv	infinitive	—	—	—	—	verb	Ro 10:3,Ro 14:4,Jud 24
Σταθεὶς	ἵστημι	aor	pass	participle	—	mas	nom	sg	verb	Ac 2:14,Ac 17:22
ἑστήκασιν	ἵστημι	perfect	actv	indicative	3p	—	—	pl	verb	Mt 12:47,Lk 8:20,Re 8:2
σταθέντα	ἵστημι	aor	pass	participle	—	mas	acc	sg	verb	Ac 11:13
ἕστηκα	ἵστημι	perfect	actv	indicative	1p	—	—	sg	verb	Ac 26:6,Ac 26:22,Re 3:20
στῆτε	ἵστημι	aor	actv	imperative	2p	—	—	pl	verb	Eph 6:14
ἑστῶτος	ἵστημι	perfect	actv	participle	—	mas	gen	sg	verb	Re 10:8
ἑστῶτες	ἵστημι	perfect	actv	participle	—	mas	nom	pl	verb	Mt 6:5,Mt 26:73,Ac 5:25,Re 7:9,Re 11:4
στάντος	ἵστημι	aor	actv	participle	—	mas	gen	sg	verb	Ac 24:20
στήσητε	ἵστημι	aor	actv	subjunctive	2p	—	—	pl	verb	Mk 7:9
σταθῇ	ἵστημι	aor	pass	subjunctive	3p	—	—	sg	verb	Mt 18:16
σταθέντες	ἵστημι	aor	pass	participle	—	mas	nom	pl	verb	Ac 5:20,Ac 25:18
ἐστάθησαν	ἵστημι	aor	pass	indicative	3p	—	—	pl	verb	Lk 24:17
εἱστήκει	ἵστημι	pluperfect	actv	indicative	3p	—	—	sg	verb	Mt 13:2,Lk 23:35,Jn 1:35,Jn 7:37,Jn 18:5,Jn 18:16,Jn 20:11
στῆτε	ἵστημι	aor	actv	imperative, subjunctive	2p	—	—	pl	verb	1 Pe 5:12
ἐστάθη	ἵστημι	aor	pass	indicative	3p	—	—	sg	verb	Mt 2:9,Mt 27:11,Re 8:3,Re 12:18
στῆθι	ἵστημι	aor	actv	imperative	2p	—	—	sg	verb	Lk 6:8,Ac 26:16,Jas 2:3
ἑστηκότων	ἵστημι	perfect	actv	participle	—	mas	gen	pl	verb	Mt 27:47,Mk 9:1,Mk 11:5,Lk 9:27
ἔστηκεν	ἵστημι	imperfect, perfect	actv	indicative	3p	—	—	sg	verb	Jn 8:44
στήσει	ἵστημι	futr	actv	indicative	3p	—	—	sg	verb	Mt 25:33
ἑστηκὼς	ἵστημι	perfect	actv	participle	—	mas	nom	sg	verb	Jn 3:29,Jn 6:22
στήσαντες	ἵστημι	aor	actv	participle	—	mas	nom	pl	verb	Jn 8:3,Ac 4:7
ἑστηκότες	ἵστημι	perfect	actv	participle	—	mas	nom	pl	verb	Jn 11:56,Re 18:10
ἑστήκαμεν	ἵστημι	perfect	actv	indicative	1p	—	—	pl	verb	Ro 5:2
στήσῃς	ἵστημι	aor	actv	subjunctive	2p	—	—	sg	verb	Ac 7:60
ἑστῶτας	ἵστημι	perfect	actv	participle	—	mas	acc	pl	verb	Mt 20:3,Mt 20:6,Ac 5:23,Re 7:1,Re 15:2,Re 20:12
ἔστησάν	ἵστημι	aor	actv	indicative	3p	—	—	pl	verb	Ac 6:13
ἑστὼς	ἵστημι	perfect	actv	participle	—	mas	nom	sg	verb	Lk 1:11,Lk 5:1,Lk 18:13,Jn 12:29,Jn 18:18,Jn 18:25,Ac 16:9,Ac 21:40,Ac 24:21
ἔστησεν	ἵστημι	aor	actv	indicative	3p	—	—	sg	verb	Mt 4:5,Mt 18:2,Mk 9:36,Lk 4:9,Lk 9:47,Ac 17:31,Ac 22:30
ἱστάνομεν	ἵστημι	pres	actv	indicative	1p	—	—	pl	verb	Ro 3:31
ἔστη	ἵστημι	aor	actv	indicative	3p	—	—	sg	verb	Lk 6:8,Lk 6:17,Lk 8:44,Lk 24:36,Jn 20:19,Jn 20:26,Jn 21:4,Ac 3:8,Ac 10:30
ἑστηκὸς	ἵστημι	perfect	actv	participle	—	neu	nom	sg	verb	Re 5:6
εἱστήκεισαν	ἵστημι	pluperfect	actv	indicative	3p	—	—	pl	verb	Mt 12:46,Lk 23:10,Jn 18:18,Ac 9:7,Re 7:11
ἔστησαν	ἵστημι	aor	actv	indicative	3p	—	—	pl	verb	Mt 26:15,Lk 7:14,Lk 17:12,Ac 5:27,Ac 6:6,Re 11:11,Re 18:17,Ac 1:23
Εἱστήκεισαν	ἵστημι	pluperfect	actv	indicative	3p	—	—	pl	verb	Lk 23:49,Jn 19:25
στὰς	ἵστημι	aor	actv	participle	—	mas	nom	sg	verb	Mt 20:32,Mk 10:49
στῆναι	ἵστημι	aor	actv	infinitive	—	—	—	—	verb	Mk 3:26,Ac 8:38,Eph 6:11,Eph 6:13
στήσονται	ἵστημι	futr	mid	indicative	3p	—	—	pl	verb	Re 18:15
ἕστηκεν	ἵστημι	perfect, imperfect	actv	indicative	3p	—	—	sg	verb	Jn 1:26,2 Ti 2:19,Heb 10:11,Jas 5:9,Re 12:4,1 Co 7:37
σταθῆτε	ἵστημι	aor	pass	subjunctive	2p	—	—	pl	verb	Col 4:12
ἑστώς	ἵστημι	perfect	actv	participle	—	mas	nom	sg	verb	Ac 25:10
ἑστὸς	ἵστημι	perfect	actv	participle	—	neu	acc	sg	verb	Mt 24:15
ἑστήκατε	ἵστημι	perfect	actv	indicative	2p	—	—	pl	verb	Mt 20:6,Ac 1:11,1 Co 15:1,2 Co 1:24
ἑστὸς	ἵστημι	perfect	actv	participle	—	neu	nominative, accusative	sg	verb	Re 14:1
στήσῃ	ἵστημι	aor	actv	subjunctive	3p	—	—	sg	verb	Heb 10:9
στᾶσα	ἵστημι	aor	actv	participle	—	fem	nom	sg	verb	Lk 7:38
σταθήσεσθε	ἵστημι	futr	pass	indicative	2p	—	—	pl	verb	Mk 13:9
σταθήσεται	ἵστημι	futr	pass	indicative	3p	—	—	sg	verb	Mt 12:25,Mt 12:26,Lk 11:18,Ro 14:4,2 Co 13:1
ἑστῶτα	ἵστημι	perfect	actv	participle	—	mas	acc	sg	verb	Jn 20:14,Ac 4:14,Ac 7:55,Ac 7:56,Ac 22:25,Re 10:5,Re 19:17
