Result	Lemma	Gender	Case	Number	Part of Speech	Reference
δεξιόν	δεξιός	neu	acc	sg	adjective	Lk 22:50,Jn 18:10
δεξιᾷ	δεξιός	fem	dat	sg	adjective	Mt 27:29,Ac 2:33,Ac 5:31,Ro 8:34,Eph 1:20,Col 3:1,Heb 1:3,Heb 8:1,Heb 10:12,Heb 12:2,1 Pe 3:22,Re 2:1,Re 1:16
δεξιὰν	δεξιός	fem	acc	sg	adjective	Mt 5:39,Re 1:17,Re 5:1,Re 10:5
δεξιοῖς	δεξιός	neu	dat	pl	adjective	Mk 16:5
δεξιᾶς	δεξιός	fem	gen	sg	adjective	Ac 3:7,Re 1:20,Re 5:7,Re 13:16
δεξιὸν	δεξιός	mas	acc	sg	adjective	Re 10:2
δεξιά	δεξιός	fem	nom	sg	adjective	Mt 5:30,Mt 6:3
δεξιὸς	δεξιός	mas	nom	sg	adjective	Mt 5:29
δεξιὰς	δεξιός	fem	acc	pl	adjective	Ga 2:9
δεξιὰ	δεξιός	fem	nom	sg	adjective	Lk 6:6
δεξιῶν	δεξιός	neuter, masculine	gen	pl	adjective	Mt 20:21,Mt 20:23,Mt 22:44,Mt 25:33,Mt 25:34,Mt 26:64,Mt 27:38,Mk 10:40,Mk 12:36,Mk 14:62,Mk 15:27,Mk 16:19,Lk 1:11,Lk 20:42,Lk 22:69,Lk 23:33,Ac 2:25,Ac 2:34,Ac 7:55,Ac 7:56,2 Co 6:7,Heb 1:13,Mk 10:37
δεξιὰ	δεξιός	neu	acc	pl	adjective	Jn 21:6
