Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
ἀπολλύμενοι	ἀπόλλυμι	pres	either middle or passive	participle	—	mas	nom	pl	verb	2 Co 4:9
ἀπολέσας	ἀπόλλυμι	aor	actv	participle	—	mas	nom	sg	verb	Lk 9:25,Lk 15:4,Mt 10:39
ἀπολέσητε	ἀπόλλυμι	aor	actv	subjunctive	2p	—	—	pl	verb	2 Jn 8
ἀπόλλυται	ἀπόλλυμι	pres	pass	indicative	3p	—	—	sg	verb	Mk 2:22,1 Co 8:11
ἀπολέσαι	ἀπόλλυμι	aor	actv	infinitive	—	—	—	—	verb	Mt 2:13,Mt 10:28,Mk 1:24,Lk 4:34,Lk 6:9,Lk 19:47,Jas 4:12
ἀπώλετο	ἀπόλλυμι	aor	mid	indicative	3p	—	—	sg	verb	Jn 17:12,Ac 5:37,Jas 1:11,2 Pe 3:6,Re 18:14
ἀπόληται	ἀπόλλυμι	aor	mid	subjunctive	3p	—	—	sg	verb	Mt 5:29,Mt 5:30,Mt 18:14,Lk 21:18,Jn 3:16,Jn 6:12,Jn 11:50
ἀπολέσω	ἀπόλλυμι	aor	actv	subjunctive	1p	—	—	sg	verb	Jn 6:39
ἀπόλλυνται	ἀπόλλυμι	pres	pass	indicative	3p	—	—	pl	verb	Mt 9:17
ἀπώλοντο	ἀπόλλυμι	aor	mid	indicative	3p	—	—	pl	verb	1 Co 10:10,1 Co 15:18,Jud 11
ἀπολέσθαι	ἀπόλλυμι	aor	mid	infinitive	—	—	—	—	verb	Lk 13:33,2 Pe 3:9
ἀπώλλυντο	ἀπόλλυμι	impft	passive, middle	indicative	3p	—	—	pl	verb	1 Co 10:9
ἀπολωλὸς	ἀπόλλυμι	perfect	actv	participle	—	neu	acc	sg	verb	Lk 15:4
ἀπώλεσα	ἀπόλλυμι	aor	actv	indicative	1p	—	—	sg	verb	Lk 15:9,Jn 18:9
ἀπολλυμένοις	ἀπόλλυμι	pres	either middle or passive	participle	—	mas	dat	pl	verb	1 Co 1:18,2 Co 2:15,2 Co 4:3,2 Th 2:10
ἀπόλωνται	ἀπόλλυμι	aor	mid	subjunctive	3p	—	—	pl	verb	Jn 10:28
ἀπολωλὼς	ἀπόλλυμι	perfect	actv	participle	—	mas	nom	sg	verb	Lk 15:24,Lk 15:32
ἀπολεῖται	ἀπόλλυμι	futr	mid	indicative	3p	—	—	sg	verb	Ac 27:34
ἀπόλλυε	ἀπόλλυμι	pres	actv	imperative	2p	—	—	sg	verb	Ro 14:15
ἀπολλυμένην	ἀπόλλυμι	pres	mid	participle	—	fem	acc	sg	verb	Jn 6:27
ἀπολεῖσθε	ἀπόλλυμι	futr	mid	indicative	2p	—	—	pl	verb	Lk 13:3,Lk 13:5
ἀπολοῦνται	ἀπόλλυμι	futr	mid	indicative	3p	—	—	pl	verb	Mt 26:52,Lk 5:37,Ro 2:12,Heb 1:11
ἀπολέσει	ἀπόλλυμι	futr	actv	indicative	3p	—	—	sg	verb	Mt 21:41,Mk 12:9,Lk 17:33,Lk 20:16,Mt 10:39,Mt 16:25,Mk 8:35,Mk 8:35,Lk 9:24
ἀπώλεσεν	ἀπόλλυμι	aor	actv	indicative	3p	—	—	sg	verb	Mt 22:7,Lk 17:27,Lk 17:29,Jud 5
ἀπολέσωσιν	ἀπόλλυμι	aor	actv	subjunctive	3p	—	—	pl	verb	Mt 12:14,Mt 27:20,Mk 3:6,Mk 11:18
ἀπολομένου	ἀπόλλυμι	aor	mid	participle	—	mas	gen	sg	verb	Lk 11:51
ἀπολωλός	ἀπόλλυμι	perfect	actv	participle	—	neu	acc	sg	verb	Lk 15:6,Lk 19:10
ἀπολλύμεθα	ἀπόλλυμι	pres	mid	indicative	1p	—	—	pl	verb	Mt 8:25,Mk 4:38,Lk 8:24
ἀπολῶ	ἀπόλλυμι	futr	actv	indicative	1p	—	—	sg	verb	1 Co 1:19
ἀπολωλότα	ἀπόλλυμι	perfect	actv	participle	—	neu	acc	pl	verb	Mt 10:6,Mt 15:24
ἀπολλυμένου	ἀπόλλυμι	pres	mid	participle	—	neu	gen	sg	verb	1 Pe 1:7
ἀπολλύει	ἀπόλλυμι	pres	actv	indicative	3p	—	—	sg	verb	Jn 12:25
ἀπολέσῃ	ἀπόλλυμι	aor	actv	subjunctive	3p	—	—	sg	verb	Mt 10:42,Mk 9:22,Mk 9:41,Lk 15:8,Lk 17:33,Jn 10:10,Mt 16:25,Lk 9:24
ἀπόλλυμαι	ἀπόλλυμι	pres	mid	indicative	1p	—	—	sg	verb	Lk 15:17
