Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
ἀφῆκεν	ἀφίημι	aor	actv	indicative	3p	—	—	sg	verb	Mt 8:15,Mt 18:27,Mt 19:29,Mt 22:25,Mt 27:50,Mk 1:31,Mk 5:19,Mk 5:37,Mk 10:29,Mk 12:20,Lk 4:39,Lk 8:51,Lk 12:39,Lk 18:29,Jn 4:3,Jn 4:28,Jn 4:52,Ac 14:17,Heb 2:8
ἀφέντες	ἀφίημι	aor	actv	participle	—	mas	nom	pl	verb	Mt 4:20,Mt 4:22,Mt 22:22,Mt 26:56,Mk 1:18,Mk 1:20,Mk 4:36,Mk 7:8,Mk 12:12,Mk 14:50,Lk 5:11,Lk 10:30,Lk 18:28,Ro 1:27,Heb 6:1
ἀφήσεις	ἀφίημι	futr	actv	indicative	2p	—	—	sg	verb	Lk 17:4
ἀφῆκαν	ἀφίημι	aor	actv	indicative	3p	—	—	pl	verb	Mk 11:6,Mk 12:22
ἀφίημι	ἀφίημι	pres	actv	indicative	1p	—	—	sg	verb	Jn 14:27,Jn 16:28
ἀφῶμεν	ἀφίημι	aor	actv	subjunctive	1p	—	—	pl	verb	Jn 11:48
ἀφέωνταί	ἀφίημι	perfect	pass	indicative	3p	—	—	pl	verb	Lk 5:20,Lk 5:23,Lk 7:48
ἀφίεται	ἀφίημι	pres	pass	indicative	3p	—	—	sg	verb	Mt 23:38,Mt 24:40,Mt 24:41,Lk 7:47,Lk 13:35
ἀφίησιν	ἀφίημι	pres	actv	indicative	3p	—	—	sg	verb	Mt 3:15,Mt 4:11,Lk 7:49,Jn 10:12
ἀφῇ	ἀφίημι	aor	actv	subjunctive	3p	—	—	sg	verb	Mk 11:25,Mk 12:19,1 Jn 1:9
ἄφετε	ἀφίημι	aor	actv	imperative	2p	—	—	pl	verb	Mt 13:30,Mt 15:14,Mt 19:14,Mk 10:14,Mk 14:6,Mk 15:36,Lk 18:16,Jn 11:44,Jn 18:8,Ac 5:38
ἀφέωνται	ἀφίημι	perfect	pass	indicative	3p	—	—	pl	verb	Lk 7:47,Jn 20:23,1 Jn 2:12
ἀφήσει	ἀφίημι	futr	actv	indicative	3p	—	—	sg	verb	Mt 6:14,Mt 6:15,Mt 18:12
ἀφῆτε	ἀφίημι	aor	actv	subjunctive	2p	—	—	pl	verb	Mt 6:14,Mt 6:15,Mt 18:35,Jn 16:32,Jn 20:23
ἀφίετε	ἀφίημι	pres	actv	indicative	2p	—	—	pl	verb	Mt 23:13,Mk 7:12
ἀφῆκέν	ἀφίημι	aor	actv	indicative	3p	—	—	sg	verb	Jn 8:29
ἀφῆκες	ἀφίημι	aor	actv	indicative	2p	—	—	sg	verb	Re 2:4
ἀφεθήσεται	ἀφίημι	futr	pass	indicative	3p	—	—	sg	verb	Mt 12:31,Mt 12:31,Mt 12:32,Mt 12:32,Mk 3:28,Lk 12:10,Lk 12:10,Lk 17:34,Lk 17:35,Lk 21:6,Jas 5:15
ἀφιέτω	ἀφίημι	pres	actv	imperative	3p	—	—	sg	verb	1 Co 7:12,1 Co 7:13
ἀφίετε	ἀφίημι	pres	actv	imperative	2p	—	—	pl	verb	Mk 11:25
ἀφεθῇ	ἀφίημι	aor	pass	subjunctive	3p	—	—	sg	verb	Mt 24:2,Mk 4:12,Mk 13:2
ἄφες	ἀφίημι	aor	actv	imperative	2p	—	—	sg	verb	Mt 3:15,Mt 5:24,Mt 5:40,Mt 6:12,Mt 7:4,Mt 8:22,Mt 27:49,Mk 7:27,Lk 6:42,Lk 9:60,Lk 11:4,Lk 13:8,Lk 17:3,Lk 23:34,Jn 12:7
ἀφέθησαν	ἀφίημι	aor	pass	indicative	3p	—	—	pl	verb	Ro 4:7
ἀφήκατε	ἀφίημι	aor	actv	indicative	2p	—	—	pl	verb	Mt 23:23
ἀφεῖς	ἀφίημι	pres	actv	indicative	2p	—	—	sg	verb	Re 2:20
ἀφῆκά	ἀφίημι	aor	actv	indicative	1p	—	—	sg	verb	Mt 18:32
ἀφίομεν	ἀφίημι	pres	actv	indicative	1p	—	—	pl	verb	Lk 11:4
ἀφίουσιν	ἀφίημι	pres	actv	indicative	3p	—	—	pl	verb	Re 11:9
ἤφιεν	ἀφίημι	impft	actv	indicative	3p	—	—	sg	verb	Mk 1:34,Mk 11:16
ἀφεὶς	ἀφίημι	aor	actv	participle	—	mas	nom	sg	verb	Mt 13:36,Mt 26:44,Mk 8:13,Mk 13:34,Mk 15:37
ἀφήκαμεν	ἀφίημι	aor	actv	indicative	1p	—	—	plural, singular	verb	Mt 6:12,Mt 19:27,Mk 10:28
ἀφίενταί	ἀφίημι	pres	pass	indicative	3p	—	—	pl	verb	Mt 9:2,Mt 9:5,Mk 2:5,Mk 2:9
ἀφήσω	ἀφίημι	futr	actv	indicative	1p	—	—	sg	verb	Mt 18:21,Jn 14:18
ἀφεθήσεταί	ἀφίημι	futr	pass	indicative	3p	—	—	sg	verb	Ac 8:22
ἀφιέναι	ἀφίημι	pres	actv	infinitive	—	—	—	—	verb	Mt 9:6,Mt 23:23,Mk 2:7,Mk 2:10,Lk 5:24,1 Co 7:11
ἀφήσουσιν	ἀφίημι	futr	actv	indicative	3p	—	—	pl	verb	Lk 19:44
ἀφεῖναι	ἀφίημι	aor	active, passive	infinitive	—	—	—	—	verb	Lk 5:21
