Result	Lemma	Gender	Case	Number	Part of Speech	Reference
μακάριος	μακάριος	mas	nom	sg	adjective	Mt 16:17,Mt 24:46,Lk 12:43,Lk 14:14,Lk 14:15,Ro 4:8,Ro 14:22,1 Ti 6:15,Jas 1:25,Re 16:15,Re 20:6,Re 22:7
μακαρία	μακάριος	fem	nom	sg	adjective	Lk 1:45,Lk 11:27
μακάριαι	μακάριος	fem	nom	pl	adjective	Lk 23:29
μακαρίου	μακάριος	mas	gen	sg	adjective	1 Ti 1:11
Μακάριος	μακάριος	mas	nom	sg	adjective	Jas 1:12,Re 1:3
Μακάριοι	μακάριος	mas	nom	pl	adjective	Mt 5:3,Lk 6:20,Re 22:14
μακάριός	μακάριος	mas	nom	sg	adjective	Mt 11:6,Lk 7:23
μακάριοί	μακάριος	mas	nom	pl	adjective	Mt 5:11,Lk 6:22,Lk 12:38,Jn 13:17
μακάριόν	μακάριος	neu	nom	sg	adjective	Ac 20:35
μακαρίαν	μακάριος	fem	acc	sg	adjective	Tt 2:13
μακαριωτέρα	μακάριος	fem	nom	sg	adjective	1 Co 7:40
μακάριοι	μακάριος	mas	nom	pl	adjective	Mt 5:4,Mt 5:5,Mt 5:6,Mt 5:7,Mt 5:8,Mt 5:9,Mt 5:10,Mt 13:16,Lk 6:21,Lk 6:21,Lk 10:23,Lk 11:28,Lk 12:37,Jn 20:29,Ro 4:7,1 Pe 3:14,1 Pe 4:14,Re 14:13,Re 19:9
μακάριον	μακάριος	mas	acc	sg	adjective	Ac 26:2
