Result	Lemma	Gender	Case	Number	Part of Speech	Reference
πολλούς	πολύς	mas	acc	pl	adjective	Mt 8:16,Mt 24:11,Ac 10:27,Ac 26:10
Πολλῆς	πολύς	fem	gen	sg	adjective	Ac 15:7,Ac 23:10,Ac 27:21
πολλά	πολύς	neu	acc	pl	adjective	Mt 9:14,Mt 19:22,Mk 5:38,Mk 6:34,Mk 10:22,Mk 12:41,Mk 15:3,Lk 10:41,Lk 12:19,2 Ti 4:14
πολλά	πολύς	neu	nom	pl	adjective	Mk 7:4,Ac 2:43,Ac 26:24,1 Co 12:14,Re 8:3,Re 19:12
πλεῖσται	πολύς	fem	nom	pl	adjective	Mt 11:20
πολλὰ	πολύς	neu	nom	pl	adjective	Mt 27:52,Lk 8:30,Jn 3:23,Jn 21:25,Ac 5:12,1 Co 12:12,1 Co 12:20,Ga 4:27
πολλοῦ	πολύς	neu	gen	sg	adjective	Mt 26:9,Ac 22:28
πλειόνων	πολύς	masculine, neuter	gen	pl	adjective	2 Co 4:15
πολὺς	πολύς	mas	nom	sg	adjective	Mt 5:12,Mt 26:47,Mk 5:21,Mk 5:24,Mk 12:37,Lk 5:29,Lk 6:17,Lk 6:23,Jn 6:5,Jn 6:10,Jn 7:12,Jn 12:9,Jn 12:12,Ac 18:10,Heb 5:11
Πολλὰ	πολύς	neu	acc	pl	adjective	Lk 3:18,Jn 20:30,2 Jn 12,3 Jn 13
πολύ	πολύς	neu	nom	sg	adjective	Ac 17:4
πλείους	πολύς	fem	acc	pl	adjective	Ac 13:31,Ac 21:10,Ac 25:6,Ac 25:14
πλειόνων	πολύς	mas	gen	pl	adjective	2 Co 2:6
πολλὰ	πολύς	neu	acc	pl	adjective	Mt 13:3,Mt 16:21,Mt 27:19,Mk 1:34,Mk 1:45,Mk 3:12,Mk 4:2,Mk 5:10,Mk 5:23,Mk 5:26,Mk 5:43,Mk 6:13,Mk 6:20,Mk 6:23,Mk 7:13,Mk 8:31,Mk 9:12,Lk 9:22,Lk 12:19,Lk 17:25,Lk 22:65,Jn 8:26,Jn 10:32,Jn 11:47,Jn 14:30,Jn 16:12,Ac 25:7,Ac 26:9,Ro 12:4,Ro 15:22,Ro 16:6,Ro 16:12,1 Co 12:12,1 Co 16:12,1 Co 16:19,Jas 3:2
πλείονος	πολύς	fem	gen	sg	adjective	Heb 3:3
πλεῖον	πολύς	neu	nom	sg	adjective	Mt 12:41,Mt 12:42,Lk 9:13,Lk 11:31,Lk 11:32
πλεῖόν	πολύς	neu	acc	sg	adjective	Ac 24:4
πολλῶν	πολύς	fem	gen	pl	adjective	Lk 2:35,Ac 14:22,2 Co 9:12
πολύ	πολύς	neu	acc	sg	adjective	Lk 5:6,Lk 7:47,Lk 12:48,Re 5:4
πλειόνων	πολύς	neu	gen	pl	adjective	Lk 11:53,Ac 4:22,Ac 24:17
Πολλοὶ	πολύς	mas	nom	pl	adjective	Jn 6:60,Jn 11:45
πολὺ	πολύς	neu	acc	sg	adjective	Mk 12:27,Ac 14:1,Ac 18:27,Ac 27:14,Ac 28:6,2 Co 8:15,2 Co 8:22,Heb 12:9,Heb 12:25,Jas 5:16,1 Pe 1:3
πολύς	πολύς	mas	nom	sg	adjective	Mt 2:18,Mt 9:37,Mt 20:29,Lk 6:35,Lk 7:11,Lk 9:37,Lk 10:2,Jn 6:2,Ac 6:7,Ac 11:21,Re 7:9
πλείοσιν	πολύς	mas	dat	pl	adjective	Ac 2:40,1 Co 10:5
πλείονα	πολύς	neu	acc	pl	adjective	Jn 7:31,Re 2:19
πολλῷ	πολύς	neuter, masculine	dat	sg	adjective	Jn 4:41,Ro 5:9,Ro 5:10,Ro 5:15,Ro 5:17,2 Co 3:9,2 Co 3:11
πολλῇ	πολύς	fem	dat	sg	adjective	Ro 9:22,2 Co 3:12,2 Co 6:4,2 Co 8:2,2 Co 8:22,1 Th 1:5,1 Th 1:6,1 Th 2:17
πολλοὺς	πολύς	mas	acc	pl	adjective	Mt 3:7,Mt 14:24,Mt 15:30,Mt 24:5,Mk 1:34,Mk 3:10,Mk 6:13,Mk 9:26,Mk 12:5,Mk 13:6,Lk 1:16,Lk 7:21,Lk 14:16,Ro 5:15,1 Co 4:15,2 Co 6:10,2 Co 12:21,Ga 1:14,Heb 2:10
πολλοῖς	πολύς	mas	dat	pl	adjective	Mt 27:53,Lk 7:21,Lk 8:29,Ro 8:29,Re 10:11
πολλήν	πολύς	fem	acc	sg	adjective	Mt 13:5,Mk 4:5
πολὺν	πολύς	mas	acc	sg	adjective	Mt 14:14,Mt 25:19,Mk 6:34,Mk 9:14,Jn 5:6,Jn 12:24,Jn 15:8,Col 4:13
πολλοῖς	πολύς	neu	dat	pl	adjective	Ac 1:3,2 Co 8:22
πλεῖόν	πολύς	neu	nom	sg	adjective	Mt 6:25,Lk 12:23
πολύ	πολύς	neu	nominative, accusative	sg	adjective	Lk 12:48
πλείονας	πολύς	feminine, masculine	acc	pl	adjective	Ac 27:20
πολλῶν	πολύς	neu	gen	pl	adjective	Mt 10:31,Mt 25:21,Mt 25:23,Lk 12:7,Ac 24:10,Ro 4:17,Ro 4:18,Ro 5:16,Ro 15:23,2 Co 1:11,2 Co 1:11,2 Co 2:4,Ga 3:16,Re 1:15,Re 14:2,Re 17:1,Re 19:6
πολλῷ	πολύς	neu	dat	sg	adjective	Mt 6:30,Mk 10:48,Lk 16:10,Lk 16:10,Lk 18:39,1 Co 12:22,Php 1:23,Php 2:12
πολύν	πολύς	mas	acc	sg	adjective	Jn 15:5
πλείονα	πολύς	fem	acc	sg	adjective	Heb 3:3,Heb 11:4
πολλαί	πολύς	fem	nom	pl	adjective	Lk 7:47,Lk 8:3,Jn 14:2
πλείονές	πολύς	mas	nom	pl	adjective	Heb 7:23
πλείονες	πολύς	mas	nom	pl	adjective	Ac 27:12,Ac 28:23,1 Co 15:6
πολλοὶ	πολύς	mas	nom	pl	adjective	Mt 4:25,Mt 7:22,Mt 8:11,Mt 9:10,Mt 13:17,Mt 15:30,Mt 19:30,Mt 22:14,Mt 24:5,Mt 24:10,Mt 24:11,Mk 2:2,Mk 2:15,Mk 2:15,Mk 6:2,Mk 6:33,Mk 10:31,Mk 10:48,Mk 11:8,Mk 12:41,Mk 13:6,Mk 14:56,Lk 1:1,Lk 1:14,Lk 4:27,Lk 5:15,Lk 10:24,Lk 21:8,Jn 2:23,Jn 4:39,Jn 6:66,Jn 7:31,Jn 8:30,Jn 10:20,Jn 10:41,Jn 10:42,Jn 11:19,Jn 11:55,Jn 12:11,Jn 12:42,Jn 19:20,Ac 4:4,Ac 8:7,Ac 8:7,Ac 9:42,Ac 13:43,Ac 17:12,Ac 18:8,Ro 5:15,Ro 12:5,1 Co 1:26,1 Co 1:26,1 Co 1:26,1 Co 8:5,1 Co 11:30,2 Co 2:17,2 Co 11:18,Php 3:18,Tt 1:10,Jas 3:1,2 Pe 2:2,1 Jn 2:18,1 Jn 4:1,2 Jn 7,Re 8:11
πολλῆς	πολύς	fem	gen	sg	adjective	Mt 24:30,Mk 6:35,Mk 13:26,Lk 21:27,Ac 21:40,Ac 24:2,Ac 25:23,Ac 27:10,2 Co 2:4,2 Co 8:4
πολλὰ	πολύς	neu	accusative, nominative	pl	adjective	Mk 9:26
Πολλοί	πολύς	mas	nom	pl	adjective	Ac 19:18
πολλάς	πολύς	fem	acc	pl	adjective	Lk 12:47,Ac 8:25,Ac 16:23
πολλοῦ	πολύς	mas	gen	sg	adjective	Mk 8:1,Lk 8:4,Ac 15:32,Re 19:1,Re 19:6
πλεῖστος	πολύς	mas	nom	sg	adjective	Mt 21:8,Mk 4:1
πλείους	πολύς	mas	nom	pl	adjective	Jn 4:41,Ac 19:32,Ac 23:13,Ac 23:21
πλέον	πολύς	neu	acc	sg	adjective	Lk 3:13,Jn 21:15,Ac 15:28
πολλοί	πολύς	mas	nom	pl	adjective	Mt 7:13,Mt 8:1,Mt 12:15,Mt 13:2,Mt 19:2,Mk 5:9,Mk 6:31,Lk 13:24,Lk 14:25,Ro 5:19,Ro 5:19,1 Co 8:5,1 Co 10:17,1 Co 16:9,Heb 12:15
πλείονα	πολύς	mas	acc	sg	adjective	Jn 15:2,Ac 18:20
πολλῶν	πολύς	mas	gen	pl	adjective	Mt 8:30,Mt 20:28,Mt 24:12,Mt 26:28,Mt 26:60,Mk 5:26,Mk 10:45,Mk 14:24,Lk 2:34,Lk 4:41,Ac 9:13,Ac 15:35,Ro 16:2,1 Co 10:33,1 Ti 6:12,2 Ti 2:2,Heb 9:28,Re 5:11,Re 9:9
πλεῖστον	πολύς	neu	acc	sg	adjective	1 Co 14:27
πολλὴ	πολύς	fem	nom	sg	adjective	Ac 8:8
πολλῷ	πολύς	mas	dat	sg	adjective	Ac 20:2,1 Co 2:3,1 Th 2:2,1 Ti 3:8,Tt 2:3
πολλαῖς	πολύς	fem	dat	pl	adjective	Mk 4:33,Lk 2:36,Ac 28:10,1 Ti 6:10
πολὺ	πολύς	neu	nom	sg	adjective	Mk 3:7,Mk 3:8,Lk 6:17,Lk 12:48,Lk 23:27,Ro 3:2
πλείους	πολύς	fem	nom	pl	adjective	Ac 24:11
πολλὴν	πολύς	fem	acc	sg	adjective	Lk 10:40,Ac 16:16,Eph 2:4,1 Ti 3:13,Phm 7,Phm 8,Heb 10:32
πλείω	πολύς	neu	acc	pl	adjective	Mt 26:53
πλείονας	πολύς	mas	acc	pl	adjective	Mt 21:36,Jn 4:1,1 Co 9:19,2 Co 9:2,Php 1:14
πολλή	πολύς	fem	nom	sg	adjective	Mk 6:35,2 Co 7:4,2 Co 7:4
πλεῖον	πολύς	neu	acc	sg	adjective	Mt 5:20,Mt 20:10,Mk 12:43,Lk 7:42,Lk 7:43,Lk 21:3,Ac 4:17,Ac 20:9,2 Ti 2:16,2 Ti 3:9
πολλὰς	πολύς	fem	acc	pl	adjective	Mt 7:22,Mt 13:58,Lk 15:13,Jn 2:12,Ac 1:5,Ac 10:2,Ac 16:18,1 Ti 6:9
πολλαὶ	πολύς	fem	nom	pl	adjective	Mt 27:55,Mk 15:41,Lk 4:25
