Result	Lemma	Gender	Case	Number	Part of Speech	Reference
μόνοι	μόνος	mas	nom	pl	adjective	Jn 6:22,Php 4:15,Col 4:11,1 Th 3:1
μόνῳ	μόνος	mas	dat	sg	adjective	Mt 4:4,Mt 4:10,Lk 4:4,Lk 4:8,Ro 16:27,1 Ti 1:17,Jud 25
μόνου	μόνος	mas	gen	sg	adjective	Mt 18:15,Jn 5:44
μόνος	μόνος	mas	nom	sg	adjective	Mt 14:23,Mt 24:36,Mk 6:47,Lk 5:21,Lk 9:36,Lk 24:18,Jn 6:15,Jn 8:9,Jn 8:16,Jn 12:24,Jn 16:32,Ro 11:3,Ro 16:4,1 Co 9:6,1 Ti 6:15,1 Ti 6:16,2 Ti 4:11,Heb 9:7,2 Jn 1,Re 15:4
μόνοις	μόνος	mas	dat	pl	adjective	Mt 12:4
μόνους	μόνος	mas	acc	pl	adjective	Mk 9:2,Lk 6:4,1 Co 14:36
μόνα	μόνος	neu	acc	pl	adjective	Lk 24:12
μόνον	μόνος	mas	acc	sg	adjective, adverb	Jn 8:29,Jn 17:3
Μόνον	μόνος	—	—	—	adverb, adjective	Php 1:27
μόνον	μόνος	—	—	—	adjective, adverb	Jud 4
μόνας	μόνος	fem	acc	pl	adjective	Mk 4:10,Lk 9:18
μόνον	μόνος	—	—	—	adverb, adjective	Mt 5:47,Mt 8:8,Mt 9:21,Mt 14:36,Mt 17:8,Mt 21:19,Mt 21:21,Mk 5:36,Mk 6:8,Mk 9:8,Lk 8:50,Jn 5:18,Jn 11:52,Jn 12:9,Jn 13:9,Jn 16:32,Jn 17:20,Ac 8:16,Ac 11:19,Ac 18:25,Ac 19:26,Ac 19:27,Ac 21:13,Ac 26:29,Ac 27:10,Ro 1:32,Ro 3:29,Ro 4:12,Ro 4:16,Ro 4:23,Ro 5:3,Ro 5:11,Ro 8:23,Ro 9:10,Ro 9:24,Ro 13:5,1 Co 7:39,1 Co 15:19,2 Co 7:7,2 Co 8:10,2 Co 8:19,2 Co 8:21,2 Co 9:12,Ga 1:23,Ga 2:10,Ga 3:2,Ga 4:18,Ga 5:13,Ga 6:4,Ga 6:12,Eph 1:21,Php 2:12,Php 2:27,1 Th 1:5,1 Th 1:8,1 Th 2:8,2 Th 2:7,1 Ti 5:13,2 Ti 2:20,2 Ti 4:8,Heb 9:10,Heb 12:26,Jas 1:22,Jas 2:24,1 Pe 2:18,1 Jn 2:2,1 Jn 5:6
μόνον	μόνος	—	—	—	adverb	Mt 10:42,Php 1:29
μόνην	μόνος	fem	acc	sg	adjective	Lk 10:40
