Result	Lemma	Gender	Case	Number	Part of Speech	Reference
Οὐδεὶς	οὐδείς	mas	nom	sg	adjective	Mt 6:24,Mk 2:21,Lk 8:16,Lk 11:33,Lk 16:13,Eph 5:29
Οὐδὲν	οὐδείς	neu	nom	sg	adjective	Lk 12:2,Ro 8:1
οὐδενός	οὐδείς	mas	gen	sg	adjective	Mt 22:16,Mk 12:14
οὐδεμίαν	οὐδείς	fem	acc	sg	adjective	Mk 6:5,Lk 4:26,Jn 16:29,Jn 18:38,Jn 19:4,Jn 19:11,Ac 25:18,2 Co 7:5
οὐδὲν	οὐδείς	neu	nominative, accusative	sg	adjective	Lk 10:19
οὐδενὸς	οὐδείς	masculine, neuter	gen	sg	adjective	Ac 20:24
οὐδέν	οὐδείς	neu	nom	sg	adjective	Mt 23:16,Mt 23:18,Mk 7:15,Jn 8:54,Ac 21:24,Ac 25:11,1 Co 7:19,1 Co 7:19,2 Co 12:11
οὐδεμία	οὐδείς	fem	nom	sg	adjective	Ac 27:22,Php 4:15,1 Jn 1:5
οὐδείς	οὐδείς	mas	nom	sg	adjective	Mk 10:29,Lk 1:61,Lk 7:28,Lk 18:29,Jn 8:10,Jn 8:11,Ac 25:11,2 Ti 4:16
οὐδενὶ	οὐδείς	mas	dat	sg	adjective	Mt 8:10,Mk 16:8,Lk 9:36,Jn 8:33,Ac 4:12,Ac 8:16
οὐδενὸς	οὐδείς	mas	gen	sg	adjective	Lk 8:43,Ac 20:33,Ac 27:34,1 Co 2:15,Heb 6:13
οὐδέν	οὐδείς	neu	accusative, nominative	sg	adjective	Ga 2:6
οὐδὲν	οὐδείς	neu	acc	sg	adjective	Mt 5:13,Mt 13:34,Mt 21:19,Mt 26:62,Mt 27:12,Mt 27:24,Mk 7:12,Mk 11:13,Mk 14:60,Mk 15:5,Mk 16:8,Lk 4:2,Lk 5:5,Lk 9:36,Lk 18:34,Lk 23:4,Lk 23:9,Lk 23:22,Lk 23:41,Jn 5:19,Jn 7:26,Jn 16:24,Ac 4:14,Ac 9:8,Ac 17:21,Ac 20:20,Ac 23:9,Ac 25:10,Ac 26:22,Ac 26:31,Ac 28:5,Ac 28:17,1 Co 4:4,1 Co 13:3,2 Co 12:11,Ga 2:6,Ga 4:1,Ga 5:2,Ga 5:10,1 Ti 6:7,2 Ti 2:14,Phm 14,Heb 2:8,Heb 7:14,Heb 7:19,Re 3:17
οὐδὲν	οὐδείς	neu	nom	sg	adjective	Mt 10:26,Mt 17:20,Lk 23:15,Ac 18:17,Ro 14:14,1 Co 8:4,1 Co 14:10,1 Ti 4:4,Tt 1:15
οὐδένα	οὐδείς	mas	acc	sg	adjective	Mt 17:8,Mk 5:37,Mk 7:24,Mk 9:8,Jn 5:22,Jn 8:15,Jn 18:9,Jn 18:31,Ac 5:23,1 Co 1:14,2 Co 5:16,2 Co 7:2,2 Co 7:2,2 Co 7:2,Php 2:20,Jas 1:13
οὐδεὶς	οὐδείς	mas	nom	sg	adjective	Mt 9:16,Mt 11:27,Mt 20:7,Mt 22:46,Mt 24:36,Mk 2:22,Mk 3:27,Mk 5:3,Mk 5:4,Mk 9:39,Mk 10:18,Mk 11:2,Mk 12:34,Mk 13:32,Lk 4:24,Lk 4:27,Lk 5:36,Lk 5:37,Lk 5:39,Lk 9:62,Lk 10:22,Lk 14:24,Lk 15:16,Lk 18:19,Lk 19:30,Lk 23:53,Jn 1:18,Jn 3:2,Jn 3:13,Jn 3:32,Jn 4:27,Jn 6:44,Jn 6:65,Jn 7:4,Jn 7:13,Jn 7:19,Jn 7:27,Jn 7:30,Jn 7:44,Jn 8:20,Jn 9:4,Jn 10:18,Jn 10:29,Jn 13:28,Jn 14:6,Jn 15:13,Jn 15:24,Jn 16:5,Jn 16:22,Jn 17:12,Jn 19:41,Jn 21:12,Ac 5:13,Ac 18:10,Ro 14:7,Ro 14:7,1 Co 2:8,1 Co 2:11,1 Co 3:11,1 Co 6:5,1 Co 8:4,1 Co 9:15,1 Co 12:3,1 Co 12:3,1 Co 14:2,Ga 3:11,Ga 3:15,1 Ti 6:16,2 Ti 2:4,Heb 7:13,Heb 12:14,Jas 3:8,1 Jn 4:12,Re 2:17,Re 3:7,Re 3:7,Re 3:8,Re 5:3,Re 5:4,Re 7:9,Re 14:3,Re 15:8,Re 18:11,Re 19:12
οὐδενὶ	οὐδείς	neu	dat	sg	adjective	Mk 9:29,1 Co 9:15,Php 1:20
οὐδέν	οὐδείς	neu	acc	sg	adjective	Mk 14:61,Mk 15:4,Lk 20:40,Jn 5:30,Jn 6:63,Jn 8:28,Jn 9:33,Jn 10:41,Jn 11:49,Jn 12:19,Jn 14:30,Jn 15:5,Jn 16:23,Jn 18:20,Jn 21:3,Ac 5:36,Ga 4:12
