Result	Lemma	Gender	Case	Number	Part of Speech	Reference
ἐσχάτη	ἔσχατος	fem	nom	sg	adjective	Mt 27:64,1 Jn 2:18,1 Jn 2:18
ἔσχατον	ἔσχατος	mas	acc	sg	adjective	Mt 5:26,Mk 12:6,Lk 14:9,Lk 14:10
ἔσχατον	ἔσχατος	neu	acc	sg	adjective	Mk 12:22,Lk 12:59
ἐσχάτους	ἔσχατος	mas	acc	pl	adjective	1 Co 4:9
ἔσχατα	ἔσχατος	neu	acc	pl	adjective	Re 2:19
ἐσχάτων	ἔσχατος	mas	gen	pl	adjective	Mt 20:8
ἔσχατον	ἔσχατος	neuter, masculine	acc	sg	adjective	1 Co 15:8
ἔσχατος	ἔσχατος	mas	nom	sg	adjective	Mk 9:35,1 Co 15:26,1 Co 15:45,Re 1:17,Re 2:8,Re 22:13
ἐσχάτου	ἔσχατος	neu	gen	sg	adjective	Ac 13:47
ἐσχάτῳ	ἔσχατος	mas	dat	sg	adjective	Mt 20:14,1 Pe 1:5
ἔσχατα	ἔσχατος	neu	nom	pl	adjective	Mt 12:45,Lk 11:26,2 Pe 2:20
ἔσχατοι	ἔσχατος	mas	nom	pl	adjective	Mt 19:30,Mt 19:30,Mt 20:12,Mt 20:16,Mt 20:16,Mk 10:31,Mk 10:31,Lk 13:30,Lk 13:30
ἐσχάτῃ	ἔσχατος	fem	dat	sg	adjective	Jn 6:39,Jn 6:40,Jn 6:44,Jn 6:54,Jn 7:37,Jn 11:24,Jn 12:48,1 Co 15:52
ἐσχάτων	ἔσχατος	fem	gen	pl	adjective	2 Pe 3:3,Re 21:9
ἐσχάταις	ἔσχατος	fem	dat	pl	adjective	Ac 2:17,2 Ti 3:1,Jas 5:3
ἐσχάτου	ἔσχατος	mas	gen	sg	adjective	1 Pe 1:20,Jud 18
ἐσχάτου	ἔσχατος	neuter, masculine	gen	sg	adjective	Ac 1:8,Heb 1:2
ἐσχάτας	ἔσχατος	fem	acc	pl	adjective	Re 15:1
