Lemma	Gloss	Part	Chapter
ἀπόλλυμι	I destroy; (middle: I perish)	verb	28
ἀφίημι	I forgive; I allow; I dismiss	verb	28
κάθημαι	I sit; I stay	verb	28
φημί	I say	verb	28
δεξιός	right; ἐν δεξιᾷ (χειρί) on the right (hand)	adjective	28
διό	wherefore, therefore	conjunction	28
εἴτε	if, whether; εἴτε...εἴτε, whether...or,if...if (= εἰ + τέ)	conjunction	28
καθώς	just as, as	conjunction	28
μέσος	middle; ἐν μέσῳ "in the midst"	adjective	28
νῦν	now, at present; νυνί, at this moment (emphatic form)	adverb	28
οὔτε	not, nor; οὔτε...οὔτε, neither...nor (= οὐ + τέ)	particle	28
τέ	and, but, also (postpositive) (synonym of δέ but more "literary")	conjunction	28
