Lemma	Gloss	Part	Chapter
αὐτός	he, she, it; himself, herself, itself; same	pronoun	16
ἑαυτοῦ	himself, herself, itself	pronoun	16
ἐγώ	I	pronoun	16
ἐμαυτοῦ	myself (genitive form; there is no nominative)	pronoun	16
ἐμός	my (possessive pronoun adjective, often emphatic)	adjective	16
ἴδιος	one's own; peculiar	pronoun	16
σεαυτοῦ	yourself (genitive form; there is no nominative)	pronoun	16
σύ	you	pronoun	16
ἐκεῖνος	that	pronoun	17
οὗτος	this; he, she, it	pronoun	17
τίς	who? what?; τί, why?	pronoun	17
τις	someone, something; anyone, anything; certain	pronoun	17
ἀλλήλων	(of) one another (reciprocal pronoun; the genitive plural is the lexical form)	pronoun	23
ὅς	who, which	pronoun	23
ὅσος	as much as, as many as; as great as; all that	pronoun	23
τοιοῦτος	of such a kind, such as this, such	pronoun	23
κἀγώ	and I; even I (= καί + ἐγω–used for emphasis or contrast)	pronoun	25
